Name_lang,ID,Priority
Retour,1,0
Nouveautés,2,1000
Célébration,3,1100
Plunderstorm,4,1100
Paladin ou paladine,5,235
Voleur ou voleuse,6,225
Prêtre ou prêtresse,7,230
Démoniste,8,215
Guerrier ou guerrière,9,210
Moine ou moniale,10,240
Druide ou druidesse,11,260
Chevalier ou chevalière de la mort,12,270
Chasseur ou chasseuse de démons,13,265
Mage,14,245
Chaman ou chamane,15,220
Chasseur ou chasseresse,16,250
Évocateur ou évocatrice,17,255
Tissu,18,310
Cuir,19,320
Plaque,20,340
Mailles,21,330
Mascottes,22,1100
Montures,23,1200
Jouets,24,1000
Floral,25,1100
Joies de l’été,26,1100
Profondeurs marines,27,1100
Sorcellerie enchanteresse,28,1100
Butin de haute mer,29,1100
Collections d’armes,30,900
Armes de mêlée,31,800
Arme de main gauche,32,800
Transmogrification d’armure,33,1000
Armes à distance,34,800
Collections d’armures,35,1100
Emblématique,36,1100
Divers,37,800
