ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,Corps,11987,11986,4,20,1,0,0
2,Visage,11991,11990,1,100,0,0,0
3,Accessoires,11985,11984,3,100,0,0,0
4,Cheveux,11989,11988,2,100,0,0,0
5,Marques,11987,11986,5,65,1,0,0
6,Forme d’ours,15730,15730,6,0,0,5,1
7,Forme de félin,15731,15731,7,0,0,1,0
9,Forme aquatique,15729,15729,10,0,0,4,1
10,Forme de voyage,15734,15734,11,0,0,3,1
11,Forme de vol,15732,15732,9,0,0,27,0
12,Forme de sélénien,15733,15733,8,0,0,31,0
13,Visage (Mort-vivant),11991,11990,1,80,1,0,0
14,Visage (Pandaren),11991,11990,1,80,1,0,0
15,Visage (Orc mag’har),11991,11990,1,85,1,0,0
16,Visage (Nain),11991,11990,1,88,0,0,0
17,Accessoires (Nain),11985,11984,3,88,0,0,0
18,Visage (Tauren),11991,11990,1,100,1,0,0
19,Accessoires (Tauren),11985,11984,3,100,1,0,0
20,Face (Worgen),11991,11990,1,100,1,0,0
22,Corps (Dracthyr),11987,11986,1,20,0,0,0
23,Miroir,18308,18307,2,100,0,0,0
24,Armure 1(Dracthyr),11993,11992,5,20,0,0,0
25,Identité,18778,18777,12,20,0,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,0,0,0
27,Corps (vol à dos de Dragon),20126,20127,1,20,1,0,0
28,Corps 2 (vol à dos de Dragon),20128,20129,2,20,1,0,0
29,Tête (vol à dos de Dragon),20130,20131,3,100,0,0,0
30,Tête 2 (vol à dos de Dragon),18308,18307,4,100,0,0,0
31,Accessoires (Dracthyr),20130,20131,2,100,0,0,0
32,Visage (Dracthyr),11991,11990,3,100,0,0,0
33,Miroir (Dracthyr),18308,18307,4,100,0,0,0
