ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,"Raid du palais Éternel|n|cFFFFD200Combinaison :|r Reliquaires aqueux|n|cFFFFD200Butin :|r Radiance d’Azshara, Cour de la reine, ou reine Azshara",,2,1,293019,294668,293019,294668
6,"Raid du palais Éternel|n|cFFFFD200Combinaison :|r Reliquaires aqueux|n|cFFFFD200Butin :|r Radiance d’Azshara, Cour de la reine, ou reine Azshara",,2,2,294653,294687,298080,298082
7,"Raid du palais Éternel|n|cFFFFD200Combinaison :|r Reliquaires aqueux|n|cFFFFD200Butin :|r Radiance d’Azshara, Cour de la reine, ou reine Azshara",,2,3,294650,294688,298081,298083
8,Raid du palais Éternel|n|cFFFFD200Butin :|r Reine Azshara - mode mythique,,2,4,294655,294689,298081,298083
9,"Champs de bataille|n|cFFFFD200Quête :|r Tous sur le champ de bataille|n|cFFFFD200Remise de quête :|r Maréchal Gabriel|n|cFFFFD200Lieu :|r Quais Corsandre, à Boralus",Champs de bataille|n|cFFFFD200Quête :|r Tous sur le champ de bataille|n|cFFFFD200Remise de quête :|r Xander Silberman|n|cFFFFD200Lieu :|r Mugambala,3,1,293031,294910,293031,294910
10,"Champs de bataille|n|cFFFFD200Haut fait :|r Bagarreur du champ de bataille|n|cFFFFD200Vendeur :|r Maréchal Gabriel|n|cFFFFD200Lieu :|r Quais Corsandre, à Boralus|n|cFFFFD200Coût :|r 25 marques d’honneur",Champs de bataille|n|cFFFFD200Haut fait :|r Bagarreur du champ de bataille|n|cFFFFD200Vendeur :|r Xander Silberman|n|cFFFFD200Lieu :|r Mugambala|n|cFFFFD200Coût :|r 25 marques d’honneur,3,2,294906,294919,300009,300012
11,"Champs de bataille|n|cFFFFD200Haut fait :|r Tacticien du champ de bataille|n|cFFFFD200Vendeur :|r Maréchal Gabriel|n|cFFFFD200Lieu :|r Quais Corsandre, à Boralus|n|cFFFFD200Coût :|r 25 marques d’honneur",Champs de bataille|n|cFFFFD200Haut fait :|r Tacticien du champ de bataille|n|cFFFFD200Vendeur :|r Xander Silberman|n|cFFFFD200Lieu :|r Mugambala|n|cFFFFD200Coût :|r 25 marques d’honneur,3,3,294907,294920,300010,300013
12,"Champs de bataille|n|cFFFFD200Haut fait :|r Maître du champ de bataille|n|cFFFFD200Vendeur :|r Maréchal Gabriel|n|cFFFFD200Lieu :|r Quais Corsandre, à Boralus",Champs de bataille|n|cFFFFD200Haut fait :|r Maître du champ de bataille|n|cFFFFD200Vendeur :|r Xander Silberman|n|cFFFFD200Lieu :|r Mugambala,3,4,294908,294922,300010,300013
13,Exploration des îles|n|cFFFFD200Quête :|r De l’azérite pour l’Alliance|n|cFFFFD200Remise de quête :|r Flynn Bellebrise|n|cFFFFD200Lieu :|r Quais de Boralus|n,Exploration des îles|n|cFFFFD200Quête :|r De l’azérite pour la Horde|n|cFFFFD200Remise de quête :|r Capitaine Rez’okun|n|cFFFFD200Lieu :|r Port de Zandalar,4,1,295186,295078,295186,295078
14,Exploration des îles|n|cFFFFD200Combinaison :|r Fragments de la carte au trésor perdu de Zem’lan|n|cFFFFD200Butin :|r Exploration des îles|n|cFFFFD200Table des missions :|r Le trésor perdu du roi des pirates|n|cFFFFD200Lieu :|r Quais de Boralus,Exploration des îles|n|cFFFFD200Combinaison :|r Fragments de la carte au trésor perdu de Zem’lan|n|cFFFFD200Butin :|r Exploration des îles|n|cFFFFD200Table des missions :|r Le trésor perdu du roi des pirates|n|cFFFFD200Lieu :|r Port de Zandalar,4,2,295209,295208,298628,298627
15,Exploration des îles|n|cFFFFD200Objet :|r Rapports d’espionnage sur la veine du monde|n|cFFFFD200Récompense de quête :|r De l’azérite pour l’Alliance|n|cFFFFD200Remise de quête :|r Flynn Bellebrise|n|cFFFFD200Table des missions :|r À la poursuite de la veine du monde|n|cFFFFD200Lieu :|r Quais de Boralus,Exploration des îles|n|cFFFFD200Objet :|r Rapports d’espionnage sur la veine du monde|n|cFFFFD200Récompense de quête :|r De l’azérite pour l’Alliance|n|cFFFFD200Remise de quête :|r Capitaine Rez’okun|n|cFFFFD200Table des missions :|r À la poursuite de la veine du monde|n|cFFFFD200Lieu :|r Port de Zandalar,4,3,295160,295165,299334,299333
16,Exploration des îles|n|cFFFFD200Quête :|r De l’azérite pour l’Alliance|n|cFFFFD200Remise de quête :|r Flynn Bellebrise|n|cFFFFD200Table des missions :|r La dernière veine du monde|n|cFFFFD200Lieu :|r Quais de Boralus|n,Exploration des îles|n|cFFFFD200Quête :|r De l’azérite pour la Horde|n|cFFFFD200Remise de quête :|r Capitaine Rez’okun|n|cFFFFD200Table des missions :|r La dernière veine du monde|n|cFFFFD200Lieu :|r Port de Zandalar,4,4,295210,295166,299334,299333
17,Donjons mythiques|n|cFFFFD200Combinaison :|r anima de vie focalisé|n|cFFFFD200Butin :|r boss de fin de donjon,,5,1,295258,295246,295258,295246
18,Donjons mythiques|n|cFFFFD200Combinaison :|r anima de vie focalisé|n|cFFFFD200Butin :|r boss de fin de donjon,,5,2,295262,295251,299336,299335
19,Donjons mythiques|n|cFFFFD200Combinaison :|r anima de vie focalisé|n|cFFFFD200Butin :|r boss de fin de donjon,,5,3,295263,295252,299338,299337
