Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Arcanes,Arcanes,"Manipule la magie des Arcanes dans sa forme la plus pure pour submerger ses ennemis.

Armes : bâtons, baguettes, dagues et épées.",62,8,0,0,2,3,135932,0,362,190740,0
Feu,Feu,"Concentre l’essence de la magie du feu pour déchaîner les flammes contre ses ennemis.

Armes : bâtons, baguettes, dagues et épées.",63,8,1,0,2,3,135810,0,362,12846,0
Givre,Givre,"Fait appel à la magie du Givre pour geler ses ennemis et les réduire à néant.

Armes : bâtons, baguettes, dagues et épées.",64,8,2,0,2,67,135846,0,362,76613,0
Sacré,Sacré,"Invoque la Lumière pour protéger et soigner ses alliés, et pour éradiquer le mal.

Armes : épées, masses et boucliers.",65,2,0,0,1,5,135920,1,0,183997,0
Protection,Protection,"Fait appel à la magie du Sacré pour se protéger et défendre ses alliés.

Armes : épées, masses, haches et boucliers.",66,2,1,0,0,4,236264,5,0,76671,0
Vindicte,Vindicte,"Un croisé qui manie les armes et la magie du Sacré pour juger et punir ses adversaires.

Armes : épées à deux mains, masses et haches.",70,2,2,0,2,68,135873,5,0,267316,0
Armes,Armes,"Virtuose du combat qui associe mobilité et frappes surpuissantes pour vaincre l’adversaire.

Armes : haches, masses et épées à deux mains.",71,1,0,0,2,68,132355,5,0,262111,0
Fureur,Fureur,"La rage qui l’habite lui permet d’attaquer furieusement, une arme dans chaque main, pour éliminer l’adversaire.

Armes : deux haches, masses et épées.",72,1,1,0,2,20,132347,5,0,76856,0
Protection,Protection,"Adepte de la protection qui utilise un bouclier pour assurer sa défense et celle de ses alliés.

Armes : haches, masses, épées et boucliers.",73,1,2,0,0,4,132341,5,0,76857,0
Férocité,Férocité,"N’ayant rien d’autre en tête que la poursuite de leur proie, ces bêtes ne s’arrêtent pas avant d’avoir obtenu la victoire. Même la mort n’est que temporaire pour ces prédateurs.",74,0,0,0,2,0,236159,0,0,0,0
Ruse,Ruse,Créatures fourbes capables d’absorber efficacement les coups mortels infligés à elles-mêmes ou à leurs alliés.,79,0,2,2,2,0,132150,0,0,0,0
Ténacité,Ténacité,Défenseurs aguerris et loyaux qui positionnent immanquablement leur lourde carcasse entre leurs alliés et toute menace extérieure.,81,0,1,1,0,0,132121,0,0,0,0
Équilibre,Équilibre,"Peut prendre la forme d’un sélénien qui fait appel aux Arcanes et à la Nature pour vaincre ses ennemis.

Armes : bâtons, dagues et masses.",102,11,0,0,2,331,136096,0,363,393014,0
Farouche,Farouche,"Prend la forme d’un grand félin pour infliger des dégâts de saignement et des morsures.

Armes : bâtons et armes d’hast.",103,11,1,0,2,260,132115,3,363,77493,0
Gardien,Gardien,"Prend la forme d’un puissant ours pour absorber les dégâts et protéger ses alliés.

Armes : bâtons et armes d’hast.",104,11,2,0,0,4,132276,3,363,155783,0
Restauration,Restauration,"Canalise la puissante magie de la Nature pour soigner ses alliés et les maintenir en vie.

Armes : bâtons, dagues et masses.",105,11,3,0,1,3,136041,0,363,77495,0
Sang,Sang,"Sombre spécialiste de la protection qui manipule et corrompt l’énergie vitale pour se renforcer lors des attaques.

Armes : haches, masses et épées à deux mains.",250,6,0,0,0,4,135770,5,0,77513,0
Givre,Givre,"Un messager de glace qui canalise sa puissance runique et frappe brutalement avec son arme.

Armes : deux haches, masses et épées.",251,6,1,0,2,4,135773,5,0,77514,0
Impie,Impie,"Disciple de la mort qui répand les maladies et fait appel à des serviteurs morts-vivants.

Armes : haches, masses et épées à deux mains.",252,6,2,0,2,68,135775,5,0,77515,0
Maîtrise des bêtes,Maîtrise des bêtes,"Un maître de la faune capable de dompter une grande variété de bêtes combattant à ses côtés.

Armes : arcs, arbalètes et armes à feu.",253,3,0,0,2,66,461112,2,0,76657,0
Précision,Précision,"Un maître-archer qui excelle dans l’art d’éliminer les cibles à distance.

Armes : arcs, arbalètes et armes à feu.",254,3,1,0,2,2,236179,2,0,193468,0
Survie,Survie,"Un forestier qui a recours aux venins d’animaux, aux explosifs et à son familier pour attaquer.

Armes : armes d’hast et bâtons.",255,3,2,0,2,260,461113,2,0,263135,0
Discipline,Discipline,"Protège les personnages alliés et soigne leurs blessures en châtiant les ennemis.
Arme favorite : bâton, baguette, dague, masse",256,5,0,0,1,67,135940,0,353,271534,0
Sacré,Sacré,"Un soigneur qui panse les blessures d’individus ou de groupes entiers, même après sa mort.

Armes : bâtons, baguettes, dagues et masses.",257,5,1,0,1,3,237542,0,353,77485,0
Ombre,Ombre,"Tire sa force des obscures magies de l’Ombre et du Vide pour éradiquer l’ennemi.

Armes : bâtons, baguettes, dagues et masses.",258,5,2,0,2,11,136207,0,353,343690,0
Assassinat,Assassinat,"Un impitoyable maître des poisons qui achève ses ennemis de vicieux coups de dague.

Armes : dagues.",259,4,0,0,2,68,236270,3,0,76803,0
