ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,Niveau d’honneur 5,5,1375574,0,12893
2,Niveau d’honneur 10,10,1375575,0,12894
3,Niveau d’honneur 15,15,1375576,0,12895
4,Niveau d’honneur 20,20,1375577,0,12900
6,Niveau d’honneur 25,25,1551554,1,12901
8,Niveau d’honneur 30,30,1551555,1,12902
9,Niveau d’honneur 40,40,1551556,1,12903
10,Niveau d’honneur 50,50,1551557,1,12904
11,Niveau d’honneur 60,60,1567394,0,12905
12,Niveau d’honneur 70,70,1597388,0,12906
13,Niveau d’honneur 80,80,1597390,0,12907
14,Niveau d’honneur 90,90,1597392,0,12908
15,Niveau d’honneur 100,100,1597394,0,12909
16,Niveau d’honneur 125,125,1597397,0,12910
17,Niveau d’honneur 150,150,1597398,0,12911
18,Niveau d’honneur 175,175,1597399,0,12912
19,Niveau d’honneur 200,200,1597400,0,12913
20,Niveau d’honneur 250,250,1713158,0,12914
21,Niveau d’honneur 300,300,1713159,0,12915
22,Niveau d’honneur 400,400,1713160,0,12916
23,Niveau d’honneur 500,500,1713161,0,12917
24,Niveau d’honneur 600,253,1713162,0,0
25,Niveau d’honneur 750,254,1713163,0,0
26,Niveau d’honneur 1000,255,1713164,0,0
