ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,Général - %s,Général,1572875,0,0
2,Commerce - %s,Commerce,1048635,0,0
22,DéfenseLocale - %s,DéfenseLocale,1114123,0,0
26,RechercheDeGroupe,RechercheDeGroupe,262152,0,0
27,CanalMondialYéti,CanalMondialYéti,8,0,0
28,PierreDeRencontre,PierreDeRencontre,8,0,0
32,Canal Débutants,CanalDébutants,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,BêtaShadowlands,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,RPTShadowlands,2097160,0,2
35,War Within Test Discussion,WarWithinTestDiscussion,6291465,0,0
36,Chromimétrie : Cataclysm,Chromimétrie,2097160,0,2
37,Chromimétrie : Burning Crusade,Chromimétrie,2097160,0,2
38,Chromimétrie : Wrath of the Lich King,Chromimétrie,2097160,0,2
39,Chromimétrie : Mists of Pandaria,Chromimétrie,2097160,0,2
40,Chromimétrie : Warlords of Draenor,Chromimétrie,2097160,0,2
41,Chromimétrie : Legion,Chromimétrie,2097160,0,2
42,Commerce (services) – %s,Services,1048635,0,0
