Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Forme de cristal,,1,1,72,0,-1,0,1
À pointes,,2,2,0,0,-1,0,1
Porte-Cendres,,3,1,62,0,-1,0,2
Estramaçon du vertueux,,4,2,65,0,-1,0,2
Représailles ardentes,,5,3,63,0,-1,0,2
Espoir déchu,,6,4,66,0,-1,0,2
Sentence irrévocable,,7,5,64,0,-1,0,2
Lames jumelles du Trompeur,,8,1,72,161,-1,0,3
Main des Illidari,,9,2,76,928,-1,0,3
Noircelame,,10,3,75,930,-1,0,3
Faucheur de flamme,,11,5,77,931,-1,0,3
Toucher du démon,,12,4,73,929,-1,0,3
"G’Hanir, l’Arbre-Mère",,13,1,61,0,-1,0,13
Vénérarbre,,14,2,68,0,-1,0,13
Éveil cristallin,,15,3,60,0,-1,0,13
Gardien de Mort-Bois,,16,4,69,0,-1,0,13
Couronne du gardien,,17,6,70,0,-1,1,13
Écaille du Gardeterre,,20,1,183,71,-1,0,11
Crocs du Dévoreur,,21,1,168,169,-1,0,17
Étreinte du démon,,22,3,172,173,-1,0,17
Lame-de-l’ombre,,23,2,170,171,-1,0,17
Sanguivore,,24,4,174,175,-1,0,17
Ciseglace,,25,5,176,177,-1,0,17
Gueule-du-Damné,,32,1,163,0,-1,0,15
Apocalypse,,33,1,162,0,-1,0,16
Lames du prince déchu,,39,1,166,167,-1,0,12
Poing de Ra Den,,40,1,191,192,-1,0,40
"Thas’dorah, héritage des Coursevent",,41,1,719,0,-1,0,55
Les Régicides,,42,1,391,392,-1,0,43
"Sharas’dal, sceptre des marées",,43,1,195,958,-1,0,42
Marteau-du-Destin,,44,1,189,0,-1,0,41
"T’uure, guide des Naaru",,45,1,194,0,-1,0,45
Lame de l’Empire noir,,46,1,570,952,-1,0,47
Main-d’Argent,,47,1,198,199,-1,0,48
Griffes d’Ursoc,,48,1,188,638,-1,0,57
Sceptre de Sargeras,,49,1,357,0,-1,0,38
"Sheilun, bâton des brumes",,50,1,196,0,-1,0,51
Felo’melorn,,51,1,190,935,-1,0,54
Griffe-Serre,,52,1,197,0,-1,0,34
Aluneth,,53,1,178,0,-1,0,4
Flèche du gardien,,54,2,179,0,-1,0,4
Fureur de la magna,,55,3,181,0,-1,0,4
Chute d’Aegwynn,,56,4,180,0,-1,0,4
Magus éternel,,57,5,182,0,-1,0,4
Regard du nécrogarde,,58,4,184,965,-1,0,11
Souffle du Brise-Monde,,59,6,185,966,-1,1,11
Volonté inflexible,,60,3,186,967,-1,0,11
Hardiesse du roi déchu,,61,2,187,968,-1,0,11
Frissébène,,64,1,344,0,-1,0,53
Focalisation du gardien,,65,2,346,0,-1,0,53
Volonté de l’archimage,,66,4,351,0,-1,0,53
Souvenir de Givrefeu,,67,6,353,0,-1,1,53
Flux du primat,,68,3,354,0,-1,0,53
Hubris du Titan noir,,69,2,359,0,-1,0,38
Écho de Gul’dan,,70,3,360,0,-1,0,38
Ombre du destructeur,,71,4,362,0,-1,0,38
Terreur de la Légion,,72,6,361,0,-1,1,38
Garde du général des forestiers,,73,4,933,0,-1,0,55
Renaissance du phénix,,74,3,722,0,-1,0,55
Liens du sang,,75,2,720,0,-1,0,55
Garde-corbeau,,76,6,721,0,-1,1,55
Main maudite,,77,2,858,863,-1,0,43
Bourreau des cœurs,,78,3,860,864,-1,0,43
Lame de magicide,,79,4,859,865,-1,0,43
Brise-Os,,80,6,861,866,-1,1,43
Faux d’Élune,,81,1,631,0,-1,0,59
Étreinte des Dieux très anciens,,82,2,773,957,-1,0,47
La lame déchue,,83,3,774,953,-1,0,47
Vision de folie,,84,4,776,955,-1,0,47
Reflet déformé,,85,5,775,954,-1,0,47
Rochepatte,,86,2,188,638,-1,0,57
Avatar d’Ursol,,87,3,188,638,-1,0,57
Corruption du Cauchemar,,88,4,188,638,-1,0,57
Gardien de la clairière,,89,6,188,638,-1,1,57
Lames de guerre des Aldrachi,,90,1,753,759,-1,0,60
Crocs d’Ashamane,,91,1,636,637,-1,0,58
Saignegueule,,92,2,701,0,-1,0,15
Mâchemort,,93,5,702,0,-1,0,15
Pâmoisson,,94,3,704,0,-1,0,15
L’Exécutrice,,95,4,703,0,-1,0,15
Héritage de Deuillegivre,,96,2,662,663,-1,0,12
Collectionneuse d’âmes,,97,5,664,665,-1,0,12
Fossoyeuses,,98,4,700,699,-1,0,12
Fureur de Sindragosa,,99,3,667,666,-1,0,12
Affameuse,,100,4,658,0,-1,0,16
Messagère de pestilence,,101,3,661,0,-1,0,16
Guerre impie,,102,2,659,0,-1,0,16
Fauchemoelle,,103,6,660,0,-1,1,16
Cimier illidari,,104,2,901,902,-1,0,60
Ossecroc,,105,4,903,904,-1,0,60
Morsure de l’effroi,,106,3,905,906,-1,0,60
Gardien de fer,,107,6,907,908,-1,1,60
Émissaire de Goldrinn,,108,2,831,0,-1,0,59
Équinoxe,,109,3,832,0,-1,0,59
Solstice,,110,6,834,0,-1,1,59
Affliction du Cauchemar,,111,4,833,0,-1,0,59
Fureur de la nature,,112,2,636,637,-1,0,58
Traqueur primordial,,113,3,636,637,-1,0,58
Fantôme de la Matriarche,,114,5,636,637,-1,0,58
Incarnation du Cauchemar,,115,4,636,637,-1,0,58
Choc des Titans,,116,1,754,0,-1,0,56
Œil de l’aigle,,117,2,789,0,-1,0,56
Canon Hurefeu,,118,4,791,0,-1,0,56
Tonnerre d’elekk,,119,3,790,0,-1,0,56
Morsure du serpent,,120,5,792,0,-1,0,56
Renaissance de l’aigle,,121,2,715,0,-1,0,34
