String_lang,ID,Flags
Nécessite le haut fait « Un allié d’Azur » ou le niveau 35.,740,1
Nécessite le haut fait « Compagnon des falaises. »,741,1
Nécessite le haut fait « Ensemble dans les cieux » ou le niveau 25.,742,1
Nécessite le haut fait « Une nouvelle amitié » ou le niveau 15.,743,1
|cff808080Ce talent de spécialisation vous est accordé gratuitement et ne peut pas être oublié|r,910,1
Dépensez %d |4point:points; de plus pour débloquer ce talent,911,1
Classic,953,1
Outreterre,954,1
Norfendre,955,1
Cataclysme,956,1
Pandarie,957,1
Draenor,958,1
Légion,959,1
Kul Tiras,960,1
Ombreterre,961,1
Îles aux Dragons,962,1
Zandalar,963,1
Explorateur,970,1
Aventurier,971,1
Vétéran,972,1
Champion,973,1
Héros,974,1
Refaçonner cet objet avec une étincelle de niveau d’objet supérieur supprimera définitivement la châsse ajoutée par le manipulateur chargé par la tempête.|n|nVoulez-vous continuer ?,975,1
Dépensez %d |4point:points; de plus pour débloquer ce talent,976,1
|cff808080Ce talent de spécialisation vous est accordé gratuitement et ne peut pas être oublié|r,977,1
Mythe,978,1
Khaz Algar,989,1
Aventurier ou aventurière,990,1
Refaçonner cet objet avec une étincelle de niveau d’objet supérieur supprimera définitivement la châsse ajoutée par le sculpte-volcans.|n|nVoulez-vous continuer ?,991,1
Onglet 1,992,0
Onglet 2,993,0
Onglet 3,994,0
Onglet 4,995,0
Onglet 5,996,0
Refaçonner cet objet avec une étincelle de niveau d’objet supérieur supprimera définitivement la châsse ajoutée par le berceau de la nature.|n|nContinuer ?,997,1
Éveillé,998,1
%s,999,0
Requires Void Torrent talent,1000,1
"The General must consider you a ""Accessory.""",1001,1
"The Weaver must consider you an ""Acquaintance.""",1002,1
"The Weaver must consider you a ""Crony.""",1003,1
"The Weaver must consider you an ""Accomplice.""",1004,1
"The General must consider you a ""Collaborator.""",1005,1
"The General must consider you an ""Abettor.""",1006,1
"The General must consider you a ""Conspirator.""",1007,1
"The Weaver must consider you a ""Mastermind.""",1008,1
"The General must consider you an ""Acquaintance.""",1009,1
"The General must consider you a ""Crony.""",1010,1
"The General must consider you an ""Accomplice.""",1011,1
"The Weaver must consider you a ""Collaborator.""",1012,1
"The Weaver must consider you a ""Accessory.""",1013,1
"The Weaver must consider you an ""Abettor.""",1014,1
"The Weaver must consider you a ""Conspirator.""",1015,1
"The Vizier must consider you an ""Acquaintance.""",1016,1
"The Vizier must consider you a ""Crony.""",1017,1
"The Vizier must consider you an ""Accomplice.""",1018,1
"The Vizier must consider you a ""Collaborator.""",1019,1
"The Vizier must consider you a ""Accessory.""",1020,1
"The Vizier must consider you an ""Abettor.""",1021,1
"The Vizier must consider you a ""Conspirator.""",1022,1
"The Vizier must consider you a ""Mastermind.""",1023,1
"The General must consider you a ""Mastermind.""",1024,1
You must purchase additional Thunderclaps,1025,1
Requires Halo talent,1026,1
