ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,Peau,3,0,0,4,-1,-1,-1,0
2,Visage,3,1,1,0,-1,-1,-1,0
3,Coiffure,3,3,2,0,-1,-1,-1,0
4,Coloration,3,3,3,4,-1,-1,-1,0
5,Pilosité,3,2,4,0,-1,-1,-1,0
6,Tatouages,3,5,5,1,12,-1,-1,4
7,Cornes,3,6,6,0,-1,-1,-1,0
8,Bandeaux,3,7,7,0,-1,-1,-1,0
9,Couleur motif,3,5,8,5,12,-1,-1,4
10,Piercings,1,2,4,0,-1,-1,-1,1
11,Piercings,1,2,4,0,-1,-1,-1,2
12,Piercings,1,2,4,0,-1,-1,-1,3
13,Marques,1,2,4,0,-1,-1,-1,4
14,Détails,3,2,4,0,-1,-1,-1,5
15,Crinière,1,2,4,0,-1,-1,-1,6
16,Cornes,3,3,2,0,-1,-1,-1,6
17,Couleur des cornes,3,3,3,4,-1,-1,-1,6
18,Bijoux,1,2,4,0,-1,-1,-1,7
19,Défenses,3,2,4,0,-1,-1,-1,8
20,Piercings,3,2,4,0,-1,-1,-1,9
21,Bijoux,1,2,4,0,-1,-1,-1,10
22,Piercings,1,2,4,0,-1,-1,-1,22
23,Cornes,1,2,4,0,-1,-1,-1,11
24,Cornes,1,2,4,0,-1,-1,-1,30
25,Rune,3,7,7,0,-1,-1,-1,30
26,Bijoux,1,2,4,0,-1,-1,-1,24
27,Bijoux,1,2,4,0,-1,-1,-1,25
28,Bijoux,1,2,4,0,-1,-1,-1,26
29,Défenses,3,6,6,0,-1,-1,-1,31
30,Bijoux,3,7,7,0,-1,-1,-1,31
31,Accessoires,1,2,4,0,-1,-1,-1,31
32,Tatouages,3,5,5,1,13,-1,-1,31
34,Tatouages,3,5,5,1,12,-1,-1,10
35,Couleur motif,3,5,8,5,12,-1,-1,10
36,Tatouages,3,5,5,1,12,-1,-1,30
37,Tatouages,3,5,5,1,13,-1,-1,28
38,Crinière,1,2,4,0,-1,-1,-1,28
39,Cornes,3,3,2,0,-1,-1,-1,28
40,Couleur des cornes,3,3,3,4,-1,-1,-1,28
41,Bijoux,1,2,4,0,-1,-1,-1,29
42,Tatouages,3,5,5,1,13,-1,-1,27
43,Bijoux,1,2,4,0,-1,-1,-1,27
44,Bijoux,0,2,4,0,-1,-1,-1,27
46,Posture,0,7,7,0,-1,-1,-1,2
47,Tatouages,0,6,6,0,13,-1,-1,34
48,Tatouages,1,5,5,0,13,-1,-1,34
49,Posture,0,7,7,0,-1,-1,-1,36
50,Peau,3,0,0,5,-1,-1,-1,36
52,Piercings,0,5,5,0,-1,-1,-1,34
153,Motif,3,5,5,3,13,-1,-1,35
155,Boucles d’oreille,1,6,6,0,-1,-1,-1,32
156,Collier,1,7,7,0,-1,-1,-1,32
157,Bras,3,6,6,0,0,1,-1,37
158,Jambes,3,7,7,0,5,6,-1,37
159,Modification,3,5,5,0,9,10,-1,37
160,Museau,3,6,6,0,-1,-1,-1,35
161,Piercings,3,2,4,0,-1,-1,-1,35
162,Peau,3,0,0,5,-1,-1,-1,35
163,Tatouages,3,5,5,0,-1,-1,-1,0
164,Pilosité,0,2,4,0,-1,-1,-1,6
165,Peau,3,0,0,4,-1,-1,-1,6
166,Accessoires,1,2,4,0,-1,-1,-1,36
167,Accessoires,1,2,4,0,-1,-1,-1,34
168,Sourcils,1,2,4,0,-1,-1,-1,32
169,Peau,3,0,0,4,-1,-1,-1,28
170,Pilosité,0,2,4,0,-1,-1,-1,28
171,Peau,3,0,0,4,-1,-1,-1,24
172,Pilosité,0,2,4,0,-1,-1,-1,24
173,Coiffure,0,3,2,0,-1,-1,-1,24
174,Coiffure,3,3,4,0,-1,-1,-1,35
175,Visage,3,1,1,0,-1,-1,-1,36
176,Visage,3,1,1,0,-1,-1,-1,35
177,Visage,3,1,1,0,-1,-1,-1,6
178,Visage,3,1,1,0,-1,-1,-1,28
179,Visage,3,1,1,0,-1,-1,-1,24
180,Piercings,1,2,4,0,-1,-1,-1,23
