WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
Impact !,10,1218203,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
La corrosion va corrompre votre esprit !,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
Effondrement de déchet roulant !,27,461536,5000,0,0,0,0
Votre destin commence à ce séparer !,28,1224865,0,0,5793,0,15
Une onde de choc cristalline se produira bientôt !,31,1243721,8000,0,0,0,0
Un encaissement cristallin se produira bientôt !,32,1227373,6000,0,0,0,0
Alleria est parée à tirer !,33,1233602,3000,0,0,0,0
La crainte de l’inconnu éclatera bientôt !,34,1225221,3000,0,0,0,0
L’envol du reshii est presque épuisé !,35,1235114,4000,0,0,0,0
Sur le point de se faire foudroyer !,39,1246457,0,0,0,0,0
La gravité commence à vous accabler !,40,1234570,0,0,0,0,8
Alleria est parée à tirer !,41,1237623,3000,0,0,0,0
Emprise de Vacuité prend fin !,42,1232470,4000,0,0,0,0
L’oubli va vous emporter…,46,1257299,0,0,0,0,0
Destruction !,47,1217973,10000,0,0,0,0
Cherchez le Vide ou périssez,48,1262972,0,0,0,0,0
Cherchez la Lumière ou périssez,49,1262983,0,0,0,0,0
Cible verrouillée !,50,1218187,0,0,0,0,0
|TInterface\ICONS\SPELL_NZinsanity_ChasedByShadows.blp:20|t Votre ombremarque est sur le point d’exploser !,51,1270497,2500,0,0,0,0
L’expulsion du Vide est sur le point d’éclater !,53,1283236,3000,0,0,0,0
