ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s est bien d’accord avec %s.,0,1
2,%s est bien d’accord avec vous.,1,1
3,Vous êtes bien d’accord avec %s.,2,1
4,%s est bien d’accord.,4,1
5,Vous êtes bien d’accord.,6,1
6,%s est stupéfait par %s !,0,2
7,Vous stupéfiez %s !,1,2
8,Vous êtes stupéfait par %s !,2,2
9,%s trouve ça stupéfiant !,4,2
10,Vous trouvez ça stupéfiant !,6,2
11,"%s lève un poing rageur en direction |2 %s, bouillant de colère.",0,3
12,"%s lève un poing rageur en votre direction, bouillant de colère.",1,3
13,"Sous l'emprise de la colère, vous levez un poing rageur en direction |2 %s.",2,3
14,"%s lève un poing rageur, bouillant de colère.",4,3
15,Vous levez un poing rageur sous l'emprise de la colère.,6,3
16,"%s lève un poing rageur en direction |2 %s, bouillante de colère.",8,3
17,"%s lève un poing rageur en direction de vous, bouillante de colère.",9,3
18,"%s lève un poing rageur, bouillante de colère.",12,3
19,%s présente ses excuses à %s. Toutes mes confuses !,0,4
20,%s vous présente ses excuses. Toutes mes confuses !,1,4
21,Vous présentez vos excuses à %s. Toutes mes confuses !,2,4
22,%s présente ses excuses à tout le monde. Toutes mes confuses !,4,4
23,Vous présentez vos excuses à tout le monde. Toutes mes confuses !,6,4
24,%s applaudit %s. Bravo !,0,5
25,%s vous applaudit. Bravo !,1,5
26,Vous applaudissez %s. Bravo !,2,5
27,%s applaudit. Bravo !,4,5
28,Vous applaudissez. Bravo !,6,5
29,%s est bien trop timide pour attirer l’attention |2 %s.,0,6
30,%s est bien trop timide pour attirer votre attention.,1,6
31,Vous êtes bien trop timide pour attirer l’attention |2 %s.,2,6
32,%s est vraiment timide.,4,6
33,Vous êtes vraiment timide.,6,6
34,%s fait signe d’approcher à %s.,0,7
35,%s vous fait signe d’approcher.,1,7
36,Vous faites signe d’approcher à %s.,2,7
37,%s fait signe à tout le monde d’approcher.,4,7
38,Vous faites signe à tout le monde d’approcher.,6,7
39,%s supplie %s. C’est pitoyable.,0,8
40,%s vous supplie. C’est pitoyable.,1,8
41,Vous suppliez %s. C’est pitoyable.,2,8
42,%s supplie tous les gens qui l’entourent. C’est pitoyable.,4,8
43,Vous suppliez tous les gens qui vous entourent. C'est pitoyable.,6,8
44,%s supplie tous les gens qui l’entourent. C’est pitoyable.,12,8
45,%s mord %s. Aïeuh !,0,9
46,%s vous mord. Aïeuh !,1,9
47,Vous mordez %s. Aïeuh !,2,9
48,%s cherche quelqu'un à mordre.,4,9
49,Vous cherchez quelqu'un à mordre.,6,9
50,Le sang s'écoule des blessures |2 %s.,4,10
51,Le sang s'écoule de vos blessures.,6,10
52,%s fait un clin d’œil à %s.,0,11
53,%s vous fait un clin d’œil.,1,11
54,Vous faites un clin d’œil à %s.,2,11
55,%s fait un clin d’œil.,4,11
56,Vous clignez des yeux.,6,11
57,%s regarde %s en rougissant.,0,12
58,%s vous regarde en rougissant.,1,12
59,Vous regardez %s en rougissant.,2,12
60,%s rougit.,4,12
61,Vous rougissez.,6,12
62,%s frappe %s sur le museau. Ouille !,0,13
63,%s vous frappe sur le museau. Ouille !,1,13
64,Vous frappez %s sur le museau. Ouille !,2,13
65,%s se donne un coup sur le museau. Ouille !,4,13
66,Vous vous donnez un coup sur le museau. Ouille !,6,13
67,%s se donne un coup sur le museau. Ouille !,12,13
68,%s trouve %s d'un ennui mortel.,0,14
69,%s vous trouve d'un ennui mortel.,1,14
70,Vous trouvez %s d'un ennui mortel.,2,14
71,%s s’ennuie à mourir. Quel calvaire !,4,14
72,Vous vous ennuyez à mourir. Quel calvaire !,6,14
73,%s sautille devant %s.,0,15
74,%s se met à sautiller devant vous.,1,15
