ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
63,Les Mortemines,"On raconte que les gisements d’or des Mortemines totalisaient à eux seuls un tiers de la richesse de Hurlevent. Lors du chaos provoqué par la Première guerre, les mines furent abandonnées. On les crut par la suite hantées, et elles furent laissées à l’abandon jusqu’à ce que la Confrérie défias, un groupe d’anciens ouvriers devenus des bandits, s’empare du labyrinthe et en fasse le quartier général de ses activités illicites à l’encontre de Hurlevent.",36,522336,522352,136332,526404,1,1581,0
64,Donjon d’Ombrecroc,"Telle une ombre aussi sombre que la légende qui l’entoure, le donjon d’Ombrecroc domine la ville de Bois-du-Bûcher et les falaises australes de la forêt des Pins-Argentés. Des forces obscures occupent toujours ces ruines qui abritaient autrefois les worgens d’Arugal, l’archimage fou. L’âme errante du baron d’Argelaine hante toujours les lieux, tandis que le seigneur Godfrey et la horde d’aristocrates autrefois à son service conspirent contre leurs ennemis, les morts comme les vivants.",33,522342,522358,136357,526410,0,0,0
65,Trône des marées,"Dans les profondeurs de la Gueule des abysses se trouve le Trône des marées. Depuis cet antique temple élémentaire, Neptulon le Chasse-marée surveille et protège son domaine aqueux depuis des millénaires. À présent, il doit faire face au plus grand des dangers car des troupes de Nagas et de maléfiques sans-visages menacent de le détrôner, laissant son royaume et les secrets qu’il renferme à la merci des pillards.",643,522346,522362,460875,526413,1,5382,0
66,Cavernes de Rochenoire,"La rumeur dit qu’Aile de mort en personne aurait creusé le labyrinthe souterrain qui permet au Marteau du crépuscule de transporter secrètement les élémentaires depuis le majestueux mont Hyjal vers le mont Rochenoire. Les cavernes de Rochenoire sont le centre vital de ce réseau de l’ombre, site de la forge caustique du culte et de certaines de ses odieuses expériences, comme la transformation des sectateurs en draconiens du Crépuscule.",645,522334,522350,460859,526402,1,5374,0
67,Le Cœur-de-Pierre,"Au sein du temple de la Terre, piégé dans les profondeurs du Tréfonds, se cache le Cœur-de-Pierre. C’est dans ces grottes que le Marteau du crépuscule a durement travaillé autour d’Aile de mort, fixant des plaques d’élémentium sur le corps de l’Aspect dragon afin de consolider son corps déchiré. Sa renaissance terminée, Aile de mort est remonté vers Azeroth, en brisant le pilier du monde au passage, ce qui a déstabilisé toute la région du Tréfonds.",725,522344,522360,460872,526412,1,5303,0
68,La cime du Vortex,"La cime du Vortex se trouve dans le plan élémentaire de Mur-Céleste. Ses bâtiments élégants, surmontés de bronze et d’or, se dressent sur des plateformes soutenues par de l’air pur. Mais derrière ces façades de toute beauté, la cime abrite des Tol’vir de Neferset, ainsi que les troupes d’élémentaires impitoyables du seigneur du vent Al’Akir. Tant que le passage entre Mur-Céleste et Azeroth reste ouvert, la terreur tombera du ciel sur Uldum.",657,522345,522361,460873,526414,1,5583,0
69,Cité perdue des Tol’vir,"La cité perdue des Tol’vir est le bastion des Neferset, une faction d’hommes-chats tol’vir ayant juré allégeance à Aile de mort en échange d’un remède à la malédiction de la chair, qui avait rendu leur peau de pierre douce et fragile. Une fois leur affection guérie, les tol’vir se sont rebellés contre leur bienfaiteur, mais ils restent irrévocablement vicieux et hostiles à cause du sombre pacte qu’ils ont conclu.",755,522341,522357,460866,526409,1,0,0
70,Salles de l’Origine,"Bâties par les titans, les salles de l’Origine sont remplies d’antiques reliques et de redoutables gardiens pour les protéger. Les rumeurs affirment que le complexe contient également une arme dévastatrice capable de réorganiser toute vie sur Azeroth. Aile de mort a agi pour obtenir ce terrifiant appareil de son agent Al’Akir le seigneur des Vents. Les systèmes de communication de l’installation ont déjà été totalement corrompus, mais l’arme à l’intérieur continue d’échapper à Aile de mort.",644,522340,522356,460865,526408,0,0,0
71,Grim Batol,"Ne vous laissez pas tromper par l’humble extérieur de Grim Batol. Nombre de ses chambres profanées sont profondément enfouies dans les hautes-terres du Crépuscule. Autrefois bastion des nains marteaux-hardis, puis utilisée par les Orcs comme prison pour Alexstrasza, la cité est désormais entre les griffes du culte du Marteau du crépuscule.

Les héros assez courageux pour pénétrer ses sombres profondeurs doivent affronter les agents d’Aile de mort pour vaincre le mal mystérieux qui s’y trouve.",670,522338,522354,460863,526406,0,0,0
72,Le bastion du Crépuscule,"Le Bastion du Crépuscule se dresse en sombre symbole de la puissance grandissante des Dieux très anciens en Azeroth. Plusieurs branches du Marteau du crépuscule hantent les profondeurs de la flèche, lieu considéré comme le plus éminent centre de commandement du culte, sous la direction de leur chef tourmenté, Cho’gall. Aidé de ses serviteurs, ce dernier conspire pour concrétiser les visions apocalyptiques des Dieux très anciens en éliminant d’Azeroth toute trace de raison, d’espoir et de vie.",671,522339,522355,460863,526407,0,0,0
