ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,Gronnlin de Givrefeu,80693,1067373,0,0.75,0.55,0,0
2,Eclaireur sire-tonnerre,87430,1067284,0,1.4,0.5,0,0
4,Orc 1,78009,1067281,0,1.5,0.5,0,0
5,Orc 2,79359,1067297,0,1.5,0.5,0,0
7,Ogre 1,79378,1067321,0,1.5,0.55,0,0
29,Chris' Mission Set Test Encounter,0,0,0,1,0.4,0,0
30,Gronnlin de Givrefeu,80704,1067391,0,0.75,0.55,0,0
31,Gronnlin de Givrefeu,80693,1067373,0,0.75,0.55,0,0
32,Rylak glacegueule,80705,1067265,0,0.55,0.45,0,0
33,Eclaireur sire-tonnerre,80192,1067335,0,0.6,0.9,0,0
34,Eclaireur sire-tonnerre,80172,1067334,0,1.2,0.5,0,0
35,Ogre 2,79380,1067230,0,0.9,0.55,0,0
36,Mort-vivant 1,79380,1067230,0,1,0.5,0,0
37,Aberration 1,79383,1067191,0,0.8,0.5,0,0
38,Arakkoa 1,79387,1067348,0,0.5,0.5,0,0
39,Arakkoa 2,81338,1067462,0,0.9,0.5,0,0
40,Bête 1,79384,1067296,0,1.1,0.5,0,0
41,Bête 2,79386,1067246,0,1.4,0.5,0,0
42,Démon 1,79381,1067240,0,1.1,0.6,0,0
43,Démon 2,81339,1067193,0,0.6,0.6,0,0
44,Briseur 1,79382,1067290,0,1,0.5,0,0
45,Briseur 2,79385,1067311,0,1.5,0.6,0,0
46,Fureur 1,81340,1067223,0,1.2,0.5,0,0
47,Fureur 2,81341,2395691,0,1,0.5,0,0
48,Primordial 1,81342,1067224,0,1,0.5,0,0
49,Primordial 2,81343,1067208,0,1,0.5,0,0
50,Limaces déshéritées,19787,0,0,1,0.4,0,0
51,Ravageur rôdeur,81538,1067344,0,0.9,0.45,0,0
52,Bondisseur des combes sire-tonnerre,81562,1067236,0,1.55,0.5,0,0
53,"Décrypte-vent
sire-tonnerre",81565,1067286,0,1.55,0.5,0,0
54,Loup maudit,81568,1067253,0,1.5,0.5,0,0
55,Manœuvre de Triste-Givre,81580,1067268,0,1.2,0.55,0,0
56,Charognard givrebec,81583,1067178,0,1.3,0.9,0,0
57,Pillard de Flèchelame,81587,1067336,0,1.2,0.5,0,0
58,Dévoreur blafard,82405,1067305,0,1,0.45,0,0
59,Crapaud corrompu,82410,1067273,0,1,0.45,0,0
60,Corbeau de Chutelune,82409,1067466,0,0.8,0.5,0,0
61,Nécrolyte ombrelune,82413,1067287,0,1.55,0.5,0,0
62,Invocatrice noire ombrelune,82414,1067282,0,1.55,0.5,0,0
63,Marche-plaines fulminant,83059,1067312,0,0.75,0.55,0,0
64,Arcaniste gorien,83067,1067413,0,1.2,0.5,0,0
