Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,Jalon 1,Nouveaux objets débloqués dans les commerces des initiatives.,2,0,0,0,0,0
0,Jalon 2,Nouveaux objets débloqués dans les commerces des initiatives.,3,0,0,0,0,0
0,Jalon 3,Nouveaux objets débloqués dans les commerces des initiatives.,4,0,0,0,0,0
0,Récompense d’accomplissement d’initiative,,5,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,21,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,22,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,23,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,24,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,25,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,26,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,27,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,28,0,0,0,0,93262
0,Récompense d’accomplissement d’initiative,,29,0,0,0,0,93262
