Text_lang,Text1_lang,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID[0],SoundKitID[1],EmoteID[0],EmoteID[1],EmoteID[2],EmoteDelay[0],EmoteDelay[1],EmoteDelay[2]
"Au secours, au secours ! On m’opprime !",,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0
Séquence d’autodestruction activée.,,3927,0,0,0,69,0,0,0,0,0,0,0,0,0,0
"PAR LE FEU, SOYEZ PURIFIÉS !",,9426,0,0,0,71,0,0,8046,0,0,0,0,0,0,0
,Venez… par ici.,15708,7,0,0,68,0,0,0,44118,0,0,0,0,0,0
"Pas un mètre de plus, Orc ! Descends de monture et rends-toi, ou meurs !","Pas un mètre de plus, Orc ! Descends de monture et rends-toi, ou meurs !",33630,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
,"Dégagez de notre chemin, imbéciles !",33631,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
Perte de vie inévitable.,,33996,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Je fais ce que je dois.,,33997,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Votre temps est écoulé.,,34001,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"Peut-être est-ce cette imperfection, celle qui vous donne ce libre arbitre, qui vous permet de persévérer à l’encontre de toutes les probabilités cosmiques. Vous triomphez là où les parfaites créations des Titans ont échoué.",,34012,0,0,0,65,0,0,0,0,0,0,0,0,0,0
,Capitaine ! Épave à tribord ! On dirait qu'il y a des survivants !,39672,0,0,0,71,0,0,0,20916,0,0,0,0,0,0
"Préparez-vous ! Dans moins d’une heure, nous tuons des Orcs.",,41964,0,0,1,71,0,0,21208,0,0,0,0,0,0,0
En rangs !,,41984,0,0,22,71,0,0,21205,0,0,0,0,0,0,0
Cette île sur l’horizon est notre destination.,,42092,0,0,1,71,0,0,21185,0,0,0,0,0,0,0
"C'est là que nous ferons notre devoir, pour notre roi, pour Hurlevent et pour son peuple.",,42093,0,0,1,71,0,0,21186,0,0,0,0,0,0,0
Hurlenfer a envoyé la crème de son armée pour prendre cette île. Nous allons faire en sorte qu’ils y restent tous...,,42095,0,0,1,71,0,0,21188,0,0,0,0,0,0,0
