ID,SortName_lang,UiOrderIndex,Flags
1,Épique,0,0
21,Sanssaint,0,0
22,Saisonnier,0,0
23,Cataclysme,0,0
24,Herboristerie,0,0
25,Champs de bataille,0,0
41,Jour des Morts,0,0
61,Démoniste,0,0
81,Guerrier,0,0
82,Chaman,0,0
101,Pêcheur,0,0
121,Forgeron,0,0
141,Paladin,0,0
161,Mage,0,0
162,Voleur,0,0
181,Alchimiste,0,0
182,Travailleur du cuir,0,0
201,Ingénieur,0,0
221,Carte au trésor,0,0
241,Tournoi,3,0
261,Chasseur,0,0
262,Prêtre,0,0
263,Druide,0,0
264,Tailleur,0,0
284,Spécial,0,0
304,Cuisinier,0,0
324,Secourisme,0,0
344,Légendaire,0,1
364,Foire de Sombrelune,0,0
365,Guerre d'Ahn'Qiraj,0,0
366,Fête lunaire,0,0
367,Réputation,0,0
368,Invasion,0,0
369,Solstice d'été,0,0
370,Fête des Brasseurs,0,0
371,Calligraphie,0,0
372,Chevalier de la mort,0,0
373,Joaillerie,0,0
374,Jardin des nobles,0,0
375,Bienfaits du pèlerin,0,0
376,De l'amour dans l'air,0,0
377,Archéologie,0,0
378,Semaine des enfants,0,0
379,Invasion des terres de Feu,0,0
380,Les Zandalari,0,0
381,Liens élémentaires,0,0
391,Maîtres brasseurs pandarens,0,0
392,Scénario,0,0
394,Mascottes de combat,2,0
395,Moine,0,0
396,Accostage,0,0
397,Campagne pandarène,0,0
398,Monte,0,0
399,Les Bastonneurs,0,0
400,Ordalie,0,0
401,Campagne du fief,0,0
402,Assaut sur la Porte des ténèbres,0,0
403,Soutien du fief,0,0
404,Abattage,0,0
405,Voler à la tire,0,0
406,Arme prodigieuse,0,0
407,Chasseur de démons,0,0
408,Minage,0,0
409,Évènement de week-end,0,0
410,Enchantement,0,0
411,Dépeçage,0,0
412,Expédition,0,0
413,Campagne de chevalier de la mort,0,0
416,Campagne de chasseur de démons,0,0
417,Campagne de druide,0,0
418,Campagne de chasseur,0,0
419,Campagne de moine,0,0
420,Campagne de mage,0,0
421,Campagne de prêtre,0,0
422,Campagne de paladin,0,0
423,Campagne de chaman,0,0
424,Campagne de voleur,0,0
425,Campagne de démoniste,0,0
426,Campagne de guerrier,0,0
427,Domaine de classe,0,0
428,Campagne du Déclin de la Légion,0,0
429,La traque d’Illidan Hurlorage,0,0
430,Jour des pirates,0,0
431,Expédition sur Argus,0,0
432,Fronts de guerre,0,0
433,Fête des Séléniens,0,0
434,Le chemin du roi,0,0
435,Les morts de Chromie,0,0
436,Poulet-fusée,0,0
437,Draeneï sancteforge,0,0
438,Taurens de Haut-Roc,0,0
439,Elfes du Vide,0,0
440,Sacrenuit,0,0
441,Donjon,0,0
442,Raid,0,0
444,Races alliées,0,0
445,Le plan du chef de guerre,0,0
446,La grande aventure,0,0
447,Campagne militaire de l’Alliance,0,0
448,Campagne militaire de la Horde,0,0
449,Nains sombrefer,0,0
450,Orcs mag’har,0,0
451,Le Chasseur des ombres,0,0
453,Exploration des îles,0,0
555,JcJ ouvert,0,0
556,La Fierté de Kul Tiras,0,0
557,JcJ coté,0,0
559,Trolls zandalari,0,0
560,Armure ancestrale,0,0
561,Tombequête,0,0
562,La vengeance de Tyrande,0,0
563,Le destin de Saurcroc,0,0
564,Chemises à gogo,0,0
565,Creuset des Tempêtes,0,0
566,Humain de Kul Tiras,0,0
567,Assaut,0,0
569,Cœur d’Azeroth,0,0
571,Métiers,0,0
573,Sujets de Nazjatar,0,0
574,Tombe-Vice,0,0
575,Vengeance de Korrak,0,0
576,Sanctum de congrégation,0,0
579,Parrainez un ami,0,0
580,Visions de N’Zoth,0,0
582,Vulpérins,0,0
583,Mécagnomes,0,0
584,Campagne de l’Empire noir,0,0
586,La cour des Braises,0,0
587,Par-delà le ciel brisé,0,0
588,Nécromancie,0,0
589,Appels des Kyrians,0,0
590,Appels des Faë nocturnes,0,0
591,Appels des nécro-seigneurs,0,0
592,Appels des Venthyrs,0,0
593,Suture abominable,0,0
594,Campagne des Marcheurs du temps,0,0
595,Voie de l’Ascension,0,0
596,Artisanat légendaire,0,0
600,Campagne de la 9.1,0,0
601,Cryptogrammes des Fondateurs,0,0
602,Campagne de Zereth Mortis,0,0
603,Codex des archivistes,0,0
604,Assauts des congrégations,0,0
606,Synthèse de protoforme,0,0
607,Ch. 6 : À la recherche des symboles,0,0
608,Tempête déchaînée,0,0
609,Expédition du Dracaret,0,0
610,Tempêtes primalistes,0,0
611,Roharts iskaariens,0,0
612,Centaure maruuk,0,0
613,Concordat de Valdrakken,0,0
614,Évocateur ou évocatrice,0,0
615,Comptoir,0,0
616,Moteur de l’Innovation,0,0
617,Consortium d’artisanat,0,0
618,Camps de suffusion,0,0
620,Tâches d’émissaire,0,0
622,Des chercheurs sous le feu,0,0
623,Archives d’Azeroth,0,0
624,Épreuve du style,0,0
625,Systèmes,0,0
626,Failles temporelles,0,0
627,Nourricerie « Petites écailles »,0,0
628,Poussée onirique,0,0
629,Gardiens du Rêve,0,0
630,La reconquête de Gilnéas,0,0
631,Coupe de Kalimdor,0,0
632,Coupe des royaumes de l’Est,0,0
633,Coupe de l’Outreterre,0,0
634,Coupe du Norfendre,0,0
635,Coupe de Pandarie,0,0
636,Coupe des îles Brisées,0,0
637,La messagère,0,0
638,Anniversaire de Hearthstone,0,0
639,Cours du temps,0,0
640,Terrestres,0,0
642,Système d’amélioration,0,0
643,Bataillons,0,0
645,Méta quêtes,10,1
646,Secrets d’Azeroth,0,0
651,Duos infâmes,0,0
652,Gouffres,0,0
