ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,de la rage,de la Brèche,Repos,2
2,de lave,du Désert,Île,2
3,de fer,du Sépulcre,du Précipice,2
4,des souterrains,du Bassin,Colline,2
5,des ténèbres,des Bourbes,Gorge,2
6,de pierre,des Flammes,Ravin,2
19,du bonheur,des Flots,Vallée,1
55,d’artifice,de l’Épreuve,Terre,4
61,du sommeil,du Foyer,Vignoble,1
62,du sacré,du Lion,Île,1
63,de l’azur,des Vagues,Îlot,1
64,de liesse,des Brumes,Port,1
65,du silence,du Vent,Refuge,1
66,de l’or,de la Lumière,Sanctuaire,1
67,de la quiétude,de l’Océan,Pointe,1
68,du faste,de la Mer,Repos,1
69,de la lassitude,des Voiles,Village,1
70,du sel,de la Moisson,Colline,1
71,du prélude,du Drapeau,Accostage,1
72,de l’émeraude,de la Bénédiction,Enclave,1
73,de jadis,du Chêne,Port,1
74,de la nouveauté,du Voyage,Avant-poste,1
75,de la morosité,de l’Obscurité,Hameau,1
76,de la promesse,de l’Ancre,Port,1
77,de la clarté,du Ciel,Comté,1
78,de la pâleur,du Sable,Rives,1
81,de la sécheresse,de la Floraison,Baie,2
82,du mysticisme,de la Montagne,Îlot,2
83,de la brûlure,des Sables,Refuge,2
84,de l’éclat,du Soleil,Bastion,2
86,de la fissure,du Rocher,Flèche,2
87,du rougeoiement,du Sanglier,Crête,2
88,des hauteurs,de l’Été,Jardins,2
89,de la terre,de l’Échine,Corne d’abondance,2
90,de la rapidité,du Pèlerinage,Havre,2
91,de la liberté,de la Fortune,Communauté,2
92,de la fragilité,des Défenses,Oasis,2
93,du deuil,de l’Exil,Falaises,2
94,du tranchant,des Graviers,Campement,2
