ID,Name_lang,Description_lang,SpecSetID
2,Don éternel d’Azeroth,,1
3,Sphère incapacitante,Les puissantes énergies arcaniques qui tourbillonnent à l’intérieur renforcent votre emprise sur le Cœur.,1
4,Résonance de la veine du monde,"Lorsque Sargeras a blessé Azeroth à la fin de la troisième invasion de la Légion ardente, l’azérite a commencé à jaillir de la planète.",2
5,Essence de l’iris de focalisation,,160
6,Protocole de purification,"L’élimination de la corruption d’Uldir est en cours, et D.A.M.E. est désormais chargée de trouver un moyen de panser les plaies d’Azeroth.",160
7,Anima de vie et de mort,,1
12,Le Creuset des flammes,"Ce feu intense est une force de destruction massive, apportant une vie nouvelle.",2
13,Énergie nulle,"Malgré son poids, cet objet ne semble contenir aucune trace d’énergie ni de matière.",1
14,Force vitale condensée,Le Cœur d’Azeroth est capable de manipuler l’azérite de façons totalement insoupçonnées.,160
15,Ondulation dans l’espace,Chaque instant est une occasion de prendre la bonne décision.,2
16,Protection inébranlable,,49
17,L’Éternelle Marée montante,,49
18,Artifice du temps,,49
19,Le Puits d’existence,,49
20,Invocation de la Lieuse-de-Vie,,49
21,Conduit de vitalité,,49
22,Vision de perfection,"Rêvez de l’avenir, mais concentrez-vous sur le moment présent.",173
23,Sang de l’ennemi,Votre Cœur d’Azeroth bouillonne de colère.,160
24,Esprit de préservation,,49
25,Égide des profondeurs,Vous imprègne de la protection des éléments.,1
27,Souvenir des rêves lucides,Il n’y a pire gâchis qu’un esprit embrumé.,173
28,La Force libérée,"Des forces destructrices tourbillonnent violemment à l’intérieur, dans l’attente d’être libérées.",160
32,Conflit et discorde,,173
33,Toucher de l’éternité,,1
34,Force du gardien,,1
35,Souffle des mourants,,160
36,Étincelle d’inspiration,,160
37,Le Vide informe,,2
