Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,Description,16,11409,878
UI Test Subtree 2,Autre description,17,0,880
Tisse-Vide,"Les tisse-Vide ont consacré leur vie à l’étude des origines de la magie du Vide et ont découvert un moyen d’ouvrir une connexion étroite avec celui-ci. Ce pouvoir est incroyablement dangereux et instable, dévorant tout ce qui se trouve sur son passage.",18,26682,795
Archonte,"Les archontes sont des êtres extrêmement pieux qui possèdent un lien profond avec la Lumière et l’ombre. Les archontes ont la possibilité de recevoir la bénédiction d’êtres supérieurs pour entrer dans un état de transcendance, devenant ainsi une ultime version de leur personne.",19,27430,795
Oracle,Les oracles peuvent prévoir l’avenir afin de protéger et renforcer leurs camarades. Les talents divinatoires des oracles leurs permettentd’octroyer des bénédictions et des avantages uniques à leurs camarades avant même que le besoin ne se présente.,20,26934,795
Druide de la Griffe,"Les druidesses et druides de la Griffe maîtrisent totalement leurs puissantes formes animales. Lorsqu’ils se transforment en félins ou en ours, ils deviennent de féroces combattants et protecteurs de la nature.",21,26675,793
Traqueur sauvage,"Vivant dans les régions les plus reculées du monde, les traqueurs et traqueuses sauvages chassent afin de perpétuer le cycle de la vie et de la mort et d’éradiquer les ennemis de la nature, et utilisent leurs pouvoirs de guérison pour redonner vie aux étendues arides.",22,26677,793
Gardien du Bosquet,"Les gardiens et gardiennes du Bosquet suivent l’exemple des puissants enfants de Cénarius pour protéger l’équilibre de la nature et préserver le Rêve, canalisant son pouvoir pour renforcer leurs sorts et invoquant des tréants afin de protéger les personnages alliés et d’écraser leurs adversaires.",23,26686,793
Élu d’Élune,Les élues et élus d’Élune consacrent leur vie à la déesse de la lune et bénéficient ainsi de son lien avec la lune et les étoiles. Leurs techniques sont imprégnées de pouvoir astral et ils peuvent invoquer de puissantes magies lunaires.,24,26685,793
DPS,Brann terrasse ses adversaires à distance en maniant son Vieux fidèle.,29,24179,874
Soins,Brann utilise ses fournitures médicales et les reliques qu’il a récupérées pour soigner les personnages-joueurs blessés.,30,24186,874
San’layn,Les San’layn n’ont pas leur pareil pour utiliser la magie du sang et de l’ombre afin d’affaiblir leurs adversaires et de renforcer leurs propres capacités.,31,26673,750
Cavalier de l’Apocalypse,"Les cavaliers de l’Apocalypse invoquent la puissance des quatre cavaliers légendaires. Ils peuvent appeler les cavaliers à l’aide, et puiser dans les pouvoirs de la mort, de la famine et de la maladie.",32,27222,750
Porte-mort,Devenez l’émissaire de la mort. Ciblez l’âme de vos adversaires avec des attaques renforcées par l’Ombreterre et rappelez-leur l’inévitable.,33,26672,750
Marque de la corruption,La marque de la corruption libère le démon intérieur de ceux et celles qui la portent et amplifie le pouvoir explosif de leur gangrefeu.,34,27066,854
Saccage des Aldrachi,"Les Aldrachi maîtrisaient à la perfection le glaive et maniaient leurs lames avec une grâce mortelle, consommant les âmes et imprégnant leurs armes d’un plus grand pouvoir.",35,27132,854
Squammandant,"Les squammandantes et squammandants ont un talent inné pour commander et donnent à leurs troupes l’inspiration dont elles ont besoin pour s’améliorer. Généraux choisis par les Dracthyrs, ils utilisent leurs sorts renforcés pour donner des ordres de combat et rallier leurs troupes.",36,27067,872
Sculpte-flammes,"Les sculpte-flammes entretiennent un lien très étroit avec Alexstrasza et se spécialisent dans la protection des alliés, la récupération et le renouveau. Les sculpte-flammes ont aussi la capacité unique de propager, intensifier et manipuler les flammes draconiques.",37,27223,872
Garde-temps,"Les Garde-temps manipulent le temps, ce qui leur permet de voir le futur et d’accélérer leurs attaques ou de se remémorer des échos et de revivre des actions passées. Leur don pour la magie de bronze les rend un peu instables en raison des nombreux avenirs possibles qui les assaillent constamment.",38,26678,872
Solfurie,"En adoptant les flammes arcaniques, les mages solfurie peuvent renforcer leurs incantations les plus dévastatrices, et parfois même invoquer l’aide d’un phénix du feu-sorcier.",39,27133,658
Jeteur de sort,"Les jeteuses et jeteurs de sorts maîtrisent la nature intrinsèquement instable de la magie, ce qui leur permet de fragmenter la leur afin de créer de nouveaux effets puissants et volatils.",40,27429,658
