ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,Bugs et suggestions,1
9598,CHARACTER_BUTTON,Infos personnage,1
9599,MAINMENU_BUTTON,Menu de jeu,3
9600,QUESTLOG_BUTTON,Journal des quêtes,1
9601,SPELLBOOK_BUTTON,Grimoire,1
9602,BACKPACK_TOOLTIP,Sac à dos,5
9603,INVENTORY_TOOLTIP,Inventaire,5
9605,MELEE_ATTACK,Att. de mêlée,1
9606,ATTACK_SPEED_SECONDS,Vitesse d’attaque (secondes),1
9607,UNSPENT_TALENT_POINTS,Talents restants : %s,1
9610,DAMAGE_BONUS_TOOLTIP,Augmente les dégâts infligés avec une arme,1
9613,EXPERIENCE_COLON,Expérience :,1
9614,GUILD_TEMPLATE,%s |2 %s,1
9615,HEALTH_COLON,Vie :,1
9616,INTELLECT_COLON,Intelligence :,1
9617,DEFENSE_TOOLTIP,Défense,1
9618,MAGIC_RESISTANCES_COLON,Résistances magiques :,1
9619,MANA_COLON,Mana :,1
9620,MODIFIERS_COLON,Modificateurs :,1
9621,PLAYER_LEVEL,|c%2$s%4$s %3$s|r de niveau %1$s,1
9622,PROFICIENCIES_COLON,Capacités :,1
9623,SPIRIT_COLON,Esprit :,1
9625,REPUTATION,Réputation,5
9626,RESISTANCE0_NAME,Armure,1
9627,RESISTANCE1_NAME,Résistance au Sacré,5
9628,RESISTANCE2_NAME,Résistance au Feu,5
9629,RESISTANCE3_NAME,Résistance à la Nature,5
9630,RESISTANCE4_NAME,Résistance au Givre,5
9633,STRENGTH_COLON,Force :,1
9634,TITLE_TEMPLATE,%s des %s,1
9635,CONTAINER_SLOTS,%2$s %1$d |4emplacement:emplacements;,1
9636,EQUIP_CONTAINER,Mettez un conteneur ici,1
9637,HEADSLOT,Tête,1
9638,NECKSLOT,Cou,1
9639,SHOULDERSLOT,Épaules,1
9640,BACKSLOT,Dos,1
9641,SHIRTSLOT,Chemise,1
9642,CHESTSLOT,Torse,1
9643,WAISTSLOT,Taille,1
9644,LEGSSLOT,Jambes,1
9645,FEETSLOT,Pieds,1
9646,WRISTSLOT,Poignets,1
9647,HANDSSLOT,Mains,1
9648,FINGER1SLOT,Doigt,1
