Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
Orc,1,0,0,0,0
Darnassien,2,0,0,0,0
Taurahe,3,0,0,0,0
Nain,6,0,0,0,0
Commun,7,0,0,0,0
Démoniaque,8,0,0,0,0
Titan,9,0,0,0,0
Thalassien,10,0,0,0,0
Draconique,11,0,0,0,0
Kalimag,12,0,0,0,0
Gnome,13,0,0,0,0
Zandali,14,0,0,0,0
Réprouvé,33,0,0,0,0
Draeneï,35,0,0,0,0
Zombie,36,0,0,0,0
Binaire gnome,37,0,0,0,0
Binaire gobelin,38,0,0,0,0
Gilnéen,39,0,0,0,0
Gobelin,40,0,0,0,0
Pandaren,42,0,0,0,0
Pandaren,43,0,0,0,0
Pandaren,44,0,0,0,0
Lutin,168,0,0,0,0
Shath’Yar,178,0,0,0,0
Nerglais,179,0,0,0,0
Sélénien,180,0,0,0,0
Shalassien,181,0,0,0,0
Thalassien,182,0,0,0,0
Vulpérin,285,0,0,0,0
Cryptogramme complexe,287,0,0,0,0
Cryptogramme de base,288,0,0,0,0
Métrial,290,7,5410,36,0
Altonien,291,7,5410,36,0
Sopranien,292,7,5410,36,0
Lagammique,293,7,5410,36,0
Régammique,294,7,5410,36,0
Solcléique,295,7,5410,36,0
Facléique,296,7,5410,36,0
Langues intégrées,297,2,0,0,0
Inintelligible,298,7,5410,36,0
Furbolg,303,1,5508,36,62550
Terrestre,304,1,0,36,69564
Nérubien,307,0,0,0,0
