DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
Sac,,2,1,0,0,-1,0,0,0,-1
Hache,Haches à une main,3,2,0,0,-1,3,0,1,1
Hache,Haches à deux mains,4,2,1,0,0,3,0,2,-1
Arc,Arcs,5,2,2,0,-1,128,0,1,-1
Arme à feu,Fusils,6,2,3,0,-1,160,0,1,-1
Masse,Masses à une main,7,2,4,0,-1,3,0,1,5
Masse,Masses à deux mains,8,2,5,0,4,3,0,2,-1
Arme d’hast,Armes d'hast,9,2,6,0,-1,3,0,2,-1
Epée,Epées à une main,10,2,7,0,-1,3,0,1,8
Epée,Epées à deux mains,11,2,8,0,7,3,0,2,-1
Glaives de guerre,,12,2,9,0,-1,1,0,2,-1
Bâton,Bâtons,13,2,10,0,-1,3,0,2,-1
Griffes d’ours,Griffes d’ours,14,2,11,0,-1,0,3,1,12
Griffes de félin,CatClaws,15,2,12,0,11,0,3,1,-1
Arme de pugilat,Armes de pugilat,16,2,13,0,-1,5,0,1,-1
Divers,,17,2,14,0,-1,2,1,0,-1
Dague,Dagues,18,2,15,0,-1,3,0,8,-1
Divers,,19,4,0,0,-1,512,1,0,-1
Tissu,Tissu,20,4,1,0,-1,1536,0,0,-1
Cuir,Cuir,21,4,2,0,-1,1536,0,0,-1
Mailles,Mailles,22,4,3,0,-1,1536,0,0,-1
Plaques,Plaques,23,4,4,0,-1,1536,0,0,-1
Ornemental,Ornemental,24,4,5,0,-1,0,1,0,-1
Bouclier,Boucliers,25,4,6,0,5,0,0,0,-1
Baguette(OBSOLETE),,26,6,0,0,-1,0,3,0,-1
Carreau(OBSOLETE),,27,6,1,0,-1,0,2,0,-1
Flèche,,28,6,2,0,-1,0,2,0,-1
Balle,,29,6,3,0,-1,0,2,0,-1
Carquois(OBSOLETE),,30,11,0,0,-1,0,7,0,-1
Bolt(OBSOLETE),,31,11,1,0,-1,0,7,0,-1
Carquois,,32,11,2,0,-1,0,6,0,-1
Giberne,,33,11,3,0,-1,0,6,0,-1
Armes de jet,Armes de jet,34,2,16,0,-1,16,0,1,-1
Arme de jet(OBSOLETE),,35,6,4,0,-1,0,2,0,-1
Intelligence,,36,3,0,1,-1,0,1,0,-1
Trade Goods (OBSOLETE),,37,7,0,0,-1,0,3,0,-1
Composants,,38,7,1,10,-1,0,1,0,-1
Explosives (OBSOLETE),,39,7,2,0,-1,0,3,0,-1
Livre,,40,9,0,0,-1,0,1,0,-1
Travail du cuir,,41,9,1,0,-1,0,1,0,-1
Couture,,42,9,2,0,-1,0,1,0,-1
Explosifs et appareils,,43,0,0,0,-1,0,1,0,-1
Potions,,44,0,1,0,-1,0,1,0,-1
Élixirs,,45,0,2,0,-1,0,1,0,-1
Lance,Lances,46,2,17,0,-1,3,2,2,-1
Argent(OBSOLETE),,47,10,0,0,-1,0,1,0,-1
Tête,,48,8,0,0,-1,0,1,0,-1
Quête,,49,12,0,0,-1,0,1,0,-1
Réactif,,50,5,0,0,-1,0,1,0,-1
Permanent,,51,14,0,0,-1,0,1,0,-1
Camelote,,52,15,0,0,-1,0,1,0,-1
Clé,,53,13,0,0,-1,0,1,0,-1
Crochetage,,54,13,1,0,-1,0,1,0,-1
Arbalète,Arbalètes,55,2,18,0,-1,160,0,1,-1
Baguette,Baguettes,56,2,19,0,-1,256,0,1,-1
Canne à pêche,Cannes à pêche,57,2,20,0,-1,0,0,8,-1
Devices (OBSOLETE),,77,7,3,0,-1,0,3,0,-1
Ingénierie,,99,9,3,0,-1,0,1,0,-1
Forge,,100,9,4,0,-1,0,1,0,-1
Cuisine,,101,9,5,10,-1,0,1,0,-1
Alchimie,,102,9,6,0,-1,0,1,0,-1
Secourisme,,103,9,7,11,-1,0,1,0,-1
Enchantement,,104,9,8,0,-1,0,1,0,-1
Pêche,,105,9,9,12,-1,0,1,0,-1
Joaillerie,,106,9,10,0,-1,0,1,0,-1
Sac d’âme,,107,1,1,0,-1,0,6,0,-1
Sac d’herbes,,109,1,2,0,-1,0,0,0,-1
Sac d’enchantement,,110,1,3,0,-1,0,0,0,-1
Sac d’ingénierie,,111,1,4,0,-1,0,0,0,-1
Libram,Librams,112,4,7,0,-1,0,2,0,-1
Idole,Idoles,113,4,8,0,-1,0,2,0,-1
Totem,Totems,114,4,9,0,-1,0,2,0,-1
Joaillerie,,115,7,4,1,-1,0,1,0,-1
Sac de gemmes,,116,1,5,0,-1,0,0,0,-1
Sac de mineur,,118,1,6,0,-1,0,0,0,-1
Agilité,,119,3,1,2,-1,0,1,0,-1
Force,,120,3,2,3,-1,0,1,0,-1
Endurance,,121,3,3,4,-1,0,1,0,-1
Esprit,,122,3,4,5,-1,0,3,0,-1
Coup critique,,123,3,5,6,-1,0,1,0,-1
Maîtrise,,124,3,6,7,-1,0,1,0,-1
Hâte,,125,3,7,8,-1,0,1,0,-1
Polyvalence,,126,3,8,9,-1,0,1,0,-1
Flacons & flasques,,131,0,3,0,-1,0,1,0,-1
Scroll (OBSOLETE),,132,0,4,0,-1,0,3,0,-1
Nourriture et boissons,,133,0,5,0,-1,0,1,0,-1
Item Enhancement (OBSOLETE),,134,0,6,0,-1,0,3,0,-1
Bandages,,135,0,7,0,-1,0,1,0,-1
Autres,,136,0,8,10,-1,0,1,0,-1
Tissu,,137,7,5,0,-1,0,1,0,-1
Cuir,,138,7,6,0,-1,0,1,0,-1
Métal et pierre,,139,7,7,0,-1,0,1,0,-1
Cuisine,,140,7,8,0,-1,0,1,0,-1
Herbes,,141,7,9,0,-1,0,1,0,-1
Élémentaire,,142,7,10,20,-1,0,1,0,-1
Autres,,143,7,11,30,-1,0,1,0,-1
Réactif,,144,15,1,0,-1,0,1,0,-1
Mascottes,,145,15,2,0,-1,0,1,0,-1
Fête,,146,15,3,0,-1,0,1,0,-1
Autres,,147,15,4,30,-1,0,1,0,-1
Enchantement,,148,7,12,0,-1,0,1,0,-1
Sac de travail du cuir,,149,1,7,0,-1,0,0,0,-1
Materials (OBSOLETE),,150,7,13,0,-1,0,3,0,-1
Monture,Monture,152,15,5,0,-1,0,0,0,-1
Guerrier,Guerrier,153,16,1,0,-1,0,0,0,-1
Paladin,Paladin,154,16,2,0,-1,0,0,0,-1
Chasseur,Chasseur,155,16,3,0,-1,0,0,0,-1
Voleur,Voleur,156,16,4,0,-1,0,0,0,-1
Prêtre,Prêtre,157,16,5,0,-1,0,0,0,-1
Chaman,Chaman,158,16,7,0,-1,0,0,0,-1
Mage,Mage,159,16,8,0,-1,0,0,0,-1
Démoniste,Démoniste,160,16,9,0,-1,0,0,0,-1
Druide,Druide,161,16,11,0,-1,0,0,0,-1
Ch. de la mort,Chevalier de la mort,162,16,6,0,-1,0,0,0,-1
Item Enchantment (OBSOLETE),,163,7,14,0,-1,0,3,0,-1
Enchantement d’arme,Enchantement d’arme,164,7,15,0,-1,0,3,0,-1
Cachet,Cachets,165,4,10,0,-1,0,2,0,-1
Sac de calligraphie,,167,1,8,0,-1,0,0,0,-1
Calligraphie,Calligraphie,168,9,11,0,-1,0,1,0,-1
Autres,,169,3,9,10,-1,0,1,0,-1
Caractéristiques multiples,,170,3,10,11,-1,0,0,0,-1
Boîte d’appâts,,171,1,9,0,-1,0,0,0,-1
Relique,,173,4,11,0,-1,0,2,0,-1
Moine,Moine,177,16,10,0,-1,0,0,0,-1
Mascotte de combat,Mascotte de combat,178,17,0,0,-1,0,0,0,-1
Sac de cuisine,Sac de cuisine,179,1,10,0,-1,0,0,0,-1
Jeton WoW,,180,18,0,0,-1,0,0,0,-1
Clé cruciale,,181,5,1,0,-1,0,1,0,-1
Chasseur de démons,Chasseur de démons,183,16,12,0,-1,0,0,0,-1
Runes de Vantus,,184,0,9,0,-1,0,1,0,-1
Calligraphie,,185,7,16,0,-1,0,1,0,-1
Explosives and Devices (OBSOLETE),,186,7,17,11,-1,0,3,0,-1
Relique d’arme prodigieuse,,187,3,11,0,-1,0,1,0,-1
Cou,,188,8,1,0,-1,0,1,0,-1
Épaule,,189,8,2,0,-1,0,1,0,-1
Cape,,190,8,3,0,-1,0,1,0,-1
Torse,,191,8,4,0,-1,0,1,0,-1
Poignets,,192,8,5,0,-1,0,1,0,-1
Mains,,193,8,6,0,-1,0,1,0,-1
Taille,,194,8,7,0,-1,0,1,0,-1
Jambes,,195,8,8,0,-1,0,1,0,-1
Pieds,,196,8,9,0,-1,0,1,0,-1
Doigt,,197,8,10,0,-1,0,1,0,-1
Arme,,198,8,11,0,-1,0,1,0,-1
Arme à deux mains,,199,8,12,0,-1,0,1,0,-1
Bouclier/main gauche,,200,8,13,0,-1,0,1,0,-1
Divers,,201,8,14,0,-1,0,1,0,-1
Équipement de monte,,326,15,6,0,-1,0,0,0,-1
Composants optionnels,,327,7,18,25,-1,0,1,0,-1
Jeton de contexte,,328,5,2,0,-1,0,1,0,-1
Forge,,329,19,0,0,-1,0,0,0,-1
Travail du cuir,,330,19,1,0,-1,0,0,0,-1
Alchimie,,331,19,2,0,-1,0,0,0,-1
Herboristerie,,332,19,3,0,-1,0,0,0,-1
Cuisine,,333,19,4,0,-1,0,0,0,-1
Minage,,334,19,5,0,-1,0,0,0,-1
Couture,,335,19,6,0,-1,0,0,0,-1
Ingénierie,,336,19,7,0,-1,0,0,0,-1
Enchantement,,337,19,8,0,-1,0,0,0,-1
Pêche,,338,19,9,0,-1,0,0,0,-1
Dépeçage,,339,19,10,0,-1,0,0,0,-1
Joaillerie,,340,19,11,0,-1,0,0,0,-1
Calligraphie,,341,19,12,0,-1,0,0,0,-1
Archéologie,,342,19,13,0,-1,0,0,0,-1
Composants de finition,,343,7,19,25,-1,0,1,0,-1
Sac de composants,,344,1,11,0,-1,0,0,0,-1
Bibelot utilitaire,,345,0,10,0,-1,0,2,0,-1
Bibelot de combat,,346,0,11,0,-1,0,2,0,-1
Relique,,355,0,12,0,-1,0,1,0,-1
Élément de décoration,,356,20,0,0,-1,0,3,0,0
Teinture de logis,,357,20,1,0,-1,0,0,0,0
Pièce,,358,20,2,0,-1,0,0,0,0
Personnalisation de pièce,,359,20,3,0,-1,0,0,0,0
Personnalisation extérieure,,360,20,4,0,-1,0,0,0,0
Objet de service,,361,20,5,0,-1,0,0,0,0
