ID,Name_lang,Description_lang,IconFileDataID,Category
1,Agression sauvage,Un ennemi imprévisible dont l’agression doit être contenue.,136080,2
2,Assaut d’envergure,Une technique qui inflige des dégâts importants.,132355,2
3,Dégâts de groupe,Une technique qui inflige des dégâts à plusieurs membres du groupe.,135826,2
4,Affaiblissement magique,Un effet dangereux et nuisible qui doit être dissipé.,136207,2
6,Zones de danger,Une technique qui affecte une zone ciblée et devant être évitée ou esquivée.,451165,2
7,Vagues de sbires,Un ennemi disposant de nombreux alliés. Vulnérable aux dégâts de zone.,237511,2
8,Sort puissant,Un sort dangereux qu’il vaut mieux interrompre.,136197,2
9,Sbires meurtriers,Un ennemi flanqué d’alliés puissants qu’il faut neutraliser.,1035504,2
10,Bataille limitée,Un ennemi qu’il faut éliminer au plus vite.,237538,2
11,Orc,Lok’tar ogar !,897144,1
12,Ogre,Qu’est-ce que vous regardez ?,236695,1
13,Mort-vivant,Ceeerveauuux…,236458,1
14,Arakkoa,Une espèce ancienne et dangereuse.,236435,1
15,Bête,Rarrrh.,298659,1
16,Démon,La fin est proche.,254651,1
17,Briseur,Des géants colossaux et destructeurs originaires de Draenor.,236412,1
18,Fureur,Les entités élémentaires de Draenor.,254652,1
19,Aberration,Des créatures du Vide.,298680,1
20,Primordial,"D’anciennes créatures, vestiges du lointain passé de Draenor.",254105,1
21,Montagnes,Une région montagneuse.,236848,0
22,Désert,Un milieu aride et hostile.,236846,0
23,Neige,Une région arctique.,236833,0
24,Souterrain,Le sombre abîme.,409595,0
25,Jungle,Un environnement à la végétation luxuriante.,236850,0
26,Forêt,Des terres arborées.,236830,0
27,Ville,Un petit périmètre urbain.,462338,0
28,Marais,Un endroit fétide où l’on n’a pas envie de s’attarder.,236819,0
29,Plaines,Une succession de vertes collines et de vastes plaines.,236712,0
58,Plateau de jeu de Hearthstone,Asseyez-vous près du foyer !,4620678,0
60,Alchimie,Cette mission concerne l’alchimie.,4620669,0
61,Forge,Cette mission concerne la forge.,4620670,0
62,Enchantement,Cette mission concerne l’enchantement.,4620672,0
63,Ingénierie,Cette mission concerne l’ingénierie.,136243,0
64,Joaillerie,Cette mission concerne la joaillerie.,4620677,0
65,Travail du cuir,Cette mission concerne le travail du cuir.,133611,0
66,Couture,Cette mission concerne la couture.,4620681,0
67,Calligraphie,Cette mission concerne la calligraphie.,4620676,0
73,Sous-marin,"Les sous-marins se déplacent silencieusement sous la surface des eaux, afin de prendre les navires ennemis par surprise.

|cffb2f0ffContré par : |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r",1141396,2
74,Porte-nefs,"Les porte-nefs disposent d’un contingent de pilotes de bombardier aguerris.

|cffb2f0ffContré par : |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Sous-marin|r",1141394,2
75,Destroyer,"Les destroyers sont des navires rapides, dotés d’un épais blindage et spécialisés dans la chasse au sous-marin.

|cffb2f0ffContré par : |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Cuirassé|r",1141395,2
76,Cuirassé,"Dotés de redoutables canons d’artillerie à longue portée, les cuirassés sont des adversaires inégalables en pleine mer.

|cffb2f0ffContré par : |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Porte-nefs|r",1141390,2
77,Eau glacée,De gros blocs de glace flottent à la surface des eaux. Les difficultés de navigation au milieu de ce labyrinthe d’icebergs rendent vos navires vulnérables aux attaques.,236794,2
78,Temps orageux,"Les violentes rafales de vent, chutes de foudre et autres lames de fond sont les problèmes principaux auxquels on s’expose en naviguant par temps orageux.",463562,2
79,Brouillard dense,Un brouillard dense plonge les lieux dans l’obscurité la plus totale.,132331,2
80,Tourbillons chaotiques,"Les tourbillons chaotiques apparaissent sans raison et donc sans prévenir, ravageant tout navire qui tente de les traverser.",892446,2
81,Rapide,"Capable d’accélérations fulgurantes, c’est tout d’abord un adversaire difficile à suivre. Et pour ce qui est du combat en lui-même, préparez-vous à quelque chose de « physique ».",132120,2
82,Furtif,"Capable de virer de bord aussi rapidement que de manière imprévisible, c’est une cible difficile à toucher.",136205,2
83,Poseur de mines,Ce poseur de mines laisse dans son sillage une bordée de mines de proximité capables de jouer de bien mauvais tours à ceux qui tente de suivre la piste du navire.,133710,2
84,Frappe initiale,Une ouverture d’offensive rapide susceptible de mettre un terme à la bataille avant même qu’elle n’ait commencé.,132212,2
85,Capitaine expert,"Un navire commandé par un capitaine vétéran versé dans l’art du combat naval. Il est impossible de contrer directement les capitaines experts, mais ces derniers doivent être pris en compte.",133168,2
86,Objectif terrestre,,132296,2
87,Objectif terrestre,"Objectif nécessitant de transporter des provisions ou des troupes jusque sur la terre ferme.

|cffb2f0ffContré par : |r
|TInterface\ICONS\Ships_ABILITY_BoardingPartyALLIANCE.blp:24:24:0:0|t |cffffffffTransporteur|r",132296,2
88,Équipage maudit,Équipage composé de marins maudits.,135974,2
89,Falaises,Une région aux périls impitoyables.,409549,0
109,Boss,"|CFFFFFFF0Boss|R
Réduit les chances de succès de la mission s’il n’est pas contré.",1357797,2
110,Danger,"|CFFFFFFF0Danger|R
Augmente la durée de la mission s’il n’est pas contré.",1357798,2
111,Tourbillon,,132369,2
112,Guerrier,,132347,2
113,Boss,"|CFFFFFFF0Boss|R
Réduit les chances de succès de la mission s’il n’est pas contré.",1357797,2
114,Boss,"|CFFFFFFF0Boss|R
Réduit les chances de succès de la mission s’il n’est pas contré.",1357797,2
115,Serviteurs,"|CFFFFFFF0Armée|R
Cette armée possède d’excellentes armures. Augmente la durée de la mission si elle n’est pas contrée.",1357814,2
121,Sort,"|CFFFFFFF0Sort|R
Un sort qui inflige d’importants dégâts aux soldats s’il n’est pas contré.",1357804,2
122,Embuscade,Chances de succès de la mission réduites. Ne peut être contré.,1357812,2
124,Boss,"|CFFFFFFF0Boss|R
Réduit les chances de succès de la mission s’il n’est pas contré.",1357797,2
125,Boss,"|CFFFFFFF0Boss|R
Réduit les chances de succès de la mission s’il n’est pas contré.",1357797,2
126,Brutal,Chances de succès réduites de ${$a910}%.,311232,2
127,Facile,Chances de succès réduites de ${$a909}%.,311236,2
128,Difficile,Chances de succès réduites de ${$a907}%.,311237,2
129,Très difficile,Chances de succès réduites de ${$a908}%.,311238,2
130,Élite,Chances de succès de la mission réduites. Ne peut être contré.,1357812,2
131,Donjon,Chances de succès de la mission réduites. Ne peut être contré.,1357812,2
132,Raid,Chances de succès de la mission réduites. Ne peut être contré.,1357812,2
135,Élite d’Argus,"|CFFFFFFF0Élite d’Argus|R
Réduit les chances de succès des missions si elle n’est pas contrée.",1113433,2
138,Objectif principal,"Excelle dans la fabrication et la destruction d’engins en tout genre, et dans la fabrication d’engins destructeurs.",134520,2
139,Reconnaissance,|cFFFFD200« Les grands groupes attirent l’attention »|r,134441,2
141,Éclaireur,,134441,2
142,Distance,,236201,2
143,Mêlée,,132269,2
144,Monté,,132226,2
145,Sabotage,"Tant que cette technique est active, augmente la durée des autres missions de 50%.

|cFFFFD200« Les explosions, c’est salissant. »|r",133715,0
147,Objectif principal,"Trouve des cibles, récupère des informations et a la classe.",132288,2
148,Vision nocturne,Permet de voir dans l’obscurité totale.,136057,2
149,Objectif principal,Formé à différents styles de combat et armes.,615342,2
150,Frappe rapide,"Réduire la durée d’une mission augmente ses chances de succès.

|cFFFFD200« Une attaque rapide surprendra l’ennemi et ne lui permettra pas de la contrer. Entrez et sortez. »|r",134376,0
151,Mission d’élite,Chances de succès de la mission réduites. Ne peut être contré.,616373,2
153,Camouflage,"Les troupes réduisent les chances de succès de 100%.

|cFFFFD200« Les grands groupes attirent l’attention »|r",132320,2
154,Campagne au long cours,"Augmente les chances de succès des missions de 10% par point de vitalité des unités.

|cFFFFD200« Des renforts frais pourraient être utiles en raison des longs trajets et des conditions éreintantes. »|r",1060984,2
256,Abysses,"Chances de réussite de la mission réduites.

|cFFFFD200« Et comment on va y aller, à la nage, peut-être ? »|r",135861,2
257,JasonTest Mechanic,JasonTest Mechanic,0,0
