ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Flags,Field_9_1_0_38511_004,ItemContextOffset
1,,50,0,0,0,0
2,Bonus de Hâte garanti,1,2915,1,0,0
4,,3,2922,0,0,0
5,Bonus au score de Coup critique garanti,6,2927,1,0,0
6,Bonus de Polyvalence garanti,7,2928,1,0,0
7,Bonus de Maîtrise garanti,5,2929,1,0,0
8,Fixe le niveau d’objet à 117 et le niveau requis à 55.,29,3203,0,0,0
9,Fixe le niveau d’objet à 168 et le niveau requis à 60.,46,3210,0,0,0
10,Fixe le niveau d’objet à 180 et le niveau requis à 60.,8,3210,0,0,0
11,Fixe le niveau d’objet à 200.,8,3211,0,0,0
17,Durée des flacons augmentée,44,2939,0,0,0
27,Durée de « bien nourri » augmentée,11,3000,0,0,0
30,Inflige des dégâts de Feu à un ennemi,17,3070,0,0,0
32,Fixe le niveau d’objet à $ev1 et le niveau requis à $ev2.,18,3204,0,0,0
34,Fixe le niveau d’objet à $ev1 et le niveau requis à $ev2.,30,3205,0,0,0
36,Fixe le niveau d’objet à $ev1 et le niveau requis à $ev2.,31,3206,0,0,0
38,Fixe le niveau d’objet à $ev1 et le niveau requis à $ev2.,32,3207,0,0,0
39,Fixe le niveau d’objet à $ev1 et le niveau requis à $ev2.,33,3208,0,0,0
58,Réduit les dégâts de chute.,41,3147,0,0,0
59,Augmente légèrement la vitesse de déplacement,42,3148,0,0,0
61,Augmente la vitesse de nage.,40,3152,0,0,0
62,Inflige des dégâts de Givre à un ennemi,17,3153,0,0,0
64,"Permet de conserver l’état « bien nourri », même après une mort en arène ou en champ de bataille.",38,3175,0,0,0
65,Chances d’obtenir un point de compétence supplémentaire lors de la fabrication d’objets.,39,3176,0,0,0
66,Ajoute une châsse.,35,3177,0,0,0
67,@spelldesc332950,11,169,0,0,0
68,Accomplir une expédition augmente la caractéristique principale,37,3178,0,0,0
70,Fixe le niveau d’objet à 129 et le niveau requis à 53.,29,3203,0,0,0
71,Fixe le niveau d’objet à 200 et le niveau requis à 60.,51,3211,0,0,0
72,Fixe le niveau d’objet à 165 et le niveau requis à 57.,29,3209,0,0,0
73,Fixe le niveau d’objet à 165.,29,3210,0,0,0
74,Fixe le niveau d’objet à 54 et le niveau requis à 47.,45,3208,0,0,0
75,Fixe le niveau d’objet à 56 et le niveau requis à 45.,32,3207,0,0,0
76,Fixe le niveau d’objet à 43 et le niveau requis à 35.,31,3206,0,0,0
77,Fixe le niveau d’objet à 33 et le niveau requis à 25.,30,3205,0,0,0
78,Fixe le niveau d’objet à 23 et le niveau requis à 15.,18,3204,0,0,0
79,Fixe le niveau d’objet à 87 et le niveau requis à 50.,45,3265,0,0,0
80,Augmente le niveau d’objet de l’équivalent de 2 rangs.,50,0,0,0,2
81,Fixe le niveau d’objet à 230/niveau requis à 60. Ajoute Équipement unique : artisanat de Shadowlands,52,3323,0,0,0
82,Fixe le niveau d’objet à 233 et le niveau requis à 60.,53,3444,0,0,0
83,Fixe le niveau d’objet à 262/niveau requis à 60. Ajoute Équipement unique : artisanat de Shadowlands,54,3445,0,0,0
84,Augmente le niveau d’objet de l’équivalent de 3 rangs.,55,0,0,0,3
85,Chance de créer près de la cible un noyau d’Automa qui explose et produit des dégâts et des soins.,56,3448,0,0,0
