ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,Afficher les comptoirs,Vous permet d’exposer cinq montures supplémentaires dans les écuries.,0,0,0,132224,100,0
3,Vendeur de montures,Un vendeur de montures rares s’est installé non loin de vos écuries.,0,1,0,413588,5,0
7,Portail de rappel,Vous permet de mettre fin à une mission en cours et de faire revenir vos sujets immédiatement.,0,5,0,511651,0,0
8,Chasseur de têtes,"Recrute au hasard un sujet doté d’un trait, d’une technique ou d’un rôle spécifique contre 10 matériaux.",0,6,0,134149,0,0
9,Chef rochenoire,Donne accès aux quêtes journalières de cuisine de votre fief.,0,6,0,236571,0,0
11,Chariots de mine,Des mineurs supplémentaires remplissent des chariots de minerais et d’autres choses étranges.,0,7,3,961629,0,0
12,Verger,Plantez un verger dans votre fief pour cultiver des fruits rares.,9,7,0,133977,0,0
13,Couteau à dépecer exquis,Augmente la production horaire de peau de 10%.,0,7,0,924154,0,0
22,Casseur de cailloux,"Crée des matériaux supplémentaires utilisés pour les routes, la maçonnerie, etc. en écrasant les déchets miniers.",0,7,3,135236,0,0
23,Téléportation de masse,"Une fois par jour, vous permet d’éviter le temps de voyage lors de la première mission nécessitant 5 sujets.",0,5,0,413583,0,0
24,Voyage en ville,Donne accès à des portails permettant de vous rendre dans d’autres villes qu’Orgrimmar et Hurlevent.,0,5,0,135744,0,0
25,Récolte mécanisée,La récolte d’herbes dans le jardin devient automatique.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,Rochenoire,Augmente la quantité de minerai de Rochenoire dans vos cargaisons.,0,3,0,0,0,0
28,Vérifer,Augmente la quantité de vérifer dans vos cargaisons.,0,3,0,0,0,0
31,Cargaison de poissons,"Une livraison de poisson frais tous les jours, directement dans votre cabane de pêche !",0,6,3,970842,0,0
32,Pêche aux appâts,Augmente grandement les chances de trouver des appâts en pêchant dans les eaux de votre fief.,0,6,3,970852,0,0
33,Troglodyte,Vous donne une chance de pêcher des vairons givre-profond dans les eaux de votre fief. Ces derniers permettent d’invoquer des troglodytes givre-profond.,0,6,3,970814,0,0
34,Laboratoire étudiant,Votre laboratoire d’alchimie accueille des élèves et la classe vous offre quelques potions tous les jours.,0,6,3,413574,0,0
35,Transmutation,Le laboratoire se spécialise dans la transformation d’objets physiques et augmente la production quotidienne de cristaux métamorphiques.,0,6,3,967514,0,0
36,Élixir,Le laboratoire se spécialise dans l’étude des réactions alchimiques et augmente la production quotidienne de catalyseurs alchimiques.,0,6,3,967512,0,0
37,Appel aux armes renforcé,Renforce les troupes de votre technique Appel aux armes pour provoquer plus de dégâts.,0,6,3,975738,0,0
38,Secourisme,Invoque un PNJ secouriste qui vous fournira des potions de soins et des bandages tous les jours.,0,6,3,135966,0,0
39,Prison,Arrête parfois des voleurs qui devront payer des amendes ou vous fournir des renseignements utiles.,0,6,3,136058,0,0
40,Gardes de la mine,"Des gardes du fief patrouillent dans votre mine, éloignant les gorens belliqueux.",0,6,3,132110,0,0
41,Achats en gros,Réduit le coût d’achat des bâtiments et celui du changement de spécialisation.,0,6,3,132761,0.5,0
