ID,Description_lang,Field_11_2_5_62687_001_lang
1,Membre du groupe,
2,Membre du raid,
3,Échanger,Échange
4,Murmure,Chuchotement
5,Commande publique exécutée par autrui,A honoré votre commande d’artisanat publique
6,Commande publique exécutée par vous,A honoré sa commande d’artisanat publique
7,Commande personnelle exécutée par autrui,A honoré votre commande d’artisanat
8,Commande personnelle exécutée par vous,A honoré sa commande d’artisanat
9,Commande de guilde exécutée par autrui,A honoré votre commande d’artisanat
10,Commande de guilde exécutée par vous,A honoré sa commande d’artisanat
11,Créature tuée,A combattu avec vous
12,Terminer le donjon,A terminé un donjon avec vous
13,Tuer le boss de raid,A participé à un raid avec vous
14,Tuer le boss de recherche de raid,A participé à un raid avec vous
15,Terminer un Gouffre,A exploré un Gouffre avec vous
16,Terminer une arène,A participé à une arène avec vous
17,Terminer un champ de bataille,A combattu sur un champ de bataille avec vous
18,Duel,A participé à un duel
19,Combat de mascottes,A participé à un combat de mascottes
20,Victoire JcJ,A joué en JcJ avec vous
