ID,ContainerName_lang,ContainerDescription_lang,MinAmount,MaxAmount,ContainerIconID,ContainerQuality,OnLootSpellVisualKitID,CurrencyTypeID
12,Minuscule éclat d’azérite,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,1,49,2065629,2,101693,1553
13,Petit fragment d’azérite,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,50,99,2065623,2,101693,1553
14,Petit éclat d’azérite,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,100,149,2065624,2,101693,1553
15,Petit amas d’azérite,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,150,199,2065622,2,101693,1553
16,Cristal d’azérite luminescente,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,200,299,2065586,3,101692,1553
17,Azérite luminescente,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,300,399,2065611,3,101692,1553
18,Géode d’azérite luminescente,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,400,499,2065610,3,101692,1553
19,Fragment d’azérite radieuse,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,500,749,2065617,4,101486,1553
20,Noyau d’azérite radieuse,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,750,999,2065616,4,101486,1553
21,Matrice d’azérite radieuse,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,1000,1999,2065619,4,101486,1553
31,Cœur d’azérite bourdonnant,Confère %d |4point:points; de puissance prodigieuse à votre Cœur d’Azeroth.,2000,30000000,2065618,4,101486,1553
132,Récompense de la 7e Légion,Octroie %d |4point:points; de réputation auprès de la 7e Légion.,1,199,2065569,2,0,1599
133,Récompense des Champions d’Azeroth,Octroie %d |4point:points; de réputation auprès des Champions d’Azeroth.,1,299,2065570,2,0,1579
134,Récompense de la Brigade de l’Honneur,Octroie %d |4point:points; de réputation auprès de la Brigade de l’Honneur.,1,199,2065571,2,0,1600
135,Récompense de l’Ordre des Braises,Octroie %d |4point:points; de réputation auprès de l’Ordre des Braises.,1,199,2065572,2,0,1592
136,Récompense de l’Amirauté des Portvaillant,Octroie %d |4point:points; de réputation auprès de l’Amirauté des Portvaillant.,1,199,2065573,2,0,1593
137,Récompense du Sillage des tempêtes,Octroie %d |4point:points; de réputation auprès du Sillage des tempêtes.,1,199,2065574,2,0,1594
138,Récompense des Chercheurs tortollans,Octroie %d |4point:points; de réputation auprès des Chercheurs tortollans.,1,299,2065576,2,0,1598
139,Récompense de l’Empire zandalari,Octroie %d |4point:points; de réputation auprès de l’Empire zandalari.,1,199,2065579,2,0,1597
140,Récompense de l’Expédition de Talanji,Octroie %d |4point:points; de réputation auprès de l’Expédition de Talanji.,1,199,2065575,2,0,1595
141,Récompense des Volduni,Octroie %d |4point:points; de réputation auprès des Volduni.,1,199,2065577,2,0,1596
142,Récompense de la 7e Légion,Octroie %d |4point:points; de réputation auprès de la 7e Légion.,200,1000000,2065569,3,0,1599
143,Récompense des Champions d’Azeroth,Octroie %d |4point:points; de réputation auprès des Champions d’Azeroth.,300,1000000,2065570,3,0,1579
144,Récompense de la Brigade de l’Honneur,Octroie %d |4point:points; de réputation auprès de la Brigade de l’Honneur.,200,1000000,2065571,3,0,1600
145,Récompense de l’Ordre des Braises,Octroie %d |4point:points; de réputation auprès de l’Ordre des Braises.,200,1000000,2065572,3,0,1592
146,Récompense de l’Ordre des Braises,Octroie %d |4point:points; de réputation auprès de l’Ordre des Braises.,200,1000000,2065572,3,0,1592
147,Récompense de l’Amirauté des Portvaillant,Octroie %d |4point:points; de réputation auprès de l’Amirauté des Portvaillant.,200,1000000,2065573,3,0,1593
148,Récompense du Sillage des tempêtes,Octroie %d |4point:points; de réputation auprès du Sillage des tempêtes.,200,1000000,2065574,3,0,1594
149,Récompense des Chercheurs tortollans,Octroie %d |4point:points; de réputation auprès des Chercheurs tortollans.,300,1000000,2065576,3,0,1598
150,Récompense de l’Empire zandalari,Octroie %d |4point:points; de réputation auprès de l’Empire zandalari.,200,1000000,2065579,3,0,1597
151,Récompense de l’Expédition de Talanji,Octroie %d |4point:points; de réputation auprès de l’Expédition de Talanji.,200,1000000,2065575,3,0,1595
152,Récompense des Volduni,Octroie %d |4point:points; de réputation auprès des Volduni.,200,1000000,2065577,3,0,1596
155,Recommandation des Transcendés,Octroie %d |4point:points; de réputation auprès des Transcendés.,1,1000000,3257748,3,0,1804
156,Recommandation de l’Armée immortelle,Octroie %d |4point:points; de réputation auprès de l’Armée immortelle.,1,1000000,3492310,3,0,1805
157,Recommandation de l’Hallali,Octroie %d |4point:points; de réputation auprès de l’Hallali.,1,1000000,3575389,3,0,1806
158,Recommandation de la cour des Moissonneurs,Octroie %d |4point:points; de réputation auprès de la cour des Moissonneurs.,1,1000000,3514227,3,0,1807
159,Emblème de renom,Augmente votre renom auprès de votre congrégation de %d.,0,0,3726261,5,0,1822
160,Prestige de la cour des Braises,Augmente la réputation de la cour des Braises de %d.,1,1000000,3641397,3,0,1837
161,Lettre de remerciements parfumée de la comtesse,Augmente votre amitié avec la comtesse de %d.,1,1000000,1505932,3,0,1838
162,Remerciements griffonnés à la hâte de Rondel,Augmente votre amitié avec Rondel et Férul de %d.,1,1000000,1505955,3,0,1839
163,Parchemin orné d’une grande empreinte de pouce,Augmente votre amitié avec Tête-de-Caillasse de %d.,1,1000000,1505957,3,0,1840
164,Les 10 préceptes de Kassir sur les joies des festivités,Augmente votre amitié avec le gardien de la crypte Kassir de %d.,1,1000000,134331,3,0,1841
165,Carte de remerciements officielle de la baronne Vashj,Augmente votre amitié avec la baronne Vashj de %d.,1,1000000,133472,3,0,1842
166,Remerciements diplomatiques succincts de Mograine,Augmente votre amitié avec Alexandros Mograine de %d.,1,1000000,133473,3,0,1845
167,Remerciements rédigés au dos d’un ticket de paris,Augmente votre amitié avec le grand maître Vole de %d.,1,1000000,134329,3,0,1844
168,Remerciements maculés de gelée,"Augmente votre amitié avec Marileth, le catalyseur de peste de %d.",1,1000000,237246,3,0,1843
169,Remerciements empressés rédigés sur parchemin officiel,Augmente votre amitié avec Sika de %d.,1,1000000,1505958,3,0,1846
170,Remerciements attentionnés de Pélagos,Augmente votre amitié avec Kléia et Pélagos de %d.,1,1000000,1505933,3,0,1847
171,Remerciements protocolaires guindés,Augmente votre amitié avec le marchedroit Adrestès de %d.,1,1000000,1505935,3,0,1848
172,Remerciements griffonnés au dos d’un plan inachevé,Augmente votre amitié avec Mikanikos de %d.,1,1000000,134330,3,0,1849
173,Gland luisant de Choufa,Augmente votre amitié avec Choufa de %d.,1,1000000,1052644,3,0,1850
174,Remerciements gravés à la griffe,Augmente votre amitié avec la dromane Aliothe de %d.,1,1000000,442743,3,0,1851
175,Missive de remerciements envoyée par le capitaine de l’Hallali,Augmente votre amitié avec le capitaine de l’Hallali Korayn de %d.,1,1000000,237247,3,0,1852
176,Remerciements enchantés,Augmente votre amitié avec dame Baie-de-Lune de %d.,1,1000000,237249,3,0,1853
182,Bonus d’expérience,Augmente considérablement l’expérience du personnage-joueur.,1,9999999,1001982,3,0,1877
183,Récompense des Maîtres des sutures,Octroie %d |4point:points; de réputation auprès des Maîtres des sutures.,1,1000000,3622121,3,0,1878
184,Recherches sur les stèles du vice,Augmente de %d votre réputation auprès des Confirmés.,1,1000000,1506458,3,0,1884
185,Marque de survivaliste de l’Antre,Augmente de %d votre réputation auprès de Ve’nari.,1,1000000,1362656,3,0,1880
186,Recommandation de l’Avancée de la mort,Octroie %d |4point:points; de réputation auprès de l’Avancée de la mort.,1,1000000,4064729,3,0,1907
188,Volume du Codex des archivistes,Augmente de %d votre progression dans le Codex des archivistes.,1,1000000,442732,3,0,1997
189,Recommandation des Éclairés,Octroie %d |4point:points; de réputation auprès des Éclairés.,1,1000000,4226232,3,0,1982
190,Cache de fournitures des îles aux Dragons,Contient %d ressource(s) précieuse(s) à échanger avec les factions des îles aux Dragons.,25,0,1518638,3,0,2003
191,Recommandation des Roharts iskaariens,Octroie %d |4point:points; de réputation auprès des Roharts iskaariens.,1,1000000,4687629,3,0,2109
192,Recommandation de l’expédition du Dracaret,Améliore de %d la réputation auprès de l’expédition du Dracaret.,1,1000000,4687628,3,0,2031
193,Recommandation du concordat de Valdrakken,Améliore de %d la réputation auprès du concordat de Valdrakken.,1,1000000,4687630,3,0,2106
194,Recommandation des Centaures maruuks,Octroie %d |4point:points; de réputation auprès des Centaures maruuks.,1,1000000,4687627,3,0,2108
195,Arcane majeur de l’assemblée de Cobalt,Octroie %d |4point:points; de réputation auprès de l’assemblée de Cobalt.,26,1000000,132860,3,0,2134
196,Arcane médian de l’assemblée de Cobalt,Octroie %d |4point:points; de réputation auprès de l’assemblée de Cobalt.,10,25,132841,2,0,2134
197,Arcane mineur de l’assemblée de Cobalt,Octroie %d |4point:points; de réputation auprès de l’assemblée de Cobalt.,1,9,237551,1,0,2134
198,Récompense des Flairans de Terreau,Octroie %d |4point:points; de réputation auprès des Flairans de Terreau.,1,1000000,5140835,3,0,2420
199,Mérite de Soridormi,Octroie %d |4point:points; de réputation auprès de Soridormi.,1,1000000,922527,3,0,2645
201,1 écu onirique de Dragonnet,"Obtenu grâce à de nombreuses activités en extérieur, en mode outil Raids Amirdrassil et aux donjons clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
202,2 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
203,3 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
204,4 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
205,5 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
206,6 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
207,7 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
208,8 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
209,9 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
210,10 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
211,11 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
212,12 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
213,13 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
214,14 écus oniriques de Dragonnet,"Obtenus grâce à de nombreuses activités en extérieur, en mode outil Raids d’Amirdrassil et dans les donjons de clé mythique jusqu’à +5 au cours de la saison 3 de Dragonflight.",500,500,5309872,3,0,2715
