ID,Name_lang,TrophyTypeID,GameObjectDisplayInfoID,PlayerConditionID
1,Maître apogide,3,20529,28227
3,Maître artisan de Draenor,3,19152,27762
4,Défenseur de Draenor,4,19153,28169
5,Dresseur de mascottes de Draenor,3,20514,28226
9,Écumeur des raids mythiques de Draenor,3,19207,28220
10,Raids mythiques de Draenor,4,19209,28220
11,Maître artisan de Draenor,4,19573,27762
12,Défenseur de Draenor,3,20403,28169
13,Dresseur de mascottes de Draenor,4,20528,28226
14,Maître de l’apogide,4,20530,28227
15,Statue parfaitement banale,0,10782,24827
16,Le roi en vert,4,23436,30838
17,Le roi en vert,3,23502,30838
18,Chapitre IV : Les Ténèbres incarnées,3,26914,34184
19,Dresseur de mascottes de Draenor,0,20514,27108
20,Chapitre IV : Les Ténèbres incarnées,4,26914,34184
