ID,Answer_lang,Sort_Index,GMSurveyQuestionID
101,N/A,0,36
102,Oui,1,36
103,Non,2,36
104,N/A,0,35
105,0,1,35
106,1,2,35
107,2,3,35
108,3,4,35
109,4,5,35
110,5,6,35
111,6,7,35
112,7,8,35
113,8,9,35
114,9,10,35
115,Très mauvaise,1,37
116,Mauvaise,2,37
117,Correcte,3,37
118,Satisfaisante,4,37
119,Excellente,5,37
120,10,11,35
121,N/A,0,37
152,Satisfaisant,4,38
153,Excellent,5,38
154,N/A,0,38
155,Très mauvais,1,38
156,Mauvais,2,38
157,Correct,3,38
158,Satisfaisant,4,39
159,Excellent,5,39
160,N/A,0,39
161,Très mauvais,1,39
162,Mauvais,2,39
163,Correct,3,39
164,Satisfaisantes,4,40
165,Excellentes,5,40
166,N/A,0,40
167,Très mauvaises,1,40
168,Mauvaises,2,40
169,Correctes,3,40
170,Satisfaisante,4,41
171,Excellente,5,41
172,N/A,0,41
173,Très mauvaise,1,41
174,Mauvaise,2,41
175,Correcte,3,41
184,"Pas du tout
satisfait",0,42
185,,1,42
186,,2,42
187,,3,42
188,Extrêmement satisfait,4,42
189,Très peu probable,0,43
190,,1,43
191,,2,43
192,,3,43
193,Très probable,4,43
194,N/A,5,43
195,Très peu probable,0,44
196,,1,44
197,,2,44
198,,3,44
199,Très probable,4,44
200,"Pas du tout
satisfait",0,45
201,,1,45
202,,2,45
203,,3,45
204,Extrêmement satisfait,4,45
205,Pas du tout d'accord,0,46
206,,1,46
207,,2,46
208,,3,46
209,Tout à fait d'accord,4,46
210,N/A,5,46
211,Pas du tout d'accord,0,47
212,,1,47
213,,2,47
214,,3,47
215,Tout à fait d'accord,4,47
216,N/A,5,47
217,Pas du tout d'accord,0,48
218,,1,48
219,,2,48
220,,3,48
221,Tout à fait d'accord,4,48
222,N/A,5,48
223,Pas du tout d'accord,0,49
224,,1,49
225,,2,49
226,,3,49
227,Tout à fait d'accord,4,49
228,N/A,5,49
229,Oui,0,50
230,Non,1,50
231,"Pas du tout
satisfait",0,51
232,,1,51
233,,2,51
234,,3,51
235,Extrêmement satisfait,4,51
236,N/A,5,51
249,N/A,5,42
251,N/A,5,44
252,N/A,5,45
320,,1,53
321,,2,53
322,,3,53
323,Tout à fait d'accord,4,53
324,N/A,5,53
325,Pas du tout d'accord,0,53
352,N/A,5,52
359,1,4,52
366,2,3,52
373,3,2,52
380,4 ou plus,1,52
394,Pas encore résolu,0,52
