ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Terminer 30 quêtes,Terminez des quêtes rapportant de l’expérience.,3,135693,200,0,0
Vaincre 50 boss de donjons,Venez à bout de boss de donjons rapportant de l’expérience.,4,135695,200,0,0
Fête du Voile d’hiver : obtenir un chapeau de fête bien coupé,"Du {EventStartDate} au {EventEndDate}, obtenez un chapeau de fête bien coupé.",5,135697,50,0,-100
Terminer 5 donjons mythiques +,,6,135699,200,0,7
Accomplir 15 expéditions,,7,136176,150,0,0
Vaincre 10 boss de raids de Dragonflight,,8,136202,200,0,0
Obtenir 7 500 points d’honneur,,10,136220,200,0,0
Remporter 5 champs de bataille,,11,136222,200,0,0
Remporter 10 matchs d’arène hors escarmouches,,12,136224,200,0,0
Honorer des commandes d’artisanat,Parlez à un représentant ou une représentante au marché d’artisanat de Valdrakken.,13,136242,200,0,0
Gagner 15 combats de mascottes,,14,136244,200,0,0
Vaincre des boss de donjons au sein d’un groupe interfactions,Venez à bout de boss de donjons rapportant de l’expérience au sein d’un groupe interfactions.,16,136248,150,0,0
Achever des quêtes en Norfendre,,17,136250,100,0,0
Terminer 5 donjons des Marcheurs du temps de Wrath of the Lich King,,18,136265,250,0,0
Vaincre le roi-liche,Tuez le roi-liche dans la citadelle de la Couronne de glace.,19,136286,50,0,0
Terminer le champ de bataille de la vallée d’Alterac,,20,136288,100,0,0
Semaine des combats de mascotte : vaincre les dompteurs du Norfendre avec un petit assistant,"Du {EventStartDate} au {EventEndDate}, utilisez au moins un petit assistant pour vaincre tous les maîtres dompteurs du Norfendre.",21,136291,75,0,-110
Marcheurs du temps : aller pêcher en Norfendre,"Du {EventStartDate} au {EventEndDate}, repêchez des objets en Norfendre.",22,136300,100,0,0
Frissonner devant Ragnaros,Utilisez l’emote /froid devant Ragnaros dans le Cœur du Magma.,23,136323,25,0,0
Fête du Voile d’hiver : danser autour de l’arbre avec une tenue adaptée à l’occasion,"Du {EventStartDate} au {EventEndDate}, dansez avec un autre personnage-joueur près de l’arbre festif en portant les atours d’hiver.",24,136325,50,0,-100
Tuer 100 élémentaires de glace,,25,136327,100,0,0
Foire de Sombrelune – terminer Cible : tortue,"Du 3 au 9 décembre, achevez la quête Cible : tortue sur l’île de la foire de Sombrelune.",26,136357,50,0,-62
Fête du Voile d’hiver : tuer 3 boss festifs,"Du {EventStartDate} au {EventEndDate}, tuez trois des boss suivants.",27,136359,50,0,-100
Festival de l’explorateur : participer au festival,"Du {EventStartDate} au {EventEndDate}, assistez au Festival de l’explorateur sur la plage aux Tortues des étendues sauvages de Krasarang.",28,136364,100,0,-70
Festival de l’explorateur : lancer une lanterne et lire En attendant la tortue,"Du {EventStartDate} au {EventEndDate}, lancez une lanterne et lisez En attendant la tortue au Festival de l’explorateur dans les étendues sauvages de Krasarang.",29,136366,75,0,-70
Foire de Sombrelune : manger une saucisse au pain de maïs après votre tour,"Du 3 au 9 décembre, allez faire un tour sur le manège ou le grand huit, puis allez manger une saucisse au pain de maïs.",30,136369,25,0,-62
Tuer le ou la chef de la faction adverse,,31,136449,400,0,0
Explorer une région enneigée,Explorez entièrement l’une des régions suivantes.,32,136527,50,0,0
Fête du Voile d’hiver : obtenir l’aura de la glacière,"Du {EventStartDate} au {EventEndDate}, obtenez l’aura de la glacière de Froiderage.",34,136855,25,0,-100
Marcheurs du temps : terminer des quêtes sur Draenor,"Du {EventStartDate} au {EventEndDate}, accomplissez des quêtes sur Draenor.",36,149949,100,0,0
Marcheurs du temps : terminer 5 donjons des Marcheurs du temps de Warlords of Draenor,"Du {EventStartDate} au {EventEndDate}, terminez des donjons des Marcheurs du temps de Warlords of Draenor.",37,137530,100,213,0
Terminer la citadelle des Flammes infernales,,38,137539,150,0,0
Tuer 15 personnages-joueurs dans la jungle de Tanaan,,39,137541,200,0,0
Terrasser des maîtres dompteurs des îles aux Dragons avec des mascottes de type Draconien,Terrassez 2 maîtres dompteurs des îles aux Dragons avec au moins 2 mascottes de type Draconien.,40,137543,200,0,0
Marcheurs du temps : aller pêcher sur Draenor,"Du {EventStartDate} au {EventEndDate}, repêchez des objets sur Draenor.",41,149979,100,0,0
Utiliser du Ragoutoutou,Achetez du Ragoutoutou à Breanni à la Ménagerie magique de Dalaran.,42,137615,100,0,0
De l’amour dans l’air : utiliser la pierre de foyer ravissante de Colportecœur sur les îles aux Dragons,"Du {EventStartDate} au {EventEndDate}, utilisez la pierre de foyer ravissante de Colportecœur sur les îles aux Dragons.",43,137617,150,0,0
De l’amour dans l’air : utiliser le panier à pique-nique romantique dans les plaines d’Ohn’ahra,"Du {EventStartDate} au {EventEndDate}, utilisez le panier à pique-nique romantique dans les plaines d’Ohn’ahra.",44,137619,150,0,0
De l’amour dans l’air : accomplir la quête « Bombardement de bonbons »,"Du {EventStartDate} au {EventEndDate}, accomplissez la quête Bombardement de bonbons.",45,137621,150,0,0
De l’amour dans l’air : vaincre l’apothicaire Hummel,"Du {EventStartDate} au {EventEndDate}, terrassez l’apothicaire Hummel dans le donjon d’Ombrecroc.",46,137623,100,0,0
De l’amour dans l’air : offrir un bracelet de breloques ravissantes,"Du {EventStartDate} au {EventEndDate}, offrez un bracelet de breloques ravissantes à l’un ou l’une de vos chefs de faction.",47,137625,150,0,0
/serrer un personnage-joueur mort,Utilisez l’emote /serrer devant un personnage-joueur mort.,48,137634,50,0,0
Ressusciter des personnages-joueurs,,49,137636,50,0,0
Utiliser le poison lent de Zanzil,"Utilisez le poison lent de Zanzil, qui s’obtient auprès de Gérald Black à Hurlevent ou d’Alpheus Cain à Orgrimmar.",50,137645,50,0,0
Obtenir de l’or à l’hôtel des ventes,,52,137647,100,0,0
"Manger une part de gâteau au chocolat, une part de délicieux gâteau et une part de tarte aux baies","Mangez une part de gâteau au chocolat, une de délicieux gâteau et une de tarte aux baies, qui s’obtiennent auprès d’Aimée à la vieille Dalaran.",53,137651,50,0,0
Naissance des hippogriffes : perchoir de nouveau-né aigreplume,"Le {EventStartDate}, faites incuber un œuf d’aigreplume pour qu’un nouveau-né vienne se percher sur votre épaule.",54,137655,150,0,0
Naissance des hippogriffes : utiliser une plume spectrale,"Le {EventStartDate}, récupérez une plume spectrale de Lorthalium et utilisez-la.",55,137657,150,0,0
Foire de Sombrelune : offrir une grande tarte aux baies,"Du {EventStartDate} au {EventEndDate}, offrez une grande tarte aux baies sur l’île de la foire de Sombrelune.",56,137659,50,0,0
Épreuve du style : gagner 100 marques de l’épreuve du style,"Du {EventStartDate} au {EventEndDate}, gagnez des marques de l’épreuve du style en participant à cette épreuve.",61,137688,100,266,0
