Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
Atteindre le niveau 10.,Niveau 10,,6,-1,-1,0,92,0,10,2097156,11,236562,0,2050,0,0,0,0
Atteindre le niveau 20.,Niveau 20,,7,-1,-1,6,92,0,10,2097156,12,236563,0,2683,0,0,0,0
Atteindre le niveau 30.,Niveau 30,,8,-1,-1,7,92,0,10,2097156,14,236564,0,1289,0,0,0,0
Atteindre le niveau 40.,Niveau 40,,9,-1,-1,8,92,0,10,2097156,15,236565,0,942,0,0,0,0
Niveau 50 atteint avant d’entamer l’extension Shadowlands.,Niveau 50 (héritage),,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
Niveau 60 atteint avant d’entamer l’extension Shadowlands.,Niveau 60 (héritage),,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
Niveau 70 atteint avant d’entamer l’extension Shadowlands.,Niveau 70 (héritage),,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
Niveau 80 atteint avant d’entamer l’extension Shadowlands.,Niveau 80 (héritage),,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
Collectionner 15 mascottes différentes.,De nombreux familiers,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
Obtenir un score de 400 avec la compétence Mains nues.,Qui a commandé une salade de phalanges ?,,16,-1,-1,0,15446,0,0,2048,30,132356,0,6318,0,0,0,0
Achever une quête journalière tous les jours pendant cinq jours consécutifs.,Une simple re-quête,,31,-1,-1,0,96,0,10,131072,25,236680,0,2807,0,0,0,0
Achever 2 000 quêtes.,2 000 quêtes achevées,,32,-1,-1,508,96,0,10,131072,8,236670,0,2810,0,0,0,0
Achever les suites de quêtes de la toundra Boréenne listées ci-dessous.,Ma tendre toundra,,33,-1,1,0,14863,0,10,131072,2,236728,0,1741,0,0,0,0
Achever les suites de quêtes du fjord Hurlant listées ci-dessous.,Tour du fjord,,34,-1,1,0,14863,0,10,131072,6,236787,0,5287,0,0,0,0
Achever les suites de quêtes de la Désolation des dragons listées ci-dessous.,La puissance de la Désolation des dragons,,35,-1,1,0,14863,0,10,131072,10,236749,0,1745,0,0,0,0
Achever les suites de quêtes de Zul’Drak listées ci-dessous.,L'empire de Zul'Drak,,36,-1,-1,0,14863,0,10,131072,17,236862,0,1881,0,0,0,0
Achever les suites de quêtes des Grisonnes listées ci-dessous.,"Les Grisonnes, ça vous grise !",,37,-1,1,0,14863,0,10,131072,14,236772,0,5284,0,0,0,0
Achever les suites de quêtes des pics Foudroyés listées ci-dessous.,Le sommet des pics Foudroyés,,38,-1,-1,0,14863,0,10,131072,22,236838,0,1884,0,0,0,0
