Field_9_2_0_42174_000_lang,ID,Season,Field_9_2_0_41827_001,ExpansionID,Field_10_0_2_45779_004,DelvesSeasonID
Triomphez de %d boss de raid du château Nathria.,10,5,1,8,1,0
Triomphez de %d boss de raid du sanctum de Domination.,11,6,2,8,1,0
Triomphez de %d boss de raid du sépulcre des Fondateurs.,12,7,3,8,1,0
Triomphez de %d boss de raid fatidique.,17,8,4,8,1,0
Vaincre %d boss du caveau des Incarnations,19,9,1,9,2,0
"Vaincre %d boss du caveau d’Aberrus, le creuset de l’Ombre",21,10,2,9,2,0
"Vaincre %d boss de raid d’Amirdrassil, l’Espoir du Rêve",22,11,3,9,2,0
Triomphez de %d boss de raid éveillé.,23,12,4,9,2,0
Triomphez de %d boss du palais des Nérub’ar.,24,13,1,10,3,1
Triomphez de %d boss de la Libération de Terremine.,25,14,2,10,3,2
Triomphez de %d boss de la manaforge Oméga.,30,15,3,10,3,3
,31,16,4,10,0,0
