ID,Name_lang,Description_lang,Rarity,SpellID,ResearchBranchID,NumSockets,TextureFileID,RequiredWeight
9,Hanap en étain,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,86857,1,1,461832,35
13,Test : Projet de test nain rare 1,,1,84796,0,5,0,50
40,Urne funéraire en céramique,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,86864,1,1,461832,35
42,Couteau de chasseur usé,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,86865,1,0,461832,30
44,Dé en os,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,86866,1,0,461832,32
70,Griffon de pierre,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,88180,1,1,461832,35
72,Torque en argent,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,88181,1,1,461832,34
77,Poupée vaudou zandalari,"Les plus anciens Trolls connus appartenaient à la tribu Zandalar, de laquelle tous les autres Trolls descendent. Les Zandalari étaient considérés comme une caste de prêtres très importante par tous les Trolls, qui travaillait sans relâche pour noter et préserver la société et les traditions trolles. Parmi les nombreuses tribus qui trouvent leur origine chez les Zandalari, les deux principales sont les Gurubashi et les Amani.",0,88262,8,0,461842,27
87,Fétiche d'Hir'eek,"Les plus anciens Trolls connus appartenaient à la tribu Zandalar, de laquelle tous les autres Trolls descendent. Les Zandalari étaient considérés comme une caste de prêtres très importante par tous les Trolls, qui travaillait sans relâche pour noter et préserver la société et les traditions trolles. Parmi les nombreuses tribus qui trouvent leur origine chez les Zandalari, les deux principales sont les Gurubashi et les Amani.",0,88907,8,0,461842,30
89,Patte de lézard porte-bonheur,"Les plus anciens Trolls connus appartenaient à la tribu Zandalar, de laquelle tous les autres Trolls descendent. Les Zandalari étaient considérés comme une caste de prêtres très importante par tous les Trolls, qui travaillait sans relâche pour noter et préserver la société et les traditions trolles. Parmi les nombreuses tribus qui trouvent leur origine chez les Zandalari, les deux principales sont les Gurubashi et les Amani.",0,88908,8,0,461842,32
91,Sifflet en bois,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,88909,1,0,461832,28
93,Boucle de ceinture ornée des armoiries de Courbenclume,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,88910,1,0,426727,34
95,Trilobite noir,"Les fossiles sont les restes préservés d'animaux ou de plantes d'un lointain passé. Généralement, les tissus vivants sont remplacés par des minéraux qui préservent la forme originelle de l'organisme.",0,88929,3,0,426727,31
97,Belle fougère préservée,"Les fossiles sont les restes préservés d'animaux ou de plantes d'un lointain passé. Généralement, les tissus vivants sont remplacés par des minéraux qui préservent la forme originelle de l'organisme.",0,88930,3,0,426727,25
99,Pyxide de Bien-né,"Les Kaldorei sont l'une des plus anciennes races d'Azeroth. L'un des moments les plus sombres de leur histoire eut lieu lorsque les Quel'dorei, ou Bien-nés, la classe supérieure des Elfes nobles, libérèrent une dangereuse magie qui permit à la Légion ardente d'apparaître dans le monde et qui entraîna d'innombrables morts.",0,89009,4,0,426727,30
101,Peigne en ivoire damasquiné,"Les Kaldorei sont l'une des plus anciennes races d'Azeroth. L'un des moments les plus sombres de leur histoire eut lieu lorsque les Quel'dorei, ou Bien-nés, la classe supérieure des Elfes nobles, libérèrent une dangereuse magie qui permit à la Légion ardente d'apparaître dans le monde et qui entraîna d'innombrables morts.",0,89012,4,0,426727,30
103,Peignoir en soie scandaleux,"Les Kaldorei sont l'une des plus anciennes races d'Azeroth. L'un des moments les plus sombres de leur histoire eut lieu lorsque les Quel'dorei, ou Bien-nés, la classe supérieure des Elfes nobles, libérèrent une dangereuse magie qui permit à la Légion ardente d'apparaître dans le monde et qui entraîna d'innombrables morts.",0,89014,4,0,426727,30
106,Bébé raptor fossilisé,"Il y a quelque chose d'inhabituel dans ces minuscules os de raptor. Les orbites vides des yeux n'ont pas l'air si vides. En fait, ne luiraient-elles pas d'une étincelle de vie ?",1,89693,3,0,458961,85
108,Fibule ornée de ramures,"Les Kaldorei sont l'une des plus anciennes races d'Azeroth. L'un des moments les plus sombres de leur histoire eut lieu lorsque les Quel'dorei, ou Bien-nés, la classe supérieure des Elfes nobles, libérèrent une dangereuse magie qui permit à la Légion ardente d'apparaître dans le monde et qui entraîna d'innombrables morts.",0,89696,4,1,426727,35
112,Vouivre de jade aux yeux rubis,"Les plus anciens Trolls connus appartenaient à la tribu Zandalar, de laquelle tous les autres Trolls descendent. Les Zandalari étaient considérés comme une caste de prêtres très importante par tous les Trolls, qui travaillait sans relâche pour noter et préserver la société et les traditions trolles. Parmi les nombreuses tribus qui trouvent leur origine chez les Zandalari, les deux principales sont les Gurubashi et les Amani.",0,89701,8,1,426727,35
114,Boucle d'oreille en or ornée de plumes,"Les plus anciens Trolls connus appartenaient à la tribu Zandalar, de laquelle tous les autres Trolls descendent. Les Zandalari étaient considérés comme une caste de prêtres très importante par tous les Trolls, qui travaillait sans relâche pour noter et préserver la société et les traditions trolles. Parmi les nombreuses tribus qui trouvent leur origine chez les Zandalari, les deux principales sont les Gurubashi et les Amani.",0,89711,8,1,426727,34
118,Coupe ornée de joyaux de Fontepoing,"Les Nains de Forgefer formaient à l'origine trois clans : Barbe-de-Bronze, Marteaux-hardis et Sombrefer. À la suite d'une guerre civile, les Barbes-de-Bronze ont pris le contrôle de la ville de Forgefer, tandis que les Marteaux-hardis ont battu en retraite dans les Hinterlands et les hautes-terres du Crépuscule. Les Nains sombrefer se sont installés entre les Carmines et les steppes Ardentes, à l'ombre du mont Rochenoire.",0,89717,1,1,426727,34
120,Idole brûleronce sinistre,"Les plus anciens Trolls connus appartenaient à la tribu Zandalar, de laquelle tous les autres Trolls descendent. Les Zandalari étaient considérés comme une caste de prêtres très importante par tous les Trolls, qui travaillait sans relâche pour noter et préserver la société et les traditions trolles. Parmi les nombreuses tribus qui trouvent leur origine chez les Zandalari, les deux principales sont les Gurubashi et les Amani.",0,89890,8,1,426727,35
122,Bijou de cinabre,"Les plus anciens Trolls connus appartenaient à la tribu Zandalar, de laquelle tous les autres Trolls descendent. Les Zandalari étaient considérés comme une caste de prêtres très importante par tous les Trolls, qui travaillait sans relâche pour noter et préserver la société et les traditions trolles. Parmi les nombreuses tribus qui trouvent leur origine chez les Zandalari, les deux principales sont les Gurubashi et les Amani.",0,89891,8,1,426727,35
124,Pièce d'Eldre'Thalas,"Les Kaldorei sont l'une des plus anciennes races d'Azeroth. L'un des moments les plus sombres de leur histoire eut lieu lorsque les Quel'dorei, ou Bien-nés, la classe supérieure des Elfes nobles, libérèrent une dangereuse magie qui permit à la Légion ardente d'apparaître dans le monde et qui entraîna d'innombrables morts.",0,89893,4,1,426727,35
126,Glaive brisé,"Les Kaldorei sont l'une des plus anciennes races d'Azeroth. L'un des moments les plus sombres de leur histoire eut lieu lorsque les Quel'dorei, ou Bien-nés, la classe supérieure des Elfes nobles, libérèrent une dangereuse magie qui permit à la Légion ardente d'apparaître dans le monde et qui entraîna d'innombrables morts.",0,89894,4,1,426727,35
128,Coquille d'ammonite déformée,"Les fossiles sont les restes préservés d'animaux ou de plantes d'un lointain passé. Généralement, les tissus vivants sont remplacés par des minéraux qui préservent la forme originelle de l'organisme.",0,89895,3,0,426727,35
130,Anneau de dragon vert,"Les Kaldorei sont l'une des plus anciennes races d'Azeroth. L'un des moments les plus sombres de leur histoire eut lieu lorsque les Quel'dorei, ou Bien-nés, la classe supérieure des Elfes nobles, libérèrent une dangereuse magie qui permit à la Légion ardente d'apparaître dans le monde et qui entraîna d'innombrables morts.",0,89896,4,1,426727,35
