SourceText_lang,ID,ItemID,LegacyUpgradedItemID,StaticUpgradedItemID,SourceTypeEnum,Flags,LegacyItemID,UpgradeItemID[0],UpgradeItemID[1],UpgradeItemID[2],UpgradeItemID[3],UpgradeItemID[4],UpgradeItemID[5],UpgradeItemBonusListID[0],UpgradeItemBonusListID[1],UpgradeItemBonusListID[2],UpgradeItemBonusListID[3],UpgradeItemBonusListID[4],UpgradeItemBonusListID[5]
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",1,122353,93854,0,2,0,42947,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",2,122365,93851,0,2,0,44092,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",3,122363,93844,0,2,0,79131,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",4,122352,93855,0,2,0,42946,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",663,122356,93887,0,2,0,42950,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",664,122349,93843,0,2,0,42943,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",665,122351,93856,0,2,0,42945,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",666,122376,93867,0,2,0,44103,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",667,122355,93890,0,2,0,42949,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",668,122358,93862,0,2,0,42952,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",669,122350,93857,0,2,0,42944,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",670,122359,93864,0,2,0,42984,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",671,122362,93897,0,2,0,42992,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",672,122357,93876,0,2,0,42951,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",673,122360,93859,0,2,0,42985,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",674,122377,93866,0,2,0,44105,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",675,122354,93853,0,2,0,42948,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",676,122364,93852,0,2,0,44091,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",677,122366,93841,0,2,0,44093,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",678,122367,93850,0,2,0,44094,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",679,122370,93898,0,2,2,44097,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",680,122368,93849,0,2,0,44095,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",681,122369,93848,0,2,2,44096,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",682,122361,93896,0,2,0,42991,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",683,122378,93861,0,2,0,44107,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",684,122372,93895,0,2,0,44099,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendeur : |rEstelle Gendry|n|cFFFFD200Région : |rOrgrimmar, portes d’Orgrimmar|n|n|cFFFFD200Vendeur : |rKrom Rudebras|n|cFFFFD200Région : |rForgefer, hall des Explorateurs",685,122373,93894,0,2,0,44100,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
