Name_lang,ID,MinRating,MaxRating,PrevTier,NextTier,BracketID,Rank,RankIcon
2c2 - 1 - Non classé,1,0,1000,0,2,0,0,2023043
2c2 - 2 - Combattant I,2,975,1200,1,206,0,1,2023045
2c2 - 4 - Compétiteur I,3,1375,1600,206,207,0,2,2023047
2c2 - 6 - Rival I,4,1775,1950,207,208,0,3,2023049
2c2 - 8 - Duelliste,5,2075,2400,208,6,0,4,2023051
2c2 - 9 - Élite,6,2375,0,5,0,0,5,2023053
3c3 - 1 - Non classé,8,0,1000,0,9,1,0,2023043
3c3 - 2 - Combattant I,9,975,1200,8,209,1,1,2023045
3c3 - 4 - Compétiteur I,11,1375,1600,209,210,1,2,2023047
3c3 - 6 - Rival I,12,1775,1950,210,211,1,3,2023049
3c3 - 8 - Duelliste,13,2075,2400,211,14,1,4,2023051
3c3 - 9 - Élite,14,2375,0,13,0,1,5,2023053
CBC - 1 - Non classé,16,0,1000,0,17,3,0,2023043
CBC - 2 - Combattant I,17,975,1200,16,212,3,1,2023045
CBC - 4 - Compétiteur I,18,1375,1600,212,213,3,2,2023047
CBC - 6 - Rival I,19,1775,1950,213,214,3,3,2023049
CBC - 8 - Duelliste,20,2075,2400,214,21,3,4,2023051
CBC - 9 - Élite,21,2375,0,20,0,3,5,2023053
2c2 - 3 - Combattant II,206,1175,1400,2,3,0,6,2023045
2c2 - 5 - Compétiteur II,207,1575,1800,3,4,0,7,2023047
2c2 - 7 - Rival II,208,1925,2100,4,5,0,8,2023049
3c3 - 3 - Combattant II,209,1175,1400,9,11,1,6,2023045
3c3 - 5 - Compétiteur II,210,1575,1800,11,12,1,7,2023047
3c3 - 7 - Rival II,211,1925,2100,12,13,1,8,2023049
CBC - 3 - Combattant II,212,1175,1400,17,18,3,6,2023045
CBC - 5 - Compétiteur II,213,1575,1800,18,19,3,7,2023047
CBC - 7 - Rival II,214,1925,2100,19,20,3,8,2023049
Brassage solo – 9 – Élite,303,2375,0,304,0,6,5,2023053
Brassage solo – 8 – Duelliste,304,2075,2400,305,303,6,4,2023051
Brassage solo – 7 – Rival II,305,1925,2100,306,304,6,8,2023049
Brassage solo – 6 – Rival I,306,1775,1950,307,305,6,3,2023049
Brassage solo – 5 – Compétiteur II,307,1575,1800,309,306,6,7,2023047
Brassage solo – 4 – Compétiteur I,309,1375,1600,310,307,6,2,2023047
Brassage solo – 3 – Combattant II,310,1175,1400,311,309,6,6,2023045
Brassage solo – 2 – Combattant I,311,975,1200,312,310,6,1,2023045
Brassage solo – 1 – Non classé,312,0,1000,0,311,6,0,2023043
Solo RBG - 1 - Unranked,383,0,1000,0,384,8,0,2023043
Solo RBG - 2 - Combatant I,384,975,1200,383,385,8,1,2023045
Solo RBG - 3 - Combatant II,385,1175,1400,384,386,8,6,2023045
Solo RBG - 4 - Challenger I,386,1375,1600,385,387,8,2,2023047
Solo RBG - 5 - Challenger II,387,1575,1800,386,391,8,7,2023047
Solo RBG - 9 - Elite,388,2375,0,389,0,8,5,2023053
Solo RBG - 8 - Duelist,389,2075,2400,390,388,8,4,2023051
Solo RBG - 7 - Rival II,390,1925,2100,391,389,8,8,2023049
Solo RBG - 6 - Rival I,391,1775,1950,387,390,8,3,2023049
