ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,Crochetage,Objets verrouillés,Crocheter,PickLock,0,0
2,Herboristerie,Herbes,Collecter,GatherHerbs,1,17635
3,Minage,Gisements de minerai,Miner,Mine,2,17636
4,Désarmement de piège,Piège,Désarmer,,3,0
5,Ouverture,Objets déverrouillés,Ouvrir,,4,0
6,Trésor (DND),Trésor,,,5,0
7,Gemmes elfiques calcifiées (DND),Gemmes elfiques calcifiées,,,6,0
8,Fermeture,Objets déverrouillés,Fermer,,7,0
9,Pose de piège,Piège,Armer,,8,0
10,Ouverture rapide,Objets déverrouillés,Ouvrir,,9,0
11,Fermeture rapide,Objets déverrouillés,Fermer,,10,0
12,Ouverture (bricolage),Objets déverrouillés,Ouvrir,,11,0
13,Ouverture (à genoux),Objets déverrouillés,Ouvrir,,12,0
14,Ouverture (en attaquant),Objets déverrouillés,Ouvrir,,13,0
15,Gahz'ridienne (DND),Gahz'ridienne,,,14,0
16,Explosif,Objets verrouillés,Faire sauter,,15,0
17,Ouverture JcJ,Objets déverrouillés,Ouvrir,,16,0
18,Fermeture JcJ,Objets déverrouillés,Fermer,,17,0
19,Pêche,Poisson,Pêcher,FishingCursor,18,17634
20,Calligraphie,Tomes,Déchiffrer,,19,0
21,Ouverture à partir d'un véhicule,Objets déverrouillés,Ouvrir,,20,0
22,Archéologie,Fragments,Inspecter,,21,0
23,Ouverture rapide JcJ,Objets déverrouillés,Ouvrir,,22,0
28,Scierie,Bois de construction,Moisson,HarvestTimber,23,0
29,Dépeçage,Cuir,Dépecer,skin,24,0
30,Mana ancestral,Gisements de mana,Extraire,Extract,25,0
31,Tableau de guerre,Tableaux de guerre,Inspecter,,26,0
32,Herboristerie,Plantes,Collecter,GatherHerbs,27,17635
33,Herboristerie,Plantes,Collecter,GatherHerbs,28,17635
34,Herboristerie,Plantes,Collecter,GatherHerbs,29,17635
35,Herboristerie,Plantes,Collecter,GatherHerbs,30,17635
36,Herboristerie,Plantes,Collecter,GatherHerbs,31,17635
37,Herboristerie,Plantes,Collecter,GatherHerbs,32,17635
38,Herboristerie,Plantes,Collecter,GatherHerbs,33,17635
39,Herboristerie,Plantes,Collecter,GatherHerbs,34,17635
40,Minage,Gisements de minerai,Miner,Mine,35,17636
41,Minage,Gisements de minerai,Miner,Mine,36,17636
42,Minage,Gisements de minerai,Miner,Mine,37,17636
43,Minage,Gisements de minerai,Miner,Mine,38,17636
44,Minage,Gisements de minerai,Miner,Mine,39,17636
45,Minage,Gisements de minerai,Miner,Mine,40,17636
46,Minage,Gisements de minerai,Miner,Mine,41,17636
47,Minage,Gisements de minerai,Miner,Mine,42,17636
48,Dépeçage,Cuir,Dépecer,skin,43,0
149,Ouverture (d’un objet d’inventaire verrouillé),Objets déverrouillés,Ouvrir,,44,0
150,Fouille,Fouille,Fouille,ForagePlants,45,0
152,Dépôt de gelée,Gelée,Collecter,,46,0
