ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1,Vallée d’Alterac,Champ de bataille épique,,,3,20,80,25,10,40,1,5,1941,152,136324,0
2,Goulet des Chanteguerres classique,Capturer le drapeau,,,3,0,0,10,5,10,1,5,1942,0,136365,0
3,Bassin Arathi classique,Domination,,,3,0,0,10,8,15,1,5,1943,0,136322,0
4,Nagrand Arena (old),,,,4,0,0,5,0,5,1,5,0,1,460867,5793
5,zzOldBlade's Edge Arena,,,,4,0,0,5,0,5,1,5,0,1,460861,0
6,Toutes les arènes,,,,4,20,80,5,0,5,1,3,0,8,525915,0
7,L’Œil du cyclone,Domination,,,3,20,80,15,8,15,1,5,2851,24,525912,0
8,Ruines de Lordaeron,,,,4,10,80,5,0,5,1,5,0,8,460869,0
9,Rivage des Anciens,Siège,,,3,10,60,15,8,15,1,5,3695,1,460870,0
10,Égouts de Dalaran,,,,4,10,80,5,0,5,1,5,0,8,460862,0
11,L’arène des Valeureux,,,,4,0,0,5,0,5,1,5,0,0,460868,0
30,Île des Conquérants,Champ de bataille épique,,,3,20,80,25,10,40,1,5,4273,152,311222,0
32,Champ de bataille aléatoire,,,,3,10,80,25,5,10,1,5,0,0,525915,0
100,Champ de bataille coté,,,,3,50,80,10,5,10,1,10,0,2,0,0
101,Champ de bataille coté,,,,3,50,60,15,8,15,1,15,0,2,0,0
102,Champ de bataille coté,,,,3,50,80,6,4,6,1,6,0,2,0,0
108,Pics-Jumeaux,Capturer le drapeau,,,3,30,80,10,5,10,1,5,5361,24,525913,0
120,La bataille de Gilnéas,Domination,,,3,20,80,10,3,10,1,5,5360,24,460871,0
656,L’Œil du cyclone coté,,,,3,50,80,10,5,10,1,5,2851,10,0,0
699,Temple de Kotmogu,Orbes de puissance,,,3,40,80,10,2,10,1,5,6306,24,791651,0
706,CTF3,,,,3,0,0,10,5,10,1,5,6408,1,0,0
708,Mines d’Éclargent,Chargement,,,3,30,80,10,5,10,1,5,6436,24,791650,0
719,Arène Tol’viron,,,,4,10,80,5,0,5,1,5,0,8,791652,0
754,Gorge de Vent-Caverneux (héritage),Domination,,,3,40,70,10,8,15,1,5,7671,8,875925,0
757,Le croc du Tigre,,,,4,10,80,5,0,5,1,5,0,8,875926,0
789,Moulin-de-Tarren contre Austrivage,Choc,,,3,50,80,0,10,40,1,5,0,32,0,0
803,Small Battleground D,Divers,,,3,0,0,5,0,5,1,5,0,1,0,0
808,Arène du bastion du Freux,,,,4,10,80,5,0,5,1,5,0,8,1389174,0
809,Arène de Nagrand,,,,4,10,80,5,0,5,1,5,0,8,460867,0
816,Chute d’Ashamane,,,,4,10,80,5,0,5,1,5,0,8,1389175,0
844,Arène des Tranchantes,,,,4,10,80,5,0,5,1,5,0,8,460861,0
846,La bataille de Gilnéas (ancienne carte de la ville),Choc,,,3,0,0,10,5,10,1,5,0,33,460871,0
847,Bassin Arathi hivernal,Choc,,,3,50,80,10,8,15,1,5,0,32,136322,0
848,AI Test - Arathi Basin,,,,3,0,0,10,8,15,1,15,12812,1,0,0
849,Smash de Vent-Caverneux,Choc,,,3,50,80,10,8,15,1,5,0,32,875925,0
853,Confrontation pandashan,Choc,,,3,50,80,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,Domination,,,3,0,0,10,5,10,1,5,0,1,875925,0
857,Bataille pour le mont Rochenoire,,,,3,0,0,0,2,2,1,2,0,33,136326,0
858,Temple de Supermogu,Choc,,,3,50,80,10,1,10,1,5,0,32,791651,0
859,Rupture de gravité,Choc,,,3,50,80,15,8,15,1,5,0,32,525912,0
860,Smash de Vent-Caverneux,Choc,,,3,50,80,10,8,15,1,5,0,32,875925,0
861,Cohue Chanteguerre,Choc,,,3,50,80,10,5,10,1,5,0,32,136365,0
862,Corne de bouc,Choc,,,3,50,80,15,8,15,1,5,0,32,525912,0
866,Toutes les arènes,Choc,,,3,50,80,5,8,15,1,5,0,96,525915,0
868,Ruines de Lordaeron,,,,3,50,80,5,0,15,1,5,0,96,460869,0
869,Égouts de Dalaran,,,,3,50,80,5,0,15,1,5,0,96,460862,0
870,Arène Tol’viron,,,,3,50,80,5,0,15,1,5,0,96,791652,0
871,Le croc du Tigre,,,,3,50,80,5,0,15,1,5,0,96,875926,0
872,Arène du bastion du Freux,,,,3,50,80,5,0,15,1,5,0,96,1389174,0
873,Arène de Nagrand,,,,3,50,80,5,0,15,1,5,0,96,460867,0
874,Chute d’Ashamane,,,,3,50,80,5,0,15,1,5,0,96,1389175,0
875,Arène des Tranchantes,,,,3,50,80,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,3,0,0,10,5,10,1,10,0,1,0,0
879,Comme les 6 doigts de la main,Choc,,,3,50,80,6,5,6,1,6,0,32,0,0
880,Bassin Arathi,Choc,,,3,50,80,6,6,6,1,6,0,32,0,0
