ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,Une livraison de poissons délicieux est en cours !,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"Génère une commande de catalyseurs alchimiques.

Vous pouvez suivre la progression des commandes dans les rapports de fief.

Si le bâtiment est de niveau 2 ou supérieur, vous pouvez y assigner un sujet depuis la table d’architecte pour augmenter votre production.",Catalyseur alchimique,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"Génère une commande de viande, cuir ou fourrure selon la créature capturée.

Si le bâtiment est de niveau 2 ou supérieur, vous pouvez y assigner un sujet depuis la table d’architecte pour augmenter votre production",Commande de la grange,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"Génère une commande de ressources de fief avec le bois de construction récolté sur Draenor.

Vous pouvez suivre la progression des commandes dans les rapports de fief.

Récupérez les marchandises une fois qu’elles sont livrées.",Cargaison de la scierie,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"Génère une commande d’étoffe de trame-sort.

Vous pouvez suivre la progression des commandes dans les rapports de fief.

Si le bâtiment est de niveau 2 ou supérieur, vous pouvez y assigner un sujet depuis la table d’architecte pour augmenter votre production.",Étoffe de trame-sort,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"Génère une commande de lingots de véracier.

Vous pouvez suivre la progression des commandes dans les rapports de fief.

Si le bâtiment est de niveau 2 ou supérieur, vous pouvez y assigner un sujet depuis la table d’architecte pour augmenter votre production.",Lingot de véracier,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"Génère une commande de cuir bruni.

Vous pouvez suivre la progression des commandes dans les rapports de fief.

Si le bâtiment est de niveau 2 ou supérieur, vous pouvez y assigner un sujet depuis la table d’architecte pour augmenter votre production.",Cuir bruni,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"Génère une commande de cristaux de taladite.

Vous pouvez suivre la progression des commandes dans les rapports de fief.

Si le bâtiment est de niveau 2 ou supérieur, vous pouvez y assigner un sujet depuis la table d’architecte pour augmenter votre production.",Cristal de taladite,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
