SourceText_lang,ID,CostItemID,CurrencyID,OrderIndex,ItemBonusSeasonID,FragmentItemID,FragmentsEarnedTrackingCurrencyID
"Obtention :|n – Donjons mythiques de Dragonflight en deçà du niveau 6|n – Boss d’Aberrus en mode outil Raids|n – Expéditions, trésors et activités de la grotte de Zaralek",9,204193,0,1,3,204075,2409
Obtention :|n – Donjons mythiques de Dragonflight entre les niveaux 6 et 10|n – Boss d’Aberrus en mode normal|n – Certaines activités hebdomadaires de la grotte de Zaralek,10,204195,0,2,3,204076,2410
Obtention :|n – Boss d’Aberrus en mode héroïque|n – Donjons mythiques de Dragonflight entre les niveaux 11 et 15,11,204196,0,3,3,204077,2411
Obtention :|n – Boss d’Aberrus en mode mythique|n – Donjons mythiques de Dragonflight au-delà du niveau 16,12,204194,0,4,3,204078,2412
,14,0,2706,1,7,0,0
,15,0,2707,2,7,0,0
,16,0,2708,3,7,0,0
,17,0,2709,4,7,0,0
,18,0,2806,1,8,0,0
,19,0,2807,2,8,0,0
,20,0,2809,3,8,0,0
,21,0,2812,4,8,0,0
