Name_lang,ID,SecondaryID,Flags,ChrModelID,OrderIndex,ChrCustomizationCategoryID,OptionType,BarberShopCostModifier,ChrCustomizationID,Requirement,SecondaryOrderIndex,AddedInPatch
Peau,1,1,16,0,0,2,0,0,0,0,0,90001
Visage,2,2,0,0,1,2,0,0,0,0,1,90001
Coiffure,3,3,0,0,2,4,0,0,0,0,2,90001
Couleur des cheveux,4,4,0,0,3,4,0,0,0,0,3,90001
Pilosité,5,5,0,0,4,4,0,0,0,0,4,90001
Tatouages,6,6,8,0,5,5,0,0,0,0,5,90001
Cornes,7,7,0,0,6,2,0,0,0,0,6,90001
Bandeaux,8,8,8,0,7,2,0,0,0,0,7,90001
Peau,9,9,80,1,2,2,0,0,1,0,1,90001
Visage,10,10,128,1,1,2,0,0,2,0,2,90001
Coiffure,11,11,0,1,3,2,0,0,3,0,4,90001
Couleur des cheveux,12,12,2,1,4,2,0,0,4,0,5,90001
Barbe,13,13,0,1,6,2,0,0,5,0,7,90001
Peau,14,14,80,2,2,2,0,0,1,0,1,90001
Visage,15,15,128,2,1,2,0,0,2,0,2,90001
Coiffure,16,16,0,2,3,2,0,0,3,0,3,90001
Couleur des cheveux,17,17,2,2,4,2,0,0,4,0,4,90001
Peau,19,19,80,3,2,2,0,0,1,0,1,90001
Visage,20,20,128,3,1,2,0,0,2,0,2,90001
Coiffure,21,21,0,3,3,2,0,0,3,0,3,90001
Couleur des cheveux,22,22,2,3,4,2,0,0,4,0,4,90001
Barbe,23,23,0,3,5,2,0,0,5,0,5,90001
Posture,24,24,40,3,24,5,1,0,46,0,24,90001
Peau,25,25,80,4,2,2,0,0,1,0,1,90001
Visage,26,26,128,4,1,2,0,0,2,0,2,90001
Coiffure,27,27,0,4,3,2,0,0,3,0,3,90001
Couleur des cheveux,28,28,2,4,4,2,0,0,4,0,4,90001
Boucles d’oreille,29,29,8,4,10,3,0,0,11,0,10,90001
Peau,30,30,80,5,2,16,0,0,1,0,1,90001
Visage,31,31,128,5,1,16,0,0,2,0,2,90001
Coiffure,32,32,0,5,3,16,0,0,3,0,3,90001
Couleur des cheveux,33,33,2,5,4,16,0,0,4,0,4,90001
Barbe,34,34,0,5,6,16,0,0,5,0,6,90001
Peau,35,35,80,6,2,2,0,0,1,0,1,90001
Visage,36,36,128,6,1,2,0,0,2,0,2,90001
Coiffure,37,37,0,6,3,2,0,0,3,0,3,90001
Couleur des cheveux,38,38,2,6,4,2,0,0,4,0,4,90001
Peau,40,40,80,7,2,2,0,0,1,0,1,90001
Visage,41,41,128,7,1,2,0,0,2,0,2,90001
Coiffure,42,42,0,7,3,2,0,0,3,0,3,90001
Couleur des cheveux,43,43,2,7,4,2,0,0,4,0,4,90001
Pilosité,44,44,0,7,7,2,0,0,5,0,7,90001
Couleur motif,46,46,11,7,32,5,0,0,9,0,32,90001
Cornes,47,47,8,7,19,23,0,0,7,0,9,90001
Bandeau,48,48,8,7,20,23,0,0,8,0,11,90001
Peau,49,49,80,8,2,2,0,0,1,0,1,90001
Visage,50,50,128,8,1,2,0,0,2,0,2,90001
Coiffure,51,51,0,8,3,2,0,0,3,0,3,90001
Couleur des cheveux,52,52,2,8,4,2,0,0,4,0,4,90001
Marques,53,53,40,8,13,23,0,0,13,0,14,90001
Couleur motif,55,55,11,8,24,5,0,0,9,0,24,90001
Cornes,56,56,8,8,20,5,0,0,7,0,20,90001
Bandeau,57,57,8,8,10,23,0,0,8,0,10,90001
Peau,58,58,16,9,3,13,0,0,1,0,1,90001
Visage,59,59,0,9,1,13,0,0,2,0,3,90001
Coiffure,60,60,0,9,4,13,0,0,3,0,4,90001
Couleur des cheveux,61,61,2,9,5,13,0,0,4,0,5,90001
Détails de la mâchoire,62,62,40,9,6,13,0,0,14,0,6,90001
Peau,63,63,16,10,3,13,0,0,1,0,1,90001
Visage,64,64,0,10,1,13,0,0,2,0,3,90001
Coiffure,65,65,0,10,4,13,0,0,3,0,4,90001
Couleur des cheveux,66,66,2,10,5,13,0,0,4,0,5,90001
Détails de la mâchoire,67,67,40,10,7,13,0,0,14,0,7,90001
Peau,68,68,80,11,2,18,0,0,165,0,1,90001
Cornes,71,70,0,11,3,18,0,0,16,0,3,90001
