ID,Name_lang,Tooltip_lang,Field_10_1_0_48776_002_lang,Field_8_2_0_30430_003
57,Drapeaux capturés,Nombre de fois où vous avez capturé le drapeau,Drapeaux capturés,0
58,Murs détruits,Nombre de fois où vous avez détruit des murs ennemis,Murs détruits,0
59,Bâtiments détruits,Nombre de fois où vous avez détruit des bâtiments ennemis,Bâtiments détruits,0
60,Portes détruites,Nombre de fois où vous avez détruit une porte,Portes détruites,0
61,Cimetières défendus,Nombre de fois où la prise d’un cimetière a été évitée,"Cimetières
défendus",0
62,Drapeaux ramenés,Nombre de fois où vous avez rapporté votre drapeau à la base,Drapeaux ramenés,0
63,Tours attaquées,Nombre de fois où les bannières des tours ennemies ont été saisies,Tours attaquées,0
64,Objectifs secondaires,Nombre d’unités secondaires activées,Objectifs secondaires,0
65,Bases attaquées,Nombre de fois où les bannières de la base ennemie ont été retirées,Bases attaquées,0
67,Tours défendues,Nombre de fois où la prise d’une tour a été évitée,Tours défendues,0
69,Bases défendues,Nombre de fois où la prise d’une base a été évitée,Bases défendues,0
70,Démolisseurs détruits,Nombre de fois où vous avez détruit un démolisseur,Démolisseurs détruits,0
71,Cimetières attaqués,Nombre de fois où les bannières des cimetières ennemis ont été saisies,"Cimetières
attaqués",0
75,Chariots contrôlés,Nombre de chariots contrôlés,Chariots contrôlés,0
78,Chariots capturés,Nombre de fois où vous avez capturé le chariot ennemi,Chariots capturés,0
79,Chariots ramenés,Nombre de fois où vous avez rapporté votre chariot à la base,Chariots ramenés,0
81,Mines défendues,Nombre de fois où la prise d’une mine a été évitée,Mines défendues,0
87,Possession de l’orbe,Nombre de fois où vous avez contrôlé un orbe,Possession de l’orbe,0
88,Points de victoire,Nombre de points de victoire obtenus,Points de victoire,0
89,Résultat,Contribution à la victoire,Résultat,0
98,Artéfacts collectés,Nombre total de fragments d’artéfact collectés et rapportés,Artéfacts collectés,0
99,Azérite collectée,Montant total d’azérite que vous avez collecté,Azérite collectée,0
102,Ingrédients récupérés,Nombre d’ingrédients récupérés,Ingrédients récupérés,0
1092,Mines attaquées,Nombre de fois où les bannières de la base ennemie ont été retirées,Mines attaquées,0
1093,Drapeaux capturés,Nombre de fois où vous avez capturé le drapeau,Drapeaux capturés,0
1097,Manches gagnées,,Manches|ngagnées,0
1100,Captures de cristaux,Nombre de fois où vous avez capturé le cristal,Captures de cristaux,0
