ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
181,Combat,RogueCombat,$gUn bretteur:Une bretteuse; utilisant agilité et ruse pour affronter ses ennemis.,1,0,8,0,0,8,76806,0
182,Assassinat,RogueAssassination,$gUn:Une; impitoyable $gmaître:maîtresse; des poisons qui achève ses ennemis par de vicieux coups de dague.,0,0,8,0,0,8,76803,0
183,Finesse,RogueSubtlety,$gUn:Une; sombre $gtraqueur:traqueuse; qui surgit de l'ombre pour tendre une embuscade à sa proie sans méfiance.,2,0,8,0,0,8,76808,0
261,Élémentaire,ShamanElementalCombat,$gUn lanceur:Une lanceuse; de sorts qui contrôle les forces destructrices de la Nature et des éléments.,0,0,64,0,0,8,77222,0
262,Restauration,ShamanRestoration,$gUn soigneur:Une soigneuse; qui fait appel aux esprits ancestraux et au pouvoir de purification de l'eau pour soigner les blessures de ses alliés.,2,0,64,0,0,4,77226,0
263,Amélioration,ShamanEnhancement,$gUn guerrier:Une guerrière; totémique qui frappe ses ennemis avec des armes imprégnées de puissance élémentaire.,1,0,64,0,0,8,77223,0
398,Sang,DeathKnightBlood,$gUn:Une; sombre $ggardien:gardienne; qui manipule et corrompt l'énergie vitale pour se renforcer lors des assauts ennemis.,0,0,32,0,0,2,77513,0
399,Givre,DeathKnightFrost,"$gUn:Une; funeste $gmessager:messagère; de glace, qui canalise sa puissance runique et frappe rapidement avec son arme.",1,0,32,0,0,8,77514,0
400,Impie,DeathKnightUnholy,$gUn maître:Une maîtresse; de la mort et de la décomposition qui répand les maladies et soumet des serviteurs morts-vivants à sa volonté.,2,0,32,0,0,8,77515,0
409,Ténacité,HunterPetTenacity,,0,0,0,2,0,2,0,0
410,,,,0,0,0,0,0,0,0,0
411,,,,0,0,0,0,0,0,0,0
760,Discipline,PriestDiscipline,"Utilise la magie pour empêcher que ses alliés subissent des dégâts, ou pour les soigner.",0,0,16,0,0,4,77484,0
795,Ombre,PriestShadow,"Utilise la magie de l'Ombre, particulièrement des sorts de dégâts sur la durée, pour éliminer ses ennemis.",2,0,16,0,0,8,77486,0
807,Précision,HunterMarksmanship,"$gUn maître-archer:Une maître-archère; ou $gtireur:tireuse; d'élite, qui excelle dans l'exécution de cibles éloignées.",1,0,4,0,0,8,76659,0
809,Survie,HunterSurvival,"$gUn traqueur résistant:Une traqueuse résistante; qui utilise tout un attirail de venins d'animaux, d'explosifs et de pièges comme armes mortelles.",2,0,4,0,0,8,76658,0
811,Maîtrise des bêtes,HunterBeastMastery,"$gUn maître:Une maîtresse; de la faune, capable de dompter une grande variété de bêtes qui l'assisteront au combat.",0,0,4,0,0,8,76657,0
813,Sacré,PriestHoly,"$gUn soigneur polyvalent:Une soigneuse polyvalente; qui peut panser les blessures d'individus ou de groupes entiers, même après sa mort.",1,0,16,0,0,4,77485,0
865,Destruction,WarlockDestruction,"Un maître des dégâts foudroyants, qui invoque le feu pour brûler et anéantir ses ennemis.",2,0,256,0,0,8,77220,0
867,Démonologie,WarlockSummoning,$gUn expert:Une experte; en magie noire qui se transforme en démon et force les puissances démoniaques à lui venir en aide.,1,0,256,0,0,8,77219,0
871,Affliction,WarlockCurses,"$gUn maître:Une maîtresse; de la magie de l'Ombre qui se spécialise dans la peur, les drains et les sorts de dégâts sur la durée.",0,0,256,0,0,8,77215,0
2053,,,,0,0,0,0,0,0,0,0
2054,,,,0,0,0,0,0,0,0,0
2058,,,,0,0,0,0,0,0,0,0
2096,,,,0,0,0,0,0,0,0,0
2208,,,,0,0,0,0,0,0,0,0
2213,,,,0,0,0,0,0,0,0,0
2214,,,,0,0,0,0,0,0,0,0
2219,,,,0,0,0,0,0,0,0,0
2223,,,,0,0,0,0,0,0,0,0
2239,,,,0,0,0,0,0,0,0,0
2740,,,,0,0,0,0,0,0,0,0
3279,,,,0,0,0,0,0,0,0,0
