ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,CategoryEnumID,IconFileID,SkillLine[0],SkillLine[1]
1,Loup,0.7,1,1,50,1,0,23,132203,208,270
2,Félin,0.7,1,1.1,50,3,0,5,132185,209,270
3,Araignée,0.4,1,0.6,50,1,0,17,132196,203,270
4,Ours,0.6,1,1,50,63,1,1,132183,210,270
5,Sanglier,0.6,1,1,50,63,2,3,132184,211,270
6,Crocilisque,0.4,1,0.6,50,3,0,7,132187,212,270
7,Charognard,0.5,1,0.9,50,3,0,4,132200,213,270
8,Crabe,0.7,1,1.4,50,58,1,6,132186,214,270
9,Gorille,0.7,1,1,50,56,0,9,132189,215,270
11,Raptor,0.5,1,0.8,50,1,2,13,132193,217,270
12,Haut-trotteur,0.5,1,0.8,50,60,0,19,132198,218,270
15,Chasseur corrompu,0,0,0.7,1,0,-1,0,0,189,0
16,Marcheur du Vide,0,0,0.8,1,0,-1,41,0,204,0
17,Succube,0,0,1,1,0,-1,41,0,205,0
19,Garde funeste,0,0,1,1,0,-1,41,0,207,0
20,Scorpide,0.7,1,1,50,1,0,15,132195,236,270
21,Tortue,0.5,1,0.72,50,58,1,20,132199,251,270
23,Diablotin,0,0,0.5,1,0,-1,41,0,188,0
24,Chauve-souris,0.4,1,0.63,50,49,0,0,132182,653,270
25,Hyène,0.7,1,0.9,50,1,2,10,132190,654,270
26,Oiseau de proie,0.5,1,0.8,50,3,2,2,132192,655,270
27,Serpent des vents,0.5,1,0.7,50,14,0,22,132202,656,270
28,Télécommande,0.9,1,1,60,0,-1,0,0,758,0
29,Gangregarde,0.89,0,0.9,1,0,-1,41,0,761,0
30,Faucon-dragon,0.35,1,0.65,50,35,1,8,132188,763,270
31,Ravageur,0.45,1,0.65,50,1,0,14,132194,767,270
32,Traqueur dim.,0.45,1,0.6,50,34,2,21,132201,766,270
33,Sporoptère,0.6,1,0.9,50,60,2,18,132197,765,270
34,Raie,0.35,1,0.55,50,17,0,12,132191,764,270
35,Serpent,0.6,1,0.8,50,1,2,16,136040,768,270
37,Phalène,0.35,1,0.65,50,60,2,11,236193,775,270
38,Chimère,0.5,1,0.63,50,1,0,24,236190,780,270
39,Diablosaure,0.3,1,0.5,50,1,0,25,236192,781,270
40,Goule,1,1,1.01,80,0,-1,26,132097,782,0
41,Aqir,0.6,1,0.8,50,17,2,63,236195,783,270
42,Ver,0.7,1,1,50,28,1,62,236197,784,270
43,Sabot-fourchu,0.35,1,0.56,50,60,0,61,1044794,786,270
44,Guêpe,0.4,1,0.6,50,60,0,60,236196,785,270
45,Chien du magma,0.3,1,0.5,50,1,0,59,236191,787,270
46,Esprit de bête,0.7,1,1.1,50,3,1,58,236165,788,270
49,Élémentaire d'eau,0.8,1,0.81,60,0,-1,0,0,805,0
50,Renard,0.6,1,0.9,50,35,2,27,458223,808,270
51,Singe,0.3,1,0.5,50,48,2,28,877482,815,270
52,Molosse,0.6,1,0.8,50,63,2,29,877481,811,270
53,Hanneton,0.5,1,0.7,50,48,1,30,133570,818,270
55,Bête de schiste,1,1,1.45,50,195,2,57,877478,817,270
56,Zombie,0.8,1,1,80,0,-1,56,298667,236,0
