Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,StartingLevel,SpellTextureBlobFileDataID,ArmorTypeMask,Field_9_0_1_34490_018,MaleCharacterCreationVisualFallback,MaleCharacterCreationIdleVisualFallback,FemaleCharacterCreationVisualFallback,FemaleCharacterCreationIdleVisualFallback,CharacterCreationIdleGroundVisualFallback,CharacterCreationGroundVisualFallback,AlteredFormCharacterCreationIdleVisualFallback,CharacterCreationAnimLoopWaitTimeMsFallback,CinematicSequenceID,DefaultSpec,ID,HasStrengthAttackBonus,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask,DamageBonusStat,HasRelicSlot
Guerrier,WARRIOR,Guerrier,Guerrière,PET,"Les guerriers portent une armure en plaques et aspirent à la perfection dans les combats. Lorsqu’ils combattent, ils génèrent de la rage, utilisée pour alimenter leurs attaques spéciales.",Rôles : |cffffffffencaisser ou infliger des dégâts en mêlée|r,Vous devez choisir une race compatible avec cette classe.,Guerrier,Guerrière,0,0,626008,0,169010,1,791568,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,1,1,5,1,0,0,1,4,198,155,109,10,0,0
Paladin,PALADIN,Paladin,Paladine,PET,"Les paladins sont des combattants et défenseurs en armure lourde qui utilisent la magie du Sacré pour soigner les blessures et combattre le mal. Ils peuvent choisir de se battre avec une arme à deux mains, de protéger avec un bouclier, ou de soigner.","Rôles : |cffffffffsoigner, encaisser, infliger des dégâts en mêlée|r",Vous devez choisir une race compatible avec cette classe.,Paladin,Paladine,0,0,626003,0,135226,1,791563,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,2,1,4,0,0,0,1,10,244,140,186,14,0,1
Chasseur,HUNTER,Chasseur,Chasseresse,PET,Les chasseurs se sentent chez eux dans la nature et ont une affinité spéciale avec les animaux. Ils utilisent leurs armes ainsi que leur familier pour infliger des dégâts.,Rôles : |cffffffffinfliger des dégâts en mêlée ou à distance|r,Vous devez choisir une race compatible avec cette classe.,Chasseur,Chasseuse,0,0,626000,0,33174,1,791560,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,3,1,2,2,1,1,0,9,170,211,114,8,1,0
Voleur,ROGUE,Voleur,Voleuse,PET,"Les voleurs endossent souvent le rôle d’assassin ou d’éclaireur, mais nombre d’entre eux sont des loups solitaires. Ils peuvent se déplacer furtivement autour de leurs ennemis ou attaquer un adversaire dans le dos pour tenter de l’achever rapidement.",Rôle : |cffffffffinfliger des dégâts en mêlée|r,Vous devez choisir une race compatible avec cette classe.,Voleur,Voleuse,0,0,626005,0,167938,1,791565,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,4,1,3,3,1,1,0,8,255,244,104,8,1,0
Prêtre,PRIEST,Prêtre,Prêtresse,PET,"Les prêtres disposent d’une grande palette d’outils pour soigner, mais ils peuvent également sacrifier leurs soins pour infliger des dégâts grâce à la magie de l’Ombre.",Rôles : |cffffffffsoigner ou infliger des dégâts à distance|r,Vous devez choisir une race compatible avec cette classe.,Prêtre,Prêtresse,0,0,626004,0,2,1,791564,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,5,0,0,0,0,0,0,6,255,255,255,12,0,0
Chevalier de la mort,DEATHKNIGHT,Chevalier de la mort,Chevalière de la mort,PET,"Le chevalier de la mort est une classe de héros, il débute donc le jeu à un niveau plus élevé. C’est également une classe de corps à corps qui privilégie les maladies et la magie noire.",Rôles : |cffffffffencaisser ou infliger des dégâts en mêlée|r,La création d’un chevalier de la mort de la race sélectionnée nécessite l’achat de Shadowlands.,Chevalier de la mort,Chevalière de la mort,236082,236082,135771,1560617,189562,8,791558,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,6,1,5,6,0,0,1,15,196,30,58,10,9,0
Chaman,SHAMAN,Chaman,Chamane,PET,"Les chamans invoquent la puissance des éléments pour améliorer les dégâts de leurs armes ou sorts. Lors des combats, ils invoquent des totems, de petits objets qui immobilisent, soignent ou infligent des dégâts.","Rôles : |cffffffffsoigner, infliger des dégâts à distance ou en mêlée|r",Vous devez choisir une race compatible avec cette classe.,Chaman,Chamane,0,0,626006,0,294938,1,791566,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,7,1,0,0,0,1,0,11,0,112,221,12,1,1
Mage,MAGE,Mage,Mage,PET,"Les mages sont les utilisateurs emblématiques de la magie en Azeroth, qui apprennent leur art au cours de leurs recherches et études approfondies. Ils portent des armures légères, mais compensent cette faiblesse par une puissante gamme de sorts offensifs et défensifs.",Rôle : |cffffffffinfliger des dégâts à distance|r,Vous devez choisir une race compatible avec cette classe.,Mage,Mage,0,0,626001,0,4098,1,791561,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,8,0,0,0,0,0,0,3,63,199,235,8,0,0
Démoniste,WARLOCK,Démoniste,Démoniste,DEMON,"Les démonistes utilisent la magie du Feu ou de l’Ombre pour infliger des dégâts, drainer ou maudire leurs ennemis. Ils peuvent également invoquer des démons qui leur obéissent.",Rôle : |cffffffffinfliger des dégâts à distance|r,Vous devez choisir une race compatible avec cette classe.,Démoniste,Démoniste,0,0,626007,0,134,1,791567,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,9,0,0,0,0,0,0,5,135,136,238,8,0,0
Moine,MONK,Moine,Moniale,PET,Les moines sont réputés pour leur habileté au combat à mains nues et comptent sur leurs poings et pieds autant que sur leurs armes. Les moines peuvent aussi se spécialiser pour utiliser la puissance soignante des brumes afin de guérir leurs alliés.,"Rôles : |cffffffffsoigner, encaisser, infliger des dégâts en mêlée|r",Nécessite Mists of Pandaria,Moine,Moniale,0,0,626002,0,165378,1,791562,37,20773,129344,132583,0,0,0,0,0,15000,0,268,10,1,2,3,0,1,0,53,0,255,152,14,0,0
Druide,DRUID,Druide,Druidesse,PET,"Les druides sont des changeformes ayant une affinité avec les plantes et les animaux. Il existe différents types de druides : le soigneur, le lanceur de sorts à distance ou celui qui prend une forme de félin ou d’ours pour combattre au corps à corps.","Rôles : |cffffffffsoigner, encaisser, infliger des dégâts à distance ou en mêlée|r",Vous devez choisir une race compatible avec cette classe.,Druide,Druidesse,0,0,625999,0,294922,1,791559,2341,20770,129374,132588,0,0,0,133404,133294,15000,0,102,11,0,0,0,0,1,0,7,255,124,10,14,0,1
Chasseur de démons,DEMONHUNTER,Chasseur de démons,Chasseuse de démons,PET,"Le chasseur de démons est une classe de héros, il débute donc le jeu à un niveau plus élevé. C’est un paria qui utilise des pouvoirs démoniaques interdits afin de pourchasser ses adversaires.",Rôles : |cffffffffencaisser ou infliger des dégâts en mêlée|r,Nécessite Legion et un personnage de niveau 70.,Chasseur de démons,Chasseuse de démons,1305036,1305036,1260827,1560446,49227,8,1004940,37,20780,129051,132589,0,0,0,0,0,15000,0,577,12,1,3,17,0,1,0,107,163,48,201,10,0,0
Évocateur,EVOKER,Évocateur,Évocatrice,PET,"L’évocateur est une classe de héros, il débute donc le jeu à un niveau plus élevé. Doté d’un talent inné pour la magie, il peut déchaîner des sorts draconiques dévastateurs sur ses adversaires ou prodiguer des soins à ses alliés.",Rôles : |cffffffffsoigner ou infliger des dégâts à distance|r,Nécessite Dragonflight et un personnage de niveau 60.,Évocateur,Évocatrice,0,0,4574311,0,1589314,1,4611043,41,0,160474,160475,0,0,0,0,160505,15000,0,1465,13,1,0,0,0,1,0,224,51,147,127,12,0,0
Aventurier,Adventurer,Aventurier,Adventurer,PET,,,,Aventurier,Aventurière,0,0,0,0,100402,1,791568,0,21120,132938,132938,0,0,0,0,132938,15000,0,1470,14,1,4,3,1,0,1,227,170,211,114,0,0,0
