ID,FeatureDescription_lang,FeatureIcon,ParentID
1,Maîtrisez la nouvelle classe : chasseur de démons,1260827,2
2,Progressez jusqu’au niveau 110 sur les îles Brisées,1064187,2
4,Accomplissez des milliers de quêtes supplémentaires !,236669,5
5,Combattez jusqu’au niveau 100 dans le monde de Draenor,1033987,5
6,Construisez et améliorez votre fief,1033989,5
7,Accomplissez des milliers de quêtes supplémentaires !,236669,4
8,Combattez jusqu’au niveau 70,236567,4
9,"Débloquez neuf extensions, dont Dragonflight",1064187,4
10,Gagnez des races alliées à votre cause,413576,6
11,Progressez jusqu’au niveau 120 en Kul Tiras et en Zandalar.,1064187,6
12,Propulsez un personnage au niveau 110,1033988,6
116,Progressez jusqu’au niveau 60 en Ombreterre.,236567,115
117,Rejoignez une congrégation et maniez son pouvoir.,3726261,115
118,"Atteignez le sommet de Tourment, la tour des Damnés",3257863,115
122,Progressez jusqu’au niveau 70 sur les îles aux Dragons,1064187,135
123,Maîtrisez une nouvelle classe : l’évocateur dracthyr,4696175,135
124,Découvrez le frisson du vol à dos de Dragon,4640496,135
125,Commencez l’aventure de la saga de l’Âme-monde.,1064187,143
126,Passez au niveau 80 pour gagner de nouveaux talents héroïques puissants.,135981,143
127,Explorez des Gouffres avec votre compagnon PNJ.,1786405,143
131,Préachetez Midnight pour continuer l’histoire épique de la Worldsoul Saga,1778229,149
132,"Jouez à The War Within et explorez de nouveaux Gouffres, donjons et raids",6025441,149
133,Obtenez les clés de votre logis et récupérez des éléments de décoration pour le personnaliser,7252953,149
