Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Armes,NivO,1,3,0,13,100,0,0,1
À une main,NivO,2,0,0,0,10,1,0,1
Haches à une main,NivO,3,3,3,0,10,2,0,1
Masses à une main,NivO,4,3,7,0,20,2,0,1
Epées à une main,NivO,5,3,10,0,30,2,0,1
Glaives de guerre,NivO,6,3,12,0,40,2,0,1
Dagues,NivO,7,3,18,0,50,2,0,1
Armes de pugilat,NivO,8,3,16,0,60,2,0,1
Baguettes,NivO,9,3,56,0,70,2,0,1
À deux mains,NivO,10,0,0,0,20,1,0,1
Haches à deux mains,NivO,11,3,4,0,10,10,0,1
Masses à deux mains,NivO,12,3,8,0,20,10,0,1
Epées à deux mains,NivO,13,3,11,0,30,10,0,1
Armes d’hast,NivO,14,3,9,0,40,10,0,1
Bâtons,NivO,15,3,13,0,50,10,0,1
À distance,NivO,16,0,0,0,30,1,0,1
Arcs,NivO,17,3,5,0,10,16,0,1
Arbalètes,NivO,18,3,55,0,20,16,0,1
Armes à feu,NivO,19,3,6,0,30,16,0,1
Armes de jet,NivO,20,3,34,0,40,16,0,1
Divers,NivO,21,0,0,0,40,1,0,1
Cannes à pêche,NivO,22,3,57,0,10,21,0,1
Autres,NivO,23,3,17,0,20,21,0,1
Armure,NivO,24,5,0,0,200,0,0,1
Plaque,NivO,25,5,23,0,10,24,0,1
Gravure runique,NivO,26,5,23,0,10,25,13,1
Tête,NivO,27,5,23,1,20,25,0,1
Épaule,NivO,28,5,23,3,30,25,0,1
Torse,NivO,29,5,23,5,40,25,0,1
Taille,NivO,30,5,23,6,50,25,0,1
Jambes,NivO,31,5,23,7,60,25,0,1
Pieds,NivO,32,5,23,8,70,25,0,1
Poignets,NivO,33,5,23,9,80,25,0,1
Mains,NivO,34,5,23,10,90,25,0,1
Mailles,NivO,35,5,22,0,20,24,0,1
Gravure runique,NivO,36,5,22,0,10,35,13,1
Tête,NivO,37,5,22,1,20,35,0,1
Épaule,NivO,38,5,22,3,30,35,0,1
Torse,NivO,39,5,22,5,40,35,0,1
Taille,NivO,40,5,22,6,50,35,0,1
Jambes,NivO,41,5,22,7,60,35,0,1
Pieds,NivO,42,5,22,8,70,35,0,1
Poignets,NivO,43,5,22,9,80,35,0,1
Mains,NivO,44,5,22,10,90,35,0,3
Cuir,NivO,45,5,21,0,30,24,0,1
Gravure runique,NivO,46,5,21,0,10,45,13,1
Tête,NivO,47,5,21,1,20,45,0,1
Épaule,NivO,48,5,21,3,30,45,0,1
Torse,NivO,49,5,21,5,40,45,0,1
Taille,NivO,50,5,21,6,50,45,0,1
Jambes,NivO,51,5,21,7,60,45,0,1
Pieds,NivO,52,5,21,8,70,45,0,1
Poignets,NivO,53,5,21,9,80,45,0,1
Mains,NivO,54,5,21,10,90,45,0,1
Tissu,NivO,55,5,20,0,40,24,0,1
Gravure runique,NivO,56,5,20,0,10,55,13,1
Tête,NivO,57,5,20,1,20,55,0,1
Épaule,NivO,58,5,20,3,30,55,0,1
Torse,NivO,59,5,20,5,40,55,0,1
Taille,NivO,60,5,20,6,50,55,0,1
Jambes,NivO,61,5,20,7,60,55,0,1
Pieds,NivO,62,5,20,8,70,55,0,1
Poignets,NivO,63,5,20,9,80,55,0,1
Mains,NivO,64,5,20,10,90,55,0,1
Divers,NivO,65,5,19,0,50,24,0,1
Gravure runique,NivO,66,5,19,0,10,65,13,1
Cou,NivO,67,5,19,2,20,65,0,1
Cape,NivO,68,5,20,16,30,65,0,1
Doigt,NivO,69,5,19,11,40,65,0,1
Bijou,NivO,70,5,19,12,50,65,0,1
En main gauche,NivO,71,5,19,23,60,65,0,1
Boucliers,NivO,72,5,25,14,70,65,0,3
Chemise,NivO,73,5,19,4,80,65,0,1
Tête,NivO,74,5,19,1,90,65,0,1
Ornemental,NivO,75,5,24,0,60,24,0,1
Conteneurs,Emplacements,76,2,0,0,300,0,0,2
Sac,Emplacements,77,2,2,0,10,76,0,2
Sac de minage,Emplacements,78,2,118,0,20,76,0,2
Boîte d’appâts,Emplacements,79,2,171,0,30,76,0,2
Sac de calligraphie,Emplacements,80,2,167,0,40,76,0,2
Sac de travail du cuir,Emplacements,81,2,149,0,50,76,0,2
Sac d’herbes,Emplacements,82,2,109,0,60,76,0,2
Sac d’enchantement,Emplacements,83,2,110,0,70,76,0,2
Sac d’ingénierie,Emplacements,84,2,111,0,80,76,0,2
Sac de gemmes,Emplacements,85,2,116,0,90,76,0,2
Sac de cuisine,Emplacements,86,2,179,0,100,76,0,2
Gemmes,NivO,87,4,0,0,400,0,0,1
Relique d’arme prodigieuse,NivO,88,4,187,0,10,87,0,1
Intelligence,NivO,89,4,36,0,20,87,0,1
Agilité,NivO,90,4,119,0,30,87,0,1
Force,NivO,91,4,120,0,40,87,0,1
Endurance,NivO,92,4,121,0,50,87,0,1
Coup critique,NivO,93,4,123,0,60,87,0,1
Maîtrise,NivO,94,4,124,0,70,87,0,1
Hâte,NivO,95,4,125,0,80,87,0,1
Polyvalence,NivO,96,4,126,0,90,87,0,1
Autres,NivO,97,4,169,0,100,87,0,1
Caractéristiques multiples,NivO,98,4,170,0,110,87,0,1
Améliorations d’objet,NivO,99,9,0,0,500,0,0,1
