ID,Name_lang,Description_lang,CovenantID,Level,Icon,Field_10_2_6_53840_005,UiOrder,SpellID
1074,Dague mortelle,"|cFF00ccffApparence de Dragonflight|r|n|cFF1eff00Apparence de Plunderstorm|r|n|nDébloque l’apparence de dague mortelle. Pour changer d’apparence dans Plunderstorm, allez voir Da’kash Vilcomptable.|n|n« Vous faites maintenant partie de l’équipage de Labarrique, moussaille. Voilà votre dague pour commencer les pillages ! »",23,1,2175564,0,0,0
1075,Gants du mathurin,|cFF00ccffApparence de Dragonflight|r|n|nDébloque l’apparence de gants du mathurin.|n|n« Des gants en cuir pour vous aider à ramasser le butin. »,23,2,1063260,0,0,439457
1076,Bottes de pied sûr,|cFF00ccffApparence de Dragonflight|r|n|nDébloque l’apparence de bottes de pied sûr.|n|n« Vous aide à marcher à vive allure sur un navire comme sur la terre ferme. »,23,3,590806,0,0,439448
1077,Braies piquées,|cFF00ccffApparence de Dragonflight|r|n|nDébloque l’apparence de braies piquées.|n|n« Un nouveau pantalon pour amortir vos atterrissages. »,23,4,5489011,0,0,439451
1078,Claymore calcifiée,"|cFF00ccffApparence de Dragonflight|r|n|cFF1eff00Apparence de Plunderstorm|r|n|nDébloque l’apparence de claymore calcifiée. Pour changer d’apparence dans Plunderstorm, allez voir Da’kash Vilcomptable.|n|n« Une épée qui ressemble à une grande dague. »",23,5,2182692,0,0,439390
1231,Chemise en coton filé,"|cFF00ccffApparence de Dragonflight|r|n|cFF1eff00Apparence de Plunderstorm|r|n|nDébloque l’apparence de chemise en coton filé.|n|nDébloque aussi la tenue de moussaillon piteux dans Plunderstorm. Pour changer de tenue, allez voir Da’kash Vilcomptable.",23,6,4279080,0,0,439453
1232,Cape du furtif,|cFF00ccffApparence de Dragonflight|r|n|nDébloque l’apparence de cape du furtif.|n|n« Certains pilleurs préfèrent rester dans l’ombre. »,23,7,2124014,0,0,439455
1233,Canon en cuivre,"|cFF00ccffApparence de Dragonflight|r|n|cFF1eff00Apparence de Plunderstorm|r|n|nDébloque l’apparence de canon en cuivre. Pour changer d’apparence dans Plunderstorm, allez voir Da’kash Vilcomptable.|n|n« Piller, c’est plus facile quand on a un canon. »",23,8,304333,0,0,439393
1234,Coiffe en laine chaude,|cFF00ccffApparence de Dragonflight|r|n|nDébloque l’apparence de coiffe en laine chaude.|n|n« Même le plus féroce des pirates peut attraper froid. »,23,9,1676426,0,0,439445
1235,Étalon des marées argenté,"|cFF00ccffMonture de Dragonflight|r|n|nDébloque l’étalon des marées argenté, une monture aquatique.|n|n« Il sent la crevette. »",23,10,2741477,0,0,437516
