ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,Kyrians,"Gardiens inébranlables de l’au-delà, les Kyrians ont la charge d’accompagner les âmes des morts jusqu’en Ombreterre. Engagés pour l’éternité au service d’autrui, ils n’acceptent dans leurs rangs que ceux qu’ils jugent dignes de les rejoindre.",111,2730,315066,346042,346046,2407,1829,0
2,Venthyrs,"Aristocrates jusqu’au bout des ongles, les Venthyrs sont responsables des âmes accablées par la méchanceté et un orgueil démesuré. Ils les guident sur le chemin rigoureux de l’expiation et récoltent leur anima pour assurer la pérennité de leur royaume.",112,2731,344545,346037,346043,2413,1830,0
3,Faë nocturnes,Les Faë nocturnes veillent sur les esprits de la nature défunts qui sommeillent dans leur paisible forêt. Ceux qui éprouvent une profonde affinité avec la nature sont invités à les rejoindre pour œuvrer au retour des esprits régénérés dans le cycle éternel.,114,2732,344538,346039,346044,2465,1831,0
4,Nécro-seigneurs,Les nécro-seigneurs récompensent la force et méprisent la faiblesse. Ils aguerrissent les âmes ambitieuses et belliqueuses avant de les enrôler dans leur armée immortelle chargée de défendre l’Ombreterre.,113,2733,344544,346041,346045,2410,1832,0
12,Centaure maruuk,Les différents clans de Centaures des plaines d’Ohn’ahra sont tous réunis sous la bannière des Maruuks.,119,0,0,0,0,2503,2002,104408
13,Expédition du Dracaret,La Ligue des explorateurs et le Reliquaire ont organisé une expédition conjointe dans les îles aux Dragons.,119,0,0,0,0,2507,2021,104394
14,Roharts iskaariens,La robuste tribu de Roharts des îles aux Dragons.,119,0,0,0,0,2511,2087,104409
15,Concordat de Valdrakken,"C’est à Valdrakken, la rayonnante capitale des Vols, que le concordat visant à aider une nouvelle fois les races mortelles fut signé.",119,0,0,0,0,2510,2088,104407
20,Flairans de Terreau,"Les Flairans vivant sous les îles aux Dragons, à Terreau.",119,0,0,0,0,2564,2402,108239
21,Gardiens du Rêve,Une coalition de races prêtes à défendre le Rêve d’émeraude contre toutes les menaces possibles.,119,0,0,0,0,2574,2653,115959
23,Équipage de Labarrique,"Un équipage de canailles indépendant, qui sème le chaos sous le pavillon du capitaine Labarrique.",0,0,0,0,0,2593,2814,119189
24,Conseil de Dornogal,[DNT],120,0,0,0,0,2590,2900,117972
25,Assemblée des profondeurs,[DNT],120,0,0,0,0,2594,2898,117991
26,Arathi de Sainte-Chute,[DNT],120,0,0,0,0,2570,2901,118011
27,Les Fils tranchés,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
30,L’Entente de K’aresh,[DNT],120,0,0,0,0,2658,3128,129096
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,Programme de fidélité du Gallagio,[DNT],0,0,0,0,0,2685,3315,132346
33,Radiance de la Flamme,[DNT],0,0,0,0,0,2688,3140,130290
34,[DNT] 11.0 Delves Season 3,[DNT],0,0,0,0,0,2722,3271,135812
35,Vandales de la manaforge,[DNT],0,0,0,0,0,2736,3305,140006
