Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Cheval bai,|cFFFFD200Vendeur : |rUnger Statforth|n|cFFFFD200Région : |rLes Paluns|n|cFFFFD200Coût : |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Très apprécié des gardes de Hurlevent en raison de sa patience et de son endurance.,6,230,0,2,458,0,0,4,0,0
Loup gris,|cFFFFD200Vendeur : |rOgunaro Mèneloup|n|cFFFFD200Région : |rOrgrimmar|n|cFFFFD200Coût : |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Cette espèce de loup préfère chasser en plein brouillard, invisible aux yeux de sa proie grâce au camouflage que lui procure sa fourrure cendrée.",7,230,64,2,459,0,0,4,0,0
Étalon blanc,|cFFFFD200Héritage|r,Cet étalon blanc puissant et inébranlable est très présent dans les mythes des anciennes tribus humaines.,8,230,64,2,468,0,0,4,0,0
Étalon noir,|cFFFFD200Vendeur : |rKatie Stokx|n|cFFFFD200Région : |rHurlevent|n|cFFFFD200Coût : |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Des rumeurs disent que le SI:7 les préfère pour les missions nocturnes, à cause de leur fourrure sombre.",9,230,0,2,470,0,0,4,0,0
Pinto,|cFFFFD200Vendeur : |rKatie Stokx|n|cFFFFD200Région : |rHurlevent|n|cFFFFD200Coût : |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Son tempérament calme en fait une monture idéale pour l’apprentissage des jeunes enfants.,11,230,0,2,472,0,0,4,0,0
Loup noir,|cFFFFD200Vendeur : |rOgunaro Mèneloup|n|cFFFFD200Région : |rOrgrimmar|n|cFFFFD200Coût : |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Ses hurlements résonnent à des lieues à la ronde.,12,230,64,2,578,0,0,4,0,0
Loup roux,|cFFFFD200Héritage|r,Ces créatures ont pratiquement disparu d’Azeroth. Seuls les plus expérimentés en ont déjà vu.,13,230,64,2,579,0,0,4,0,0
Loup des bois,|cFFFFD200Vendeur : |rOgunaro Mèneloup|n|cFFFFD200Région : |rOrgrimmar|n|cFFFFD200Coût : |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Ses hurlements résonnent à des lieues à la ronde.,14,230,0,2,580,0,0,4,0,0
Loup blanc,|cFFFFD200Héritage|r,De vieilles légendes furbolg racontent que les loups au pelage blanc ont reçu la bénédiction des deux lunes d’Azeroth.,15,230,64,2,581,0,0,4,0,0
Palefroi corrompu,|cFFFFD200Classe : |rDémoniste,Corrompu par les puissances démoniaques et autrefois forcé de servir le Conseil des ombres.,17,230,0,1,5784,31504,0,4,0,0
Jument alezane,|cFFFFD200Vendeur : |rKatie Stokx|n|cFFFFD200Région : |rHurlevent|n|cFFFFD200Coût : |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Robuste et solide. C’est grâce à ces chevaux que Hurlevent s’est construite.,18,230,0,2,6648,0,0,4,0,0
Loup redoutable,|cFFFFD200Vendeur :|r Ogunaro Mèneloup|n|cFFFFD200Lieu :|r Orgrimmar|n|cFFFFD200Coût : |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"On pensait cette espèce éteinte, hormis dans le Grand Nord. Elle est très prisée de ceux qui se préparent à la venue de l’hiver.",19,230,0,2,6653,0,0,4,0,0
