ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,Plus grande quantité d’argent possédée,0,0,4,0,0,0
3,Plus grande quantité d’argent possédée,2,0,0,4224,1,8
5,Montures possédées,0,0,4,0,0,0
6,Nombre de montures,5,0,0,4787,1,0
8,Utiliser des citrouilles de la Sanssaint lestées pour mettre des têtes de citrouilles sur chacune des races listées ci-dessous.,0,0,4,0,0,0
9,Nain,8,1,0,5776,3,0
10,Gnome,8,1,0,5772,4,0
11,Elfe de sang,8,1,0,5774,1,0
12,Draeneï,8,1,0,5775,2,0
13,Humain,8,1,0,5777,6,0
14,Elfe de la nuit,8,1,0,5778,7,0
15,Orc,8,1,0,5779,8,0
16,Tauren,8,1,0,5780,9,0
17,Troll,8,1,0,5781,10,0
18,Mort-vivant,8,1,0,5782,11,0
19,Worgen,8,1,0,17854,12,0
20,Gobelin,8,1,0,17855,5,0
22,Duels perdus,0,0,4,0,0,0
23,Duels perdus,22,0,0,3630,1,0
25,Morts sur des boss de raids à 25 de Wrath of the Lich King,0,0,5,0,0,0
26,Déconstructeur XT-002,25,0,0,11019,25,0
27,Freya,25,0,0,11027,33,0
28,Mimiron,25,0,0,11028,34,0
29,Général Vezax,25,0,0,11029,35,0
30,Yogg-Saron,25,0,0,11030,36,0
31,Algalon l’Observateur,25,0,0,11031,37,0
32,Emalon le Guetteur d’orage,25,0,0,11032,38,0
33,Léviathan des flammes,25,0,0,11016,22,0
34,Tranchécaille,25,0,0,11017,23,0
35,Ignis le maître de la Fournaise,25,0,0,11018,24,0
36,Auriaya,25,0,0,11024,30,0
37,Hodir,25,0,0,11025,31,0
38,Brise-acier,25,0,0,11020,26,0
39,Mande-foudre Brundir,25,0,0,11022,28,0
40,Kologarn,25,0,0,11023,29,0
41,Thaddius,25,0,0,7839,13,0
42,Thane Korth’azz,25,0,0,7845,7,0
43,Le Recousu,25,0,0,7838,14,0
44,Saphiron,25,0,0,7840,12,0
45,Kel’Thuzad,25,0,0,7841,11,0
46,Dame Blaumeux,25,0,0,7842,10,0
47,Baron Vaillefendre,25,0,0,7843,9,0
48,Noth le Porte-Peste,25,0,0,7837,15,0
49,Heigan l’Impur,25,0,0,7833,19,0
50,Archavon le Gardien des pierres,25,0,0,7848,4,0
51,Anub’Rekhan,25,0,0,7828,1,0
