ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,Coup double,"Nadjia frappe 2 fois son ennemi le plus proche, ce qui lui inflige $s1, puis $s2 points de dégâts physiques.",3,0,0,1,333546
5,Balayage ailé,Draven fauche ses ennemis avec ses ailes et leur inflige $s1 points de dégâts physiques.,1,0,0,1,2103875
6,Explosion sanguinolente,Théotar vibre au diapason des ombres et inflige $s1 points de dégâts d’Ombre aux ennemis à sa portée.,2,0,0,32,136118
7,Destruction de squelettes,Inflige $s1 points de dégâts physiques à l’ennemi le plus proche.,2,1,0,32,3386321
8,Frappe du faucon,Éli frappe l’ennemi le plus proche à la vitesse d’un faucon en plein vol et lui inflige des dégâts.,1,0,0,8,132188
9,Hurlement curatif,Rend $s1% de leur maximum de points de vie aux alliés.,4,0,0,64,1033494
10,Broyage branchétoile,"Frappe l’ennemi le plus proche, ce qui lui inflige un montant de dégâts égal à $s1% de son maximum de points de vie. À chaque tour, rend $s3% du maximum de points de vie et inflige aux ennemis un montant de dégâts de Givre égal à $s2% de leur maximum de points de vie.",3,3,0,16,514019
11,Attaque auto,Inflige les dégâts de l’attaque à l’ennemi le plus proche.,0,0,0,1,1064261
12,Reconstruction osseuse,Rend $s1 points de vie aux alliés.,1,1,0,32,136230
13,Douce caresse,,0,0,0,8,132125
14,Caresse de l’esprit,Anjali rend $s1 points de vie aux alliés.,3,0,0,32,132993
15,Attaque auto,Inflige des dégâts à un ennemi à distance.,0,0,0,1,135490
16,Brise-âme,"Théla arrache un souvenir à son ennemi le plus éloigné, ce qui lui inflige $s1 points de dégâts d’Ombre.",1,0,0,32,2065625
17,Jet de terre sépulcrale,"Creuz lance une pelletée de terre sépulcrale sur ses ennemis, ce qui leur inflige $s1 points de dégâts de Givre et lui rend $s2 points de vie.",0,0,0,16,134436
