ID,Name_lang,Description_lang,OrderIndex,Flags,Field_12_0_5_66330_004
1,Quêtes,Dans les titres de quête…,0,84,0
2,Donjons,"Dans les chiffres clés, donjons…",2,288,0
3,Raids,"Dans les raids, boss, modes…",4,289,0
4,Arène,,0,288,0
5,Scénarios,,3,256,0
6,Personnalisé,,10,66,0
7,Escarmouche en arène,,1,64,0
8,Champs de bataille,,2,66,0
9,Champs de bataille cotés,,3,290,0
111,Exploration des îles,,1,320,5703
113,Tourment,"Dans les échelons, ailes…",1,384,5703
121,Gouffres,"Rechercher dans le Gouffre, les niveaux…",1,384,0
