ID,InfoName_lang,Type,Modifiers,Profession
1,Groupe,0,2,0
21,Classe,0,0,0
41,JcJ,0,0,0
62,Raid,0,0,0
81,Donjon,0,0,0
82,Évènement mondial,0,0,0
83,Légendaire,0,0,0
84,Escorte,0,0,0
85,Héroïque,0,0,0
88,Raid (10),0,0,0
89,Raid (25),0,0,0
98,Scénario,0,0,0
104,Side Quest,0,0,0
107,Arme prodigieuse,0,0,0
109,Expédition,2,256,0
110,Expédition épique,2,268,0
111,Expédition élite,2,258,0
112,Expédition élite rare,2,334,0
113,Expédition JcJ,3,256,0
114,Expédition de secourisme,1,256,129
115,Expédition de mascotte de combat,4,256,0
116,Expédition de forge,1,256,164
117,Expédition de travail du cuir,1,256,165
118,Expédition d’alchimie,1,256,171
119,Expédition d’herboristerie,1,256,182
120,Expédition de minage,1,256,186
121,Expédition de couture,1,256,197
122,Expédition d’ingénierie,1,256,202
123,Expédition d’enchantement,1,256,333
124,Expédition de dépeçage,1,256,393
125,Expédition de joaillerie,1,256,755
126,Expédition de calligraphie,1,256,773
128,Quête d’émissaire,5,272,0
129,Expédition d’archéologie,1,256,794
130,Expédition de pêche,1,256,356
131,Expédition de cuisine,1,256,185
135,Expédition rare,2,257,0
136,Expédition élite rare,2,267,0
137,Expédition de donjon,6,267,0
139,Expédition d’invasion de la Légion,7,296,0
140,Récompense cotée,3,272,0
141,Expédition de raid,8,266,0
142,Expédition élite d’invasion de la Légion,7,266,0
143,Contribution au Déclin de la Légion,9,272,0
144,Expédition du Déclin de la Légion,2,334,0
145,Expédition de donjon du Déclin de la Légion,6,331,0
146,Legion Invasion World Quest Wrapper,11,0,0
147,Front de guerre - Tarides,0,0,0
148,Vol à la tire,0,0,0
151,Expédition de Magni - azérite,2,256,0
152,Tortollan World Quest - 8.0,2,256,0
153,Contribution au front de guerre,9,272,0
254,Exploration des îles,0,0,0
255,Mode Guerre JcJ,0,0,0
256,Conquête JcJ,10,272,0
259,Expédition d’assaut de faction,12,360,0
260,Expédition élite d’assaut de faction,12,330,0
261,Exploration des îles hebdomadaire,13,144,0
263,Quête publique,0,16,0
264,Objectif de la menace,5,272,0
265,Quête masquée,5,272,0
266,Quête de combattant allié,0,0,0
267,Métiers,0,0,0
268,Progression de la menace,14,272,0
270,Quête d’émissaire de la menace,14,272,0
271,Quête d’appel,15,0,0
272,Quête de groupe venthyr,2,448,0
273,Traqueur d’apparition d’âme de l’Antre,5,272,0
278,Expédition JcJ élite rare,3,258,0
279,Tâche d’émissaire des confins Interdits,9,0,0
281,Course draconique,16,0,0
282,Quête importante,0,1024,0
283,Objectif bonus avec toast de fin,0,512,0
284,Méta quête,0,2048,0
286,Expédition d’apogée,17,266,0
287,Bloqueur final,5,272,0
288,Gouffre,0,0,0
289,Boss hors instance,18,334,0
291,Masqué,0,272,0
292,Quête importante (sans abandon),0,1280,0
