ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
1,Jambières du vortex du bourdon,128,13884
15,Chilly Robe (DNT),1048576,13586
17,Main d’effroyable symétrie,1024,13642
22,Cuirasse maculée de souche,32,13662
23,Cape du voile mortel,65536,13663
24,Drapés de monstruosité,65536,13665
26,Pansière vampirique,32,13668
27,Garde-mains de la rune cramoisie,1024,13669
28,Chaîne de zéro absolu,4,13673
29,Ceinture d’emprise infinie,64,13675
30,Bandelettes du ciel en fusion,512,13679
31,Capuche de congélation,2,13682
32,Bague d’ordre disciplinaire,2048,13684
33,Écharpe de potentiel étendu,64,13685
34,Bandelettes lacées d’harmonie arcanique,1024,13691
35,Boucle temporelle,2048,13692
37,Sanctuaire d’Uther,36,13695
38,Poursuite du parangon fou,256,13694
40,Sceau de fureur vertueuse,2048,13704
42,Mantelet d’inquisiteur implacable,65536,13709
43,Solerets des représailles,256,13713
44,Croquenots sire-tonnerre,256,13716
45,Gantelet de déchaînement,1024,13720
47,Charme de seigneur de bataille,4,13722
48,Plaques d’épaule de réverbération sismique,8,13723
49,Bandelettes des ancêtres,512,13724
50,Ceinturon de secousse tellurique,64,13725
51,Garde-épaules des profonds éléments,8,13726
52,Fin enflammée du Brise-ciel,1048608,13728
53,Garde-jambes d’équilibre élémentaire,128,13729
54,Échos de la Grande Fracture,8,13730
55,Résurgence de lave du parlevent,256,13731
56,Garde-jambes naturellement focalisés de Jonat,128,13736
57,Cape de marcheur des esprits des marées,65536,13737
58,Garde-mains des marées primordiales,1024,13738
59,Cape d’harmonie terrestre,65536,13739
60,Heaume de tortionnaire,2,13742
61,Bandelettes de l’appel sauvage,512,13743
62,Ceinture de trappe d’Hemet,64,13744
63,Épaulettes de braise de la forge des Âmes,8,13745
64,Amulette de stratagème du couard,4,13746
66,Jonc d’ordre funeste gravé,2048,13747
67,Jambières en peau de cobra d’attise-flammes,128,13748
68,Spallières de la guerre en érédun,8,13749
69,Cape du maître traqueur de rylak,65536,13750
70,Garde-bras de déferlante de tirs,512,13752
71,Protège-épaules du traqueur de serpent,8,13753
72,Bandelettes de la veille continuelle,512,13754
73,Garde-jambes de traqueur de rylak déconfit,128,13756
74,Bandelettes d’invocation supérieure de Wilfred,512,13759
77,Piliers de la Porte des ténèbres,4,13762
78,Robe d’écriture d’Azj’Aqir,1048608,13763
79,Manicles sombres de Sacrocingle,128,13764
80,Bottes de courroux brodées,256,13766
81,Protège-épaules cornus des cauchemars,8,13769
82,Garde-jambes braiseflamme des Azj’Aqir,128,13771
84,Garde-jambes de réanimation,128,13666
87,Masque de demi-géant,2,13776
90,Sabots de seigneur funeste,256,13779
99,Bottes griffues d’Endereth,256,13760
100,Cordelette élégante des Ymirjars,64,13774
102,Cachet du maître assassin,2560,13790
105,Pourpoint de poussière ombreuse,32,13793
106,Bottes en lames toxiques,256,13791
110,Écusson de Marchesoir,32,13797
111,Osier de Vertepeau,2,13798
112,Charme de bandit,4,13799
114,Boucle de vélocité,2048,13789
115,Tromblon caché,1024,13800
116,Baisser de rideau,65536,13801
117,Fragment d’âme d’Akaari,1024,13802
119,Ombres mortelles,128,13804
126,Vision de synergie démoniaque,2,13761
127,Empreintes des Zoldyck,256,13796
128,Épaulettes lame-du-destin ensanglantées,8,13795
130,Spallières à crocs ensanglantés,8,13792
131,Mauvais appétit,65536,13803
151,Pas gangrené erratique,256,13781
158,Heaume imprégné de gangreflamme,2,13782
159,Voile de l’heure la plus sombre,32,13778
161,Médaillon regard-noir,4,13777
163,Cycle du chaos,64,13780
165,Corselet semperardent,32,13810
167,Sabots de seigneur funeste,256,13809
168,Boucle infinie de gangreflamme,2048,13785
169,Capuche de la flamme noire,2,13783
170,Étreinte téméraire d’âme flamboyante,1024,13786
171,Garde-jambes égarés du profanateur,128,13784
172,Vision de l’aube et du crépuscule,2,13697
175,Heaume de finalité,130,13834
176,Grèves de la faim insatiable,256,13835
179,Espauliers viciés,8,13837
180,Cuirasse de gloire,32,13836
182,Poignes d’indulgence coupable,1024,13839
184,Spallières d’affinité spirituelle,8,13844
185,Bottines d’esprits célestes,256,13846
186,Corselet de l’essaim courroucé,32,13841
187,Garde-épaules de clarté résonnante,8,13851
189,Heaume du martelet de dévotion,2,13854
190,Jambières de massacre flamboyant,256,13857
191,Poignes de braises irradiantes,1024,13853
192,Bottes des saisons d’abondance,256,13861
193,Heaume du pacte de Bwonsamdi,2,13862
195,Brassard de Mot de l’ombre : Manipulation,512,13863
197,Baudrier des éléments brisés,64,13867
198,Cotte d’anneaux de conduction élémentaire,32,13869
199,Jambières de l’éclat d’annihilation,128,13871
200,Souliers des âmes moribondes,256,13872
201,Turban de l’explosion perpétuelle confinée,2,13873
202,Gants des traqueurs d’âmes,1024,13874
203,Gantelets de maître munitionnaire,512,13875
204,Collier de fragments de la ramure ancestrale,4,13876
205,Bottes des fragments acérés,256,13877
206,Gilet de surabondance,32,13866
207,Poignes de l’abomination,1024,13832
208,Pansière de transfert effréné,32,13833
209,Bandelettes de l’harmonie faë,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,Bottillons du bourdon déchaîné,256,13884
219,Bandelettes des enseignements sinistres,512,13885
220,Bague des enseignements sinistres,2048,13885
222,Mantelet de l’harmonie des sphères,8,13887
223,Jambières de l’harmonie des sphères,128,13887
224,Anneau d’ordre exsangue,2048,13888
225,Sandales d’ordre exsangue,256,13888
226,Pansière du voile mortel,32,13663
227,Cuissards de monstruosité,128,13665
228,Sangle de réanimation,64,13666
229,Bague vampirique,2048,13668
230,Garde-épaules de la rune cramoisie,8,13669
231,Garde-bras du zéro absolu,512,13673
232,Bottes de guerre d’emprise infinie,256,13675
233,Charme du ciel en fusion,4,13679
234,Protège-épaules de congélation,8,13682
235,Bandelettes d’ordre disciplinaire,64,13684
236,Bottes de potentiel étendu,256,13685
237,Protège-épaules brodées d’harmonie arcanique,8,13691
238,Mantelet du temps gravé,32,13692
239,Lien du Parangon fou,64,13694
240,Dévotion d’Uther,4,13695
242,Écailles d’inquisiteur implacable,128,13709
243,Garde-jambes de représailles,128,13713
244,Gantelets du sire-tonnerre,1024,13716
245,Plaques de bras de déchaînement,512,13720
246,Garde-poignet de seigneur de bataille,512,13722
247,Grand heaume de réverbération sismique,2,13723
248,Sangle du porte-douleur,64,13742
249,Bracelet gravé d’angoisse collective,512,13775
250,Garde-épaules de demi-géant,8,13776
251,Baudrier de regard-noir,64,13777
253,Spallières d’un seigneur funeste déchu,8,13779
254,Corde de théorie du chaos,64,13780
255,Noyau gangrené erratique,2048,13781
256,Pendentif de gangrebombardier,4,13782
258,Protège-bras égarés du Souilleur,512,13784
259,Fouet à volutes de gangreflamme,64,13785
260,Menottes d’âme flamboyante,512,13786
261,Baudrier de l’empoisonneur toxique,64,13791
262,Jambières d’exercice des Zoldyck,128,13796
263,Jonc de Marchesoir,2048,13797
264,Baudrier détrempé de Vertepeau,64,13798
265,Bracelet de fourberie,512,13799
266,Mantelet de célérité,8,13789
267,Protège-bras de sifflet oiseau,512,13800
268,Irrévocabilité,32,13801
269,Vision difforme d’Akaari,2,13802
270,Conséquences putrides,128,13803
271,Couvre-bras des ombres mortelles,64,13804
273,Garde-épaules semperardents,8,13810
274,Emprise solennelle d’angoisse collective,512,13775
275,Vêture de l’heure la plus sombre,128,13778
276,Garde-épaules gangrebombardier,8,13782
277,Semperardent,0,13810
278,Médaillon blasonné de la flamme noire,4,13783
280,Cycle du chaos sans fin,64,13780
282,Mantelet de l’aube et du crépuscule,8,13697
283,Sangle de transfert effréné,64,13833
284,Cuissards d’irrévocabilité,128,13834
285,Cuissards de la faim insatiable,128,13835
286,Sangle de l’abomination,64,13832
287,Sangle de gloire,64,13836
288,Heaume de vice,2,13837
289,Corde d’indulgence coupable,64,13839
290,Manchettes de l’essaim courroucé,512,13841
291,Talisman d’affinité spirituelle,4,13844
292,Jambières des Esprits célestes,128,13846
293,Manchettes de la nuée de sauterelles,512,13841
294,Sangle de clarté résonnante,64,13851
295,Sangle de résonance divine,64,13853
296,Espauliers du martelet de dévotion,8,13854
297,Spallières de massacre flamboyant,8,13857
298,Brassards de braises irradiantes,512,13853
299,Jambières des saisons d’abondance,128,13861
300,Fermoir du pacte de Bwonsamdi,64,13862
301,Brassards du pacte de Bwonsamdi,512,13863
302,Espauliers de surabondance,8,13866
303,Amulette des éléments brisés,4,13867
304,Bandelettes de conductivité élémentaire,512,13869
305,Ceinture des éclats d’annihilation,64,13871
306,Protège-mains de sacoche d’âme moribonde,1024,13872
307,Garde-épaules d’énergie explosive perpétuelle,8,13873
308,Baudrier de traque d’âme,64,13874
309,Chaperon en mailles de munitions,2,13875
310,Garde-jambes du câble tranchant,128,13877
312,Garde-poignets de l’abomination,512,13832
313,Sangle de transfert effréné,64,13833
314,Corde cintrée de l’harmonie faë,64,13881
315,Boots of Test 1 Override,256,13882
316,Ring 1 Test 2 Override,0,13883
317,dfg,16777216,13588
318,Test,131072,13588
