ID,Name_lang,InstanceType,OrderIndex,OldEnumValue,FallbackDifficultyID,MinPlayers,MaxPlayers,Flags,ItemContext,ToggleDifficultyID,GroupSizeHealthCurveID,GroupSizeDmgCurveID,GroupSizeSpellPointsCurveID,Field_1_15_4_56400_013
1,Normal,1,1,0,0,5,5,4,1,0,0,0,0,0
2,Héroïque,1,2,1,1,5,5,5,2,0,0,0,0,0
3,10 joueurs,2,1,0,0,10,10,38,4,5,0,0,0,0
4,25 joueurs,2,3,1,0,25,25,36,5,6,0,0,0,0
5,10 joueurs (héroïque),2,2,2,3,10,10,37,3,3,0,0,0,0
6,25 joueurs (héroïque),2,4,3,4,25,25,37,6,4,0,0,0,0
7,Outil Raids,2,5,4,4,25,25,16,83,0,0,0,0,0
8,Clé mythique,1,5,-1,23,5,5,1,16,0,0,0,0,0
9,40 joueurs,2,7,-1,0,40,40,36,3,0,0,0,0,0
11,Scénario héroïque,5,2,-1,12,3,3,1,10,0,0,0,0,0
12,Scénario normal,5,1,-1,0,5,5,2,9,0,0,0,0,0
14,Normal,2,3,-1,0,10,30,6,3,0,0,0,0,0
15,Héroïque,2,4,-1,14,10,30,68,5,0,0,0,0,0
16,Mythique,2,5,-1,15,20,20,133,6,0,0,0,0,0
17,Outil Raids,2,6,-1,14,10,30,16,4,0,0,0,0,0
18,Évènement,2,4,-1,0,40,40,16,0,0,0,0,0,0
19,Évènement,1,4,-1,0,5,5,16,0,0,0,0,0,0
20,Event Scenario,5,3,-1,0,25,25,0,0,0,0,0,0,0
23,Mythique,1,3,-1,2,5,5,133,23,0,0,0,0,0
24,Marcheurs du temps,1,6,-1,2,5,5,512,22,0,0,0,0,0
25,Scénario JcJ en extérieur,5,4,-1,0,0,40,16,0,0,0,0,0,0
29,Scénario JcEcJ,3,5,-1,0,0,5,16,0,0,0,0,0,0
30,Évènement,5,7,-1,0,6,6,0,9,0,0,0,0,0
32,Scénario JcJ en extérieur,5,4,-1,0,0,40,16,0,0,0,0,0,0
33,Marcheurs du temps,2,7,-1,14,10,30,528,22,0,0,0,0,0
34,JcJ,3,7,-1,0,5,5,0,7,0,0,0,0,0
38,Normal,5,1,0,0,1,3,22,0,0,0,0,0,0
39,Héroïque,5,2,1,38,1,3,84,0,0,0,0,0,0
40,Mythique,5,3,-1,39,1,3,148,0,0,0,0,0,0
45,JcJ,5,3,-1,39,1,3,340,0,0,0,0,0,0
147,Normal,5,1,-1,0,5,5,18,9,0,0,0,0,0
149,Héroïque,5,2,-1,0,10,30,80,10,0,0,0,0,0
150,Progression normale (1-5),1,1,-1,0,1,5,2,1,0,0,0,0,0
151,Outil Raids,2,6,-1,17,10,30,16,4,0,0,0,0,0
152,Visions de N’Zoth,5,1,-1,0,1,5,18,9,0,0,0,0,0
153,Île infestée,5,8,-1,39,10,10,340,0,0,0,0,0,0
167,Tourment,5,1,-1,0,1,5,18,9,0,0,0,0,0
168,Voie de l’Ascension : Courage,5,7,-1,0,1,1,0,0,0,0,0,0,0
169,Voie de l’Ascension : Loyauté,5,7,-1,0,1,1,0,0,0,0,0,0,0
170,Voie de l’Ascension : Sagesse,5,7,-1,0,1,1,0,0,0,0,0,0,0
171,Voie de l’Ascension : Humilité,5,7,-1,0,1,1,0,0,0,0,0,0,0
172,Boss hors instance,0,7,-1,0,1,40,4,81,0,0,0,0,0
192,Défi niveau 1,0,8,-1,0,1,40,4,25,0,0,0,0,0
205,Sujet,1,7,-1,1,5,5,0,1,0,0,0,0,0
208,Gouffres,5,1,-1,0,1,5,2,9,0,0,0,0,0
216,Quête,1,8,-1,1,5,5,0,1,0,0,0,0,0
220,Histoire,2,9,-1,0,10,10,0,0,0,0,0,0,0
230,Héroïque,0,9,-1,0,1,1,582,0,0,0,0,0,0
232,Évènement,1,4,-1,0,5,5,16,0,0,0,0,0,0
