Description_lang,ID,MapID
Drapeaux capturés,42,489
Drapeaux ramenés,44,489
Tours attaquées,61,30
"Cimetières
attaqués",63,30
Tours défendues,64,30
"Cimetières
défendus",65,30
Objectifs secondaires,82,30
Bases attaquées,122,529
Bases défendues,123,529
Drapeaux capturés,183,566
Murs détruits,215,571
Bâtiments détruits,216,571
Portes détruites,231,607
Démolisseurs détruits,232,607
Bases attaquées,245,628
Bases défendues,246,628
Drapeaux capturés,290,726
Drapeaux ramenés,291,726
Bases attaquées,370,761
Bases défendues,371,761
Bases attaquées,391,968
Bases défendues,392,968
Drapeaux capturés,393,968
Possession de l’orbe,418,998
Points de victoire,419,998
Drapeaux capturés,422,1010
Drapeaux ramenés,423,1010
Chariots contrôlés,428,727
Chariots capturés,457,1105
Chariots ramenés,458,1105
Mines attaquées,459,1105
Mines défendues,460,1105
Résultat,501,451
Bases attaquées,679,1681
Bases défendues,680,1681
Bases attaquées,688,2177
Bases défendues,690,2177
Azérite collectée,744,1803
Drapeaux capturés,762,1740
Drapeaux ramenés,763,1740
Ingrédients récupérés,923,1691
Bases attaquées,926,2107
Bases défendues,927,2107
Drapeaux capturés,928,2106
Drapeaux ramenés,929,2106
Artéfacts collectés,931,1191
Bases attaquées,1001,2245
Bases défendues,1002,2245
Tours attaquées,1003,2197
Objectifs secondaires,1004,2197
"Cimetières
défendus",1005,2197
Tours défendues,1006,2197
"Cimetières
attaqués",1007,2197
Manches gagnées,1008,1505
Manches gagnées,1009,1672
Manches gagnées,1010,1134
Manches gagnées,1011,980
Manches gagnées,1012,572
Manches gagnées,1013,1911
Manches gagnées,1014,1504
Manches gagnées,1015,2509
Manches gagnées,1016,2511
Manches gagnées,1017,2547
Manches gagnées,1018,2563
Drapeaux capturés,1020,2656
Chariots contrôlés,1021,2656
Manches gagnées,1022,2759
