ID,StateName_lang
1,charmé(e)
2,désorienté(e)
3,désarmé(e)
4,distrait(e)
5,en fuite
6,$grepoussé:repoussée;
7,immobilisé(e)
8,ralenti(e)
9,réduit(e) au silence
10,endormi(e)
11,piégé(e)
12,étourdi(e)
13,gelé(e)
14,stupéfié(e)
15,sanguinolent(e)
16,en soin
17,métamorphosé(e)
18,banni(e)
19,protégé(e)
20,entravé(e)
21,monté(e)
22,Infecté(e)
23,repoussé(e)
24,horrifié(e)
25,invulnérable
26,interrompu(e)
27,hébété(e)
28,découverte
29,invulnérable
30,assommé(e)
31,enragé(e)
32,blessé(e)
33,infecté(e)
34,infecté(e)
35,infecté(e)
36,provoqué(e)
