Name_lang,ID,Field_12_0_0_63967_001,Flags,Field_12_0_0_63724_002,RoomWmoDataID,UiTextureAtlasElementID,WeightCost,ItemID,SortPriority
Pièce carrée (petite),1,1,4,0,5,31139,5,0,120
Couloir,2,1,4,0,7,31132,3,0,150
Penderie,3,1,4,0,4,31130,1,0,145
Pièce en T,6,1,4,0,162,31143,3,0,320
Pièce carrée (minuscule),7,1,4,0,3,31140,2,0,110
Pièce en L,8,1,4,0,163,31133,3,0,310
Pièce octogonale (moyenne),9,1,4,0,165,31135,8,0,220
Escalier (gauche),10,1,6,0,8,31142,7,0,420
Pièce carrée (moyenne),11,1,0,0,160,31138,12,0,130
Pièce carrée (grande),12,1,0,0,6,31137,20,0,140
Pièce en croix,13,1,4,0,161,31131,4,0,330
Pièce octogonale (petite),14,1,4,0,164,31136,4,0,210
Pièce octogonale (grande),15,1,0,0,166,31134,16,0,230
Parcelle de base moyenne,18,1,5,0,172,0,0,0,0
Entrée,46,1,5,0,177,0,0,0,0
Pièce à escalier (vide),48,1,6,0,179,31144,6,0,430
Escalier (droite),50,1,6,0,180,31141,7,0,410
Salle du conseil d’Orgrimmar,132,3,8,0,202,35463,20,274673,840
Salle du puits de pierre d’Orgrimmar,151,3,8,0,219,35465,5,274675,820
Pièce circulaire lumineuse,223,3,8,0,233,32639,8,272045,710
Pièce circulaire sombre,233,3,8,0,255,32640,8,0,720
Armurerie de Hurlevent,273,3,8,0,305,35471,12,272997,930
Cuisine de Hurlevent,277,3,8,0,326,35474,5,274667,920
Salle d’exposition de Hurlevent,281,3,8,0,328,35472,5,274666,910
Grand hall de Hurlevent,282,3,8,0,336,35473,20,274665,940
Armurerie de Lune-d’Argent,283,3,8,0,337,35467,12,274663,1030
Bureau spacieux de Lune-d’Argent,285,3,8,0,345,35469,20,274664,1040
Salle d’exposition de Lune-d’Argent,286,3,8,0,346,35468,5,274661,1010
Salle du temple de Bel’ameth,287,3,8,0,347,35461,20,274670,1140
Salle de réunion de Bel’ameth,288,3,8,0,348,35460,12,274668,1130
Théâtre de Bel’ameth,289,3,8,0,349,35462,5,274669,1120
Chambre en enfilade de Bel’ameth,290,3,8,0,350,35459,5,274671,1110
Théâtre d’Orgrimmar,292,3,8,0,352,35466,12,274674,830
Salle d’exposition d’Orgrimmar,294,3,8,0,353,35464,5,274676,810
Petit bureau de Lune-d’Argent,307,3,8,0,371,35470,5,274662,1020
Grange d’automne de la marche de l’Ouest,400,3,8,0,378,36094,18,276243,750
Grange de printemps de la marche de l’Ouest,401,3,8,0,379,36095,18,276244,760
