ID,Name_lang,EnumID
1,Compétence,0
2,Inspiration,1
3,Ingéniosité,2
4,Finesse,3
5,Adresse,4
6,Perception,5
7,Vitesse d’artisanat,6
8,Fabrication multiple,7
9,Unlock Reagent Slot (DNT - write manually!),8
10,Inspiration,9
11,Ingéniosité,10
12,Finesse,11
13,Adresse,12
14,Perception,13
15,Vitesse d’artisanat,14
16,Fabrication multiple,15
17,Adresse,16
18,Gather Range Rating (DNT - write manually!),17
19,additional items crafted with Multicraft (DNT - write manually!),18
20,basic reagents gathered from Finesse (DNT - write manually!),19
21,bonus Crafting Skill from Inspiration (DNT - write manually!),20
22,reagents saved from Resourcefulness (DNT - write manually!),21
23,Réduire la difficulté,22
24,Augmenter la difficulté,23
25,Modifier le gain de compétence,24
26,Trait Ranks By Points-Modifier Label (DNT),25
27,Inventivité,26
28,reduce concentration cost (DNT - write manually),27
29,Dummy Effect For # Tokenization (DNT),28
30,Inventivité,29
31,Ingenuity Refund Increase (DNT - write manually!),30
