Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
Sièges,1,29176,1,0
Lits,2,29113,1,3
Portes,3,29125,2,0
Murs et colonnes,4,29203,2,1
Tables et bureaux,5,29191,1,1
Rangements,6,29185,1,2
Mobilier divers,7,30799,1,4
Fenêtres,8,29206,2,2
Grandes structures,9,29155,2,3
Structures diverses,10,30799,2,4
Ornements,11,29164,3,0
Décorations murales,12,29197,3,1
Nourriture et boissons,13,29131,3,2
Sol,14,29128,3,3
Décorations diverses,15,30799,3,4
Grandes lampes,16,29152,4,0
Appliques,17,29200,4,1
Lustres,18,29140,4,2
Petites lampes,19,29182,4,3
Lampes d’ambiance,20,29110,4,4
Éclairages divers,21,30799,4,5
Utilitaires,22,29194,5,0
Grand feuillage,25,29149,6,0
Petit feuillage,26,29179,6,1
Buissons,27,29116,6,2
Couvre-sol,28,29137,6,3
Plantes diverses,29,30799,6,4
Divers – Tout,34,30799,8,0
Pièces – Toutes,35,0,9,0
Fonctionnels divers,51,30799,5,1
