Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,%s $,%s $,"Confirmation de l’utilisateur : en cliquant sur le bouton Acheter maintenant, je reconnais avoir lu et compris les |HurlIndex:14|h|cff71d5ffConditions de vente|r|h et l’|HurlIndex:15|h|cff71d5ffEngagement sur la confidentialité|r|h, et je confirme mon achat.",1,840,16,833
GBP,%s £,%s £,"En cliquant sur le bouton Payer maintenant, je reconnais avoir lu et compris les |HurlIndex:16|h|cff71d5ffConditions de vente|r|h et accepte la livraison immédiate de ma commande. Une fois le processus de livraison lancé, je ne pourrai plus annuler ma commande.",2,826,16,836
KRW,%s*,%s pièces Battle,"Confirmation de l’utilisateur : en cliquant sur le bouton Acheter maintenant, je reconnais avoir lu et compris les termes et conditions de cette transaction (y compris
les |HurlIndex:9|h|cff71d5ffConditions de vente|r|h, la |HurlIndex:8|h|cff71d5ffPolitique de remboursement|r|h et l’|HurlIndex:13|h|cff71d5ffEngagement sur la confidentialité|r|h), et je confirme mon achat.",3,410,48,834
EUR,%s €,%s €,"En cliquant sur le bouton Payer maintenant, je reconnais avoir lu et compris les |HurlIndex:16|h|cff71d5ffConditions de vente|r|h et accepte la livraison immédiate de ma commande. Une fois le processus de livraison lancé, je ne pourrai plus annuler ma commande.",4,978,16,836
RUB,%s RUB,%s RUB,"En cliquant sur le bouton Payer maintenant, je reconnais avoir lu et compris les |HurlIndex:16|h|cff71d5ffConditions de vente|r|h et accepte la livraison immédiate de ma commande. Une fois le processus de livraison lancé, je ne pourrai plus annuler ma commande.",5,643,16,836
COP,%s $,%s $,"Confirmation de l’utilisateur : en cliquant sur le bouton Acheter maintenant, je reconnais avoir lu et compris les |HurlIndex:14|h|cff71d5ffConditions de vente|r|h et l’|HurlIndex:15|h|cff71d5ffEngagement sur la confidentialité|r|h, et je confirme mon achat.",6,170,4,833
PEN,%s S/.,%s S/.,"Confirmation de l’utilisateur : en cliquant sur le bouton Acheter maintenant, je reconnais avoir lu et compris les |HurlIndex:14|h|cff71d5ffConditions de vente|r|h et l’|HurlIndex:15|h|cff71d5ffEngagement sur la confidentialité|r|h, et je confirme mon achat.",7,604,4,833
ARS,%s $,%s $,"Confirmation de l’utilisateur : en cliquant sur le bouton Acheter maintenant, je reconnais avoir lu et compris les |HurlIndex:14|h|cff71d5ffConditions de vente|r|h et l’|HurlIndex:15|h|cff71d5ffEngagement sur la confidentialité|r|h, et je confirme mon achat.",8,32,0,833
CLP,%s $,%s $,"Confirmation de l’utilisateur : en cliquant sur le bouton Acheter maintenant, je reconnais avoir lu et compris les |HurlIndex:14|h|cff71d5ffConditions de vente|r|h et l’|HurlIndex:15|h|cff71d5ffEngagement sur la confidentialité|r|h, et je confirme mon achat.",9,152,0,833
MXN,%s $,%s $,"Confirmation de l’utilisateur : en cliquant sur le bouton Acheter maintenant, je reconnais avoir lu et compris les |HurlIndex:14|h|cff71d5ffConditions de vente|r|h et l’|HurlIndex:15|h|cff71d5ffEngagement sur la confidentialité|r|h, et je confirme mon achat.",10,484,0,833
