ID,Name_lang,Description_lang,CompletionPlayerConditionID,Flags,QuestID,PlayerConditionID,Field_10_2_7_54171_005
1,Premiers pas sur une terre inconnue,,0,8,0,0,0
18,Siège de la citadelle de Flèchelame,,0,8,0,0,0
19,Défense de Wor’gol,,0,8,0,0,0
20,La vengeance de Ga’nar,,0,8,0,0,0
21,La chute du tonnerre,,0,8,0,0,0
22,La bataille du passage du Tonnerre,,0,8,0,0,0
23,Établir votre avant-poste,,0,8,0,0,0
24,La bataille de Shattrath,,0,8,0,0,0
25,Des arakkoa en crise,,0,8,0,0,0
26,Dans les ombres d’Auchindoun,,0,8,0,0,0
27,Contre les Chanteguerres,,0,8,0,0,0
28,Contre les Chanteguerres,,0,8,0,0,0
29,Le Trône des éléments,,0,8,0,0,0
30,Le Trône des éléments,,0,8,0,0,0
31,Dans les ombres d’Auchindoun,,0,8,0,0,0
32,La bataille de Shattrath,,0,8,0,0,0
33,Établir votre avant-poste,,0,8,0,0,0
34,Les ombres se rassemblent,,0,8,0,0,0
35,Fief de l’amiral Taylor,,0,8,0,0,0
36,Fief de l’amiral Taylor,,0,8,0,0,0
37,Les secrets des prêtres de la Serre,,0,8,0,0,0
38,Les dieux d’Arak,,0,8,0,0,0
39,Premiers pas sur une terre inconnue,,0,8,0,0,0
40,L’éveil des ombres,,0,8,0,0,0
41,Le Conseil des exarques,,0,8,0,0,0
42,La flore des botani,,0,8,0,0,0
43,La face cachée de la lune,,0,8,0,0,0
44,La lumière de Karabor,,0,8,0,0,0
45,La fin des ténèbres,,0,8,0,0,0
46,Héritage de l’apogide,,0,8,0,0,0
47,La légende de Terokk,,0,8,0,0,0
48,Installation de Tombe-Hache,,0,8,0,0,0
49,Maîtres de Port-Austral,,0,8,0,0,0
50,La boulonnerie de Sifflepince,,0,8,0,0,0
51,Quand le corbeau dévore le soleil,,0,8,0,0,0
52,Il nous faut un avant-poste,,0,8,0,0,0
53,Soutenez votre fief,,0,8,0,0,0
54,Soutenez votre fief,,0,8,0,0,0
55,Sur la terre des géants,,0,8,0,0,0
56,Sur la terre des géants,,0,8,0,0,0
57,Établir une tête de pont,,0,8,0,0,0
58,Sur la piste de l’ombre,,0,8,0,0,0
59,Sur la piste de l’ombre,,0,8,0,0,0
60,Porte des ténèbres,,0,8,0,0,0
61,L’Orbite-Sanglante,,0,8,0,0,0
