ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,Donjons classiques,1,0,114
2,The Burning Crusade - mode normal,1,0,113
3,The Burning Crusade - mode héroïque,1,0,112
4,Wrath of the Lich King - mode normal,1,0,111
5,Wrath of the Lich King - mode héroïque,1,0,110
6,Raids classiques,2,0,522
7,Raid de The Burning Crusade,2,0,521
8,Raid de Wrath of the Lich King (10),2,0,520
9,Raid de Wrath of the Lich King (25),2,0,519
11,Évènements mondiaux,0,0,10
12,Cataclysm - mode héroïque,1,0,108
13,Cataclysm - mode normal,1,0,109
14,Raid de Cataclysm (25),2,0,517
15,Raid de Cataclysm (10),2,0,518
20,Champ de bataille coté,2,0,1024
33,L'Heure du Crépuscule héroïque,1,0,107
36,Mists of Pandaria - mode héroïque,1,0,105
37,Mists of Pandaria - mode normal,1,0,106
38,Scénarios,1,0,1025
40,Raid de Mists of Pandaria (25),2,0,516
41,Raid de Mists of Pandaria (10),2,0,515
43,Scénarios héroïques,1,0,1026
44,Marcheurs du temps,0,0,1027
45,Raid de Mists of Pandaria (Dynamique),2,0,514
46,Boss hors instance de Mists of Pandaria,2,0,513
47,Warlords of Draenor - mode normal,1,0,104
48,Warlords of Draenor - mode héroïque,1,0,103
49,Raid de Warlords of Draenor (normal),2,0,510
50,Raid de Warlords of Draenor (héroïque),2,0,511
51,Raid de Warlords of Draenor (mythique),2,0,512
52,Legion - mode héroïque,1,0,102
53,Legion - mode normal,1,0,101
54,Raid de Legion (normal),2,0,507
55,Raid de Legion (héroïque),2,0,508
56,Raid de Legion (mythique),2,0,509
57,Battle for Azeroth - mode normal,1,0,99
58,Battle for Azeroth - mode héroïque,1,0,100
159,Raid de Battle for Azeroth (normal),2,0,510
160,Raid de Battle for Azeroth (héroïque),2,0,511
161,Raid de Battle for Azeroth (mythique),2,0,512
162,Battle for Azeroth - mode mythique,1,0,101
163,Shadowlands - mode mythique,1,0,98
164,Shadowlands - mode héroïque,1,0,97
165,Shadowlands - mode normal,1,0,96
166,Confins de l’Exil,1,0,115
167,Raid de Shadowlands (mythique),2,0,95
168,Raid de Shadowlands (héroïque),2,0,94
169,Raid de Shadowlands (normal),2,0,93
170,Dragonflight – mode mythique,1,0,92
171,Dragonflight – mode héroïque,1,0,91
172,Dragonflight – mode normal,1,0,90
173,Fidèle du Vol draconique,1,0,90
177,The War Within – mode normal,1,0,87
178,The War Within – mode héroïque,1,0,88
180,Mists of Pandaria - sujet,1,0,106
182,Donjons du Cours du temps,0,0,1028
183,Donjons héroïques du Cours du temps,0,0,1029
184,Scénarios du Cours du temps,1,0,1030
185,Scénarios héroïques du Cours du temps,1,0,1031
186,The War Within – mode héroïque : saison 1,1,0,89
192,The War Within – mode héroïque : saison 2,1,0,89
194,The War Within – mode héroïque : saison 3,1,0,89
196,Raids du Cours du temps,2,0,1032
