Name_lang,ID,UiTextureKitID,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationID,Flags,ArtifactCategoryID,UiModelSceneID,SpellVisualKitID
Fureur de Dandor,1,207,-11776,-382936,-2816,0,0,1,0,0
Porte-Cendres,2,207,-11776,16765504,4006400,70,0,1,28,82183
Lames jumelles du Trompeur,3,206,-2200833,16122111,8650889,577,0,1,23,82147
"Aluneth, grand bâton de la magna",4,208,-1267719,6343151,8615067,62,0,1,26,82174
Écaille du Gardeterre,11,215,-44766,11010048,3276800,73,0,1,20,82029
Lames du prince déchu,12,214,-3804673,9152481,1447762,251,0,1,22,82144
"G’Hanir, l’Arbre-Mère",13,217,-2031755,-5579161,-16291053,105,0,1,24,82149
Gueule-du-Damné,15,214,-3804673,-1494733,-12778752,250,0,1,22,82144
Apocalypse,16,214,-3804673,-12517523,-16761586,252,0,1,22,82144
Crocs du Dévoreur,17,216,-45544,-1278118,-6935508,261,0,1,21,82029
"Griffe-Serre, lance des dieux sauvages",34,226,-2031755,-13053570,-16760525,255,0,1,46,82153
Épées de guerre des Valarjar,35,215,-44766,11010048,3276800,72,0,1,20,82029
"Strom’kar, le Brise-Guerre",36,215,-44766,11010048,3276800,71,0,1,20,82029
Crâne du Man’ari,37,229,-4163342,-11204234,-16121829,266,2,1,32,82197
Sceptre de Sargeras,38,229,-4163342,-7319653,-13500291,267,0,1,32,82197
"Ulthalesh, la faux de Deuillevent",39,229,-4163342,-6665828,-11199626,265,0,1,32,82197
Poing de Ra Den,40,225,-9057793,-11808266,-16711616,262,0,1,31,82193
Marteau-du-Destin,41,225,-9057793,-11806981,-13022058,263,2,1,31,82193
"Sharas’dal, sceptre des marées",42,225,-9057793,-16473972,-16753298,264,0,1,31,82193
Les Régicides,43,216,-45544,-2522525,-9889768,259,0,1,21,82029
Lames d’effroi,44,216,-45544,-1589760,0,260,0,1,21,82029
"T’uure, guide des Naaru",45,227,-8851726,-9699335,-16766881,257,0,1,29,82184
Courroux-de-Lumière,46,227,-8851726,-10424321,-16739937,256,0,1,29,82184
"Xal’atath, lame de l’Empire noir",47,241,-4163342,-7580513,-11986828,258,2,1,30,82190
Main-d’Argent,48,207,-11776,16765504,4006400,65,0,1,28,82183
Garde-Vérité,49,207,-11776,16765504,4006400,66,0,1,28,82183
Poings des cieux,50,228,-9044026,-12779585,-15226471,269,0,1,27,82181
"Sheilun, bâton des brumes",51,228,-9044026,-11733812,-16755897,270,0,1,27,82181
"Fu Zan, compagnon de l’explorateur",52,228,-9044026,-12452628,-16083317,268,0,1,27,82181
"Frissébène, grand bâton d’Alodi",53,208,-1267719,6343151,8615067,64,0,1,26,82174
Felo’melorn,54,208,-1267719,-1065376,-6281667,63,2,1,26,82174
"Thas’dorah, héritage des Coursevent",55,226,-2031755,-526230,-12430833,254,0,1,46,82153
Choc des Titans,56,226,-2031755,-143103,0,253,0,1,46,82153
Griffes d’Ursoc,57,217,-2031755,-5579161,-16291053,104,0,1,24,82149
Crocs d’Ashamane,58,217,-2031755,-5579161,-16291053,103,0,1,24,82149
Faux d’Élune,59,217,-2031755,-5579161,-16291053,102,0,1,24,82149
Lames de guerre des Aldrachi,60,206,-2200833,16122111,8650889,581,0,1,23,82147
Pêcheur de Terradiance,73,227,-1,-10976565,-16772353,0,0,2,0,0
Porte-chêne,74,207,-11776,16765504,4006400,70,0,1,0,0
Test Artifact 2,80,207,-11776,16765504,4006400,70,0,1,18,23596
Test Artifact,81,207,-11776,16765504,4006400,65,0,1,0,0
Test Artifact 3,82,207,-11776,16765504,4006400,66,0,1,0,0
Owen Test Artifact,89,0,-16777216,-1732055,0,0,0,1,0,0
Instruments de justice,194,227,-4207580,-1645248,-1890009,0,0,2,0,0
Ailes de la guerre,195,227,-4207580,-1645248,-1890009,0,0,2,0,0
Fidèles du Bastion,196,227,-4207580,-1645248,-1890009,0,0,2,0,0
Avant-garde pied-léger,197,227,-4207580,-1645248,-1890009,0,0,2,0,0
Vengeance vertueuse,198,227,-4207580,-1645248,-1890009,0,0,2,0,0
Principes de Revendreth,199,214,-3804673,-1494733,-12778752,0,0,2,0,0
Principes de Revendreth,200,214,-3804673,-1494733,-12778752,0,0,2,0,0
Principes de Revendreth,201,214,-3804673,-1494733,-12778752,0,0,2,0,0
Principes de Revendreth,202,214,-3804673,-1494733,-12778752,0,0,2,0,0
Principes de Revendreth,203,214,-3804673,-1494733,-12778752,0,0,2,0,0
Système de talents 1,205,214,-3804673,-1494733,0,0,0,2,0,0
Système de talents 2,223,214,-3804673,-1494733,0,0,0,2,0,0
Système de talents 3,225,214,-3804673,-1494733,0,0,0,2,0,0
